Company Name,Asset Type,Percentage Allocation
ICICI Bank Ltd.,Equity,5.48%
HDFC Bank Ltd.,Equity,5.34%
Bajaj Finance Ltd.,Equity,4.47%
Avenue Supermarts Ltd.,Equity,3.86%
CBLO(CCIL),Others,3.71%
Tata Consultancy Services Ltd.,Equity,3.67%
Infosys Ltd.,Equity,3.04%
7.18 GOI Aug 14 2033,Debt,2.72%
Reliance Industries Ltd.,Equity,2.44%
PI Industries Ltd.,Equity,2.26%
Larsen & Toubro Ltd.,Equity,2.26%
7.26 GOI Feb  6 2033,Debt,2.13%
State Bank Of India,Equity,1.88%
Bajaj Finserv Ltd.,Equity,1.73%
Bharti Airtel Ltd.,Equity,1.72%
HDB Financial Services Ltd.,Debt,1.62%
9 Bharti Telecom Ltd. Dec  4 2028,Debt,1.53%
8.6 Muthoot Finance Ltd. Aug 25 2025,Debt,1.51%
7.85 Bajaj Housing Finance Ltd. Sep  1 2028,Debt,1.51%
7.58 National Bank For Agriculture & Rural Development (Nabard) Jul 31 2026,Debt,1.51%
Sansera Engineering Ltd.,Equity,1.46%
Kotak Mahindra Bank Ltd.,Equity,1.38%
Fsn ECommerce Ventures Ltd.,Equity,1.36%
Sun Pharmaceuticals Ind Ltd.,Equity,1.30%
Godrej Consumer Products Ltd.,Equity,1.25%
Shree Cement Ltd.,Equity,1.24%
National Thermal Power Corporation Ltd.,Equity,1.23%
Divi Laboratories Ltd.,Equity,1.21%
GOI,Debt,1.16%
Mankind Pharma Ltd.,Equity,1.12%
Fine Organic Industries Ltd.,Equity,1.12%
Cholamandalam Investment & Finance Company Ltd.,Equity,1.11%
Nestle India Ltd.,Equity,1.07%
Alkem Laboratories Ltd.,Equity,1.04%
UNO Minda Ltd.,Equity,1.02%
Tata Motors Ltd.,Equity,1.01%
Brigade Enterprises Ltd.,Equity,1.01%
Mphasis Ltd.,Equity,1.00%
Sumitomo Chemical India Ltd.,Equity,0.96%
Motherson Sumi Wiring India Ltd.,Equity,0.95%
Mahindra & Mahindra Ltd.,Equity,0.95%
Vedant Fashions Pvt. Ltd.,Equity,0.93%
Clean Science & Technology Ltd.,Equity,0.92%
R R Kabel Ltd.,Equity,0.92%
Tata Steel Ltd.,Equity,0.91%
7.64 Power Finance Corporation Ltd. Feb 22 2033,Debt,0.91%
7.86 HDFC Bank Ltd. Dec  2 2032,Debt,0.91%
8.5 Aadhar Housing Finance Ltd. May 26 2026,Debt,0.90%
Samvardhana Motherson International Ltd. (Erstwhile Motherson Sumi Systems Ltd.),Equity,0.87%
6.83 HDFC Bank Ltd. Jan  8 2031,Debt,0.86%
Coal India Ltd.,Equity,0.84%
State Bank Of India,Equity,0.82%
Hindustan Unilever Ltd.,Equity,0.81%
Deepak Fertilizers & Petrochemicals Corporation Ltd.,Equity,0.81%
JB Chemicals & Pharmaceuticals Ltd.,Equity,0.79%
Canfin Homes Ltd.,Equity,0.78%
Apollo Hospitals Enterprise Ltd.,Equity,0.76%
Jio Financial Services Ltd.,Equity,0.72%
Aether Industries Ltd.,Equity,0.67%
Grasim Industries Ltd.,Equity,0.65%
Teamlease Services Ltd.,Equity,0.63%
Treasury Bill (182D),Others,0.60%
7.6 Poonawalla Fincorp Ltd. (Erstwhile Magma Fincorp Ltd.) Jul 19 2024,Debt,0.60%
9.95 Indostar Capital Finance Ltd. Aug  7 2025,Debt,0.60%
7.59 Mahanagar Telephone Nigam Ltd. Jul 20 2033,Debt,0.60%
Treasury Bill (182D),Others,0.60%
K P R Mill Ltd.,Equity,0.53%
Doms Industries Ltd.,Equity,0.51%
Zomato Ltd.,Equity,0.50%
Info Edge (India) Ltd.,Equity,0.49%
Navin Fluorine International Ltd.,Equity,0.47%
9.15 SK Finance Ltd. (Erstwhile Ess Kay Fincorp Ltd.) Feb  2 2025,Debt,0.45%
Cholamandalam Investment & Finance Company Ltd.,Equity,0.42%
Asian Paints Ltd.,Equity,0.35%
Suryoday Small Finance Bank Ltd.,Equity,0.32%
Maruti Suzuki India Ltd.,Equity,0.31%
7.8 Mahanagar Telephone Nigam Ltd. Nov  7 2033,Debt,0.30%
7.26 GOI Aug 22 2032,Debt,0.30%
7.25 Punjab National Bank Jul 29 2030,Debt,0.30%
4.04 GOI Oct  4 2028,Debt,0.26%
KFIN Technologies Ltd.,Equity,0.22%
Maruti Suzuki India Ltd.,Equity,0.19%
7.4 Power Finance Corporation Ltd. May  8 2030,Debt,0.18%
HCL Technologies Ltd.,Equity,0.18%
Schaeffler India Ltd.,Equity,0.14%
Data Patterns (India) Ltd.,Equity,0.12%
7.92 West Bengal SDL Mar 15 2027,Debt,0.12%
8.85 Power Finance Corporation Ltd. May 25 2029,Debt,0.06%
8.16 Karnataka Sdl Nov 26 2025,Debt,0.03%
Net Receivables/(Payable),Others,-4.51%
