Company Name,Asset Type,Percentage Allocation
HDFC Bank Ltd.,Equity,5.84%
ICICI Bank Ltd.,Equity,4.84%
Infosys Ltd.,Equity,4.75%
7.77 REC Ltd. Mar 31 2028,Debt,3.72%
7.8955 Kotak Mahindra Prime Ltd. Dec 23 2024,Debt,3.70%
7.8 HDFC Bank Ltd. Jun  2 2025,Debt,3.70%
7.58 National Bank For Agriculture & Rural Development (Nabard) Jul 31 2026,Debt,3.69%
6.43 HDFC Bank Ltd. Sep 29 2025,Debt,3.62%
Reliance Industries Ltd.,Equity,3.45%
Axis Bank Ltd.,Equity,2.86%
National Thermal Power Corporation Ltd.,Equity,2.54%
Larsen & Toubro Ltd.,Equity,2.51%
Triparty Repo,Others,2.40%
7.9 Bajaj Finance Ltd. Nov 17 2025,Debt,2.22%
State Bank Of India,Equity,1.74%
ITC Ltd.,Equity,1.68%
Indusind Bank Ltd.,Equity,1.54%
Bharti Airtel Ltd.,Equity,1.53%
Maruti Suzuki India Ltd.,Equity,1.52%
Avenue Supermarts Ltd.,Equity,1.51%
Bajaj Auto Ltd.,Equity,1.31%
Sun Pharmaceuticals Ind Ltd.,Equity,1.23%
Bajaj Finance Ltd.,Equity,1.20%
Jindal Steel & Power Ltd.,Equity,1.11%
SRF Ltd.,Equity,1.06%
Kotak Mahindra Bank Ltd.,Equity,1.03%
HDFC Life Insurance Company Ltd.,Equity,1.01%
Tata Motors Ltd.,Equity,1.00%
Hero Motocorp Ltd.,Equity,0.98%
Greenply Industries Ltd.,Equity,0.97%
JK Lakshmi Cement Ltd.,Equity,0.96%
V-Mart Retail Ltd.,Equity,0.95%
Teamlease Services Ltd.,Equity,0.93%
6.79 GOI May 15 2027,Debt,0.88%
Mahindra & Mahindra Financial Services Ltd.,Equity,0.87%
Cipla Ltd.,Equity,0.87%
Oil & Natural Gas Corporation Ltd.,Equity,0.85%
Updater Services Ltd.,Equity,0.85%
Ltimindtree Ltd.,Equity,0.84%
Bosch Ltd.,Equity,0.82%
UNO Minda Ltd.,Equity,0.82%
SBI Cards & Payment Services Pvt. Ltd.,Equity,0.82%
Coforge Ltd.,Equity,0.79%
Voltas Ltd.,Equity,0.78%
Affle (India) Ltd.,Equity,0.78%
Endurance Technologies Ltd.,Equity,0.77%
IFB Industries Ltd.,Equity,0.77%
8.24 GOI Feb 15 2027,Debt,0.77%
Yatra Online Ltd.,Equity,0.76%
8.98 Power Finance Corporation Ltd. Oct  8 2024,Debt,0.75%
7.7 HDFC Bank Ltd. Nov 18 2025,Debt,0.74%
Suzlon Energy Ltd.,Equity,0.74%
Crompton Greaves Consumer Electrcials Ltd.,Equity,0.72%
Siemens Ltd.,Equity,0.71%
Aurobindo Pharma Ltd.,Equity,0.71%
Biocon Ltd.,Equity,0.70%
Dr Reddys Laboratories Ltd.,Equity,0.69%
EIH Ltd.,Equity,0.67%
United Spirits Ltd.,Equity,0.66%
Bajaj Consumer Care Ltd.,Equity,0.65%
Amber Enterprises India Ltd.,Equity,0.63%
PVR INOX Ltd.,Equity,0.62%
Whirlpool of India Ltd.,Equity,0.61%
Tech Mahindra Ltd.,Equity,0.57%
Bandhan Bank Ltd.,Equity,0.52%
Kaynes Technology India Pvt. Ltd.,Equity,0.48%
Hindalco Industries Ltd.,Equity,0.46%
7.69 National Bank For Agriculture & Rural Development (Nabard) May 29 2024,Debt,0.44%
Greenpanel Industries Ltd.,Equity,0.41%
Tata Steel Ltd.,Equity,0.40%
Avanti Feeds Ltd.,Equity,0.31%
7.17 GOI Jan  8 2028,Debt,0.30%
Cash Margin,Debt,0.30%
7.42 Power Finance Corporation Ltd. Nov 19 2024,Debt,0.15%
Cash Margin,Debt,0.02%
Cash,Others,0.00%
Net Receivables/(Payable),Others,-0.08%
