Company Name,Asset Type,Percentage Allocation
Union Bank Of India,Equity,4.51%
Jindal Stainless Ltd.,Equity,3.92%
Power Finance Corporation Ltd.,Equity,3.65%
UNO Minda Ltd.,Equity,2.99%
REC Ltd.,Equity,2.92%
7.5 Power Grid Corporation Of India Ltd. Aug 24 2033,Debt,2.50%
Triparty Repo,Others,2.49%
Astral Ltd. (Erstwhile Astral Poly Technik Ltd.),Equity,2.30%
7.26 GOI Feb  6 2033,Debt,2.19%
Export Import Bank Of India (364D),Others,2.15%
Kotak Mahindra Bank Ltd.,Others,2.14%
7.18 GOI Aug 14 2033,Debt,1.95%
Indian Bank,Equity,1.94%
JB Chemicals & Pharmaceuticals Ltd.,Equity,1.80%
Ajanta Pharma Ltd.,Equity,1.74%
Repo,Others,1.70%
Rategain Travel Technologies Ltd.,Equity,1.68%
Export Import Bank Of India,Others,1.65%
Abbott India Ltd.,Equity,1.53%
BSE Ltd.,Equity,1.53%
CreditAccess Grameen Ltd.,Equity,1.52%
Treasury Bill (364D),Others,1.49%
Small Industries Development Bank Of India,Others,1.45%
Oil India Ltd.,Equity,1.43%
Central Depository Services (India) Ltd.,Equity,1.42%
Procter & Gamble Hygiene & Healthcare Ltd.,Equity,1.31%
Eris Lifesciences Ltd.,Equity,1.30%
J. K. Cement Ltd.,Equity,1.27%
Axis Bank Ltd.,Others,1.25%
IDFC First Bank Ltd. (Erstwhile IDFC Bank Ltd.),Equity,1.22%
Cyient Ltd.,Equity,1.19%
Coromandel International Ltd. (Coromandel Fertilisers Ltd.),Equity,1.17%
7.5 National Bank For Agriculture & Rural Development (Nabard) Aug 31 2026,Debt,1.16%
APL Apollo Tubes Ltd.,Equity,1.16%
State Bank Of India,Others,1.14%
Jamna Auto Industries Ltd.,Equity,1.12%
The Indian Hotels Company Ltd.,Equity,1.11%
Triveni Engineering & Industries Ltd.,Equity,1.10%
Cera Sanitaryware Ltd.,Equity,1.05%
Senco Gold Ltd.,Equity,1.03%
R R Kabel Ltd.,Equity,1.01%
Indraprastha Gas Ltd.,Equity,1.01%
Ethos Ltd.,Equity,0.91%
Balrampur Chini Mills Ltd.,Equity,0.88%
Glaxo Smithkline Pharmaceuticals Ltd.,Equity,0.86%
Century Textiles & Industries Ltd.,Equity,0.84%
Radico Khaitan Ltd.,Equity,0.83%
HEG Ltd.,Equity,0.83%
Union Bank Of India,Others,0.83%
HDFC Bank Ltd. (364D),Others,0.82%
Net Receivables/(Payable),Others,0.82%
Utkarsh Small Finance Bank Ltd.,Equity,0.79%
Swan Energy Ltd.,Equity,0.77%
Steel Authority Of India Ltd.,Equity,0.76%
Deepak Nitrite Ltd.,Equity,0.75%
AIA Engineering Ltd.,Equity,0.74%
Ganesha Ecosphere Ltd.,Equity,0.72%
Coforge Ltd.,Equity,0.68%
Navin Fluorine International Ltd.,Equity,0.68%
8.79 LIC Housing Finance Ltd. Mar  5 2024,Debt,0.67%
Torrent Power Ltd.,Equity,0.66%
KPIT Technologies Ltd.,Equity,0.66%
Bharat Heavy Electricals Ltd.,Equity,0.66%
Ashok Leyland Ltd.,Equity,0.64%
Tejas Networks Ltd.,Equity,0.63%
Apollo Pipes Ltd.,Equity,0.60%
8.02 Bharat Petroleum Corporation Ltd. Mar 11 2024,Debt,0.59%
Dixon Technologies (India) Ltd.,Equity,0.55%
Poly Medicure Ltd.,Equity,0.55%
Timken India Ltd.,Equity,0.54%
Cyient DLM Ltd.,Equity,0.50%
Treasury Bill (182D),Others,0.49%
Sumitomo Chemical India Ltd.,Equity,0.48%
Bayer Cropscience Ltd.,Equity,0.47%
Angel One Ltd. (Erstwhile Angel Broking Ltd.),Equity,0.46%
VST Tillers Tractors Ltd.,Equity,0.44%
9.25 Reliance Industries Ltd. Jun 17 2024,Debt,0.34%
8.11 REC Ltd. Oct  7 2025,Debt,0.34%
7.49 Power Grid Corporation Of India Ltd. Oct 25 2024,Debt,0.33%
Fusion Micro Finance Ltd.,Equity,0.33%
Kamdhenu Ltd.,Equity,0.31%
Endurance Technologies Ltd.,Equity,0.29%
Graphite India Ltd.,Equity,0.29%
CMS Info Systems Ltd.,Equity,0.26%
Mahindra Lifespace Developers Ltd.,Equity,0.22%
