Company Name,Asset Type,Percentage Allocation
HDFC Bank Ltd.,Equity,7.27%
Reliance Industries Ltd.,Equity,5.88%
Larsen & Toubro Ltd.,Equity,5.58%
ICICI Bank Ltd.,Equity,5.52%
Triparty Repo,Others,5.48%
Tata Consultancy Services Ltd.,Equity,4.03%
ITC Ltd.,Equity,3.66%
Tata Motors Ltd.,Equity,2.70%
Infosys Ltd.,Equity,2.44%
HCL Technologies Ltd.,Equity,1.88%
Trent Ltd.,Equity,1.81%
Bosch Ltd.,Equity,1.76%
6.75 Piramal Capital & Housing Finance Ltd. (Erstwhile Dewan Housing Finance Corporation Ltd.) Sep 26 2031,Debt,1.60%
6.73 Tamil Nadu SDL May 13 2030,Debt,1.58%
BSE Ltd.,Equity,1.54%
Bharti Airtel Ltd.,Equity,1.43%
8.5 JM Financial Products Ltd. May 16 2025,Debt,1.42%
Five-Star Business Finance Ltd.,Equity,1.38%
Oil India Ltd.,Equity,1.36%
Escorts Kubota Ltd.,Equity,1.33%
Bharat Electronics Ltd.,Equity,1.31%
Bajaj Finance Ltd.,Equity,1.30%
Sun Pharmaceuticals Ind Ltd.,Equity,1.25%
The Jammu & Kashmir Bank Ltd.,Equity,1.22%
The Indian Hotels Company Ltd.,Equity,1.21%
Exide Industries Ltd.,Equity,1.13%
Zydus Lifesciences Ltd.,Equity,1.12%
7.83 Indian Railway Finance Corporation Ltd. Mar 19 2027,Debt,1.10%
7.83 Small Industries Development Bank Of India Nov 24 2028,Debt,1.10%
7.68 Indian Railway Finance Corporation Ltd. Nov 24 2026,Debt,1.10%
7.77 REC Ltd. Sep 30 2026,Debt,1.10%
7.81 Sundaram Home Finance Ltd. (Erstwhile Sundaram Bnp Paribas Home Finance Ltd.) Aug 25 2026,Debt,1.09%
6.99 Maharashtra SDL  Feb  9 2029,Debt,1.08%
5.74 GOI Nov 15 2026,Debt,1.06%
Motilal Oswal Financial Services Ltd. (365D),Others,1.04%
SBI Life Insurance Company Ltd.,Equity,0.99%
Kotak Mahindra Bank Ltd.,Equity,0.94%
Astral Ltd. (Erstwhile Astral Poly Technik Ltd.),Equity,0.94%
Tega Industries Ltd.,Equity,0.91%
Honeywell Automation India Ltd.,Equity,0.91%
Hitachi Energy India Ltd.,Equity,0.89%
8.02 Mindspace Business Parks Reit Apr 13 2026,Debt,0.88%
Zomato Ltd.,Equity,0.86%
Birla Corporation Ltd.,Equity,0.85%
Grasim Industries Ltd.,Equity,0.84%
Jtekt India Ltd.,Equity,0.83%
Hero Motocorp Ltd.,Equity,0.82%
9.95 Indostar Capital Finance Ltd. Mar 21 2025,Debt,0.76%
8.43 Muthoot Finance Ltd. Jul 31 2026,Debt,0.76%
7.18 Maharashtra SDL  Jun 28 2029,Debt,0.76%
6.5 Tata Capital Housing Finance Ltd. Jun 15 2026,Debt,0.74%
6.4 Jamnagar Utilities & Power Pvt. Ltd. Sep 29 2026,Debt,0.74%
Mphasis Ltd.,Equity,0.68%
5.22 GOI Jun 15 2025,Debt,0.65%
GAIL (India) Ltd.,Equity,0.64%
Jio Financial Services Ltd.,Equity,0.62%
8.37 National Highways Authority Of India Jan 20 2029,Debt,0.57%
Cholamandalam Investment & Finance Company Ltd.,Equity,0.56%
Intelligent Supply Chain Infrastructure Trust,Others,0.55%
7.79 Small Industries Development Bank Of India May 14 2027,Debt,0.55%
7.9 Jamnagar Utilities & Power Pvt. Ltd. Aug 10 2028,Debt,0.55%
8.5 Muthoot Finance Ltd. Jan 29 2026,Debt,0.55%
8.3 Muthoot Finance Ltd. Jan  6 2026,Debt,0.54%
6.49 Gujarat SDL Dec  2 2029,Debt,0.52%
Brookfield REIT,Others,0.51%
Hindustan Petroleum Corporation Ltd.,Equity,0.48%
Indusind Bank Ltd.,Equity,0.40%
6.11 Bharat Petroleum Corporation Ltd. Jul  4 2025,Debt,0.38%
Treasury Bill (364D),Others,0.33%
Embassy Office Parks Reit,Others,0.32%
6.63 REC Ltd. Jan 28 2031,Debt,0.31%
HDFC Bank Ltd.,Equity,0.28%
8.45 ICICI Bank Ltd. Mar 31 2025,Debt,0.28%
6.24 State Bank Of India Sep 20 2030,Debt,0.21%
6.91 Maharashtra SDL  Sep 15 2033,Debt,0.21%
Inox India Ltd.,Equity,0.11%
Tata Technologies Ltd.,Equity,0.11%
Net Receivables/(Payable),Others,-1.05%
Derivative,Others,-1.15%
