Company Name,Asset Type,Percentage Allocation
HDFC Bank Ltd.,Equity,5.30%
ICICI Bank Ltd.,Equity,5.12%
Larsen & Toubro Ltd.,Equity,4.13%
5.63 GOI Apr 12 2026,Debt,3.91%
Infosys Ltd.,Equity,3.37%
5.74 GOI Nov 15 2026,Debt,2.98%
Axis Bank Ltd.,Equity,2.72%
7.41 Indian Railway Finance Corporation Ltd. Oct 15 2026,Debt,2.53%
National Thermal Power Corporation Ltd.,Equity,2.49%
Kirloskar Oil Engines Ltd.,Equity,2.44%
HCL Technologies Ltd.,Equity,2.42%
5.15 GOI Nov  9 2025,Debt,2.39%
Tata Motors Ltd.,Equity,2.35%
7.5 National Bank For Agriculture & Rural Development (Nabard) Aug 31 2026,Debt,2.18%
State Bank Of India,Others,2.11%
ICICI Securities Ltd. (180D),Others,2.11%
GAIL (India) Ltd.,Equity,2.09%
Sun Pharmaceuticals Ind Ltd.,Equity,2.05%
Reliance Industries Ltd.,Equity,2.04%
7.9 Bajaj Housing Finance Ltd. Apr 28 2028,Debt,1.93%
State Bank Of India,Equity,1.91%
Cash,Others,1.87%
Bharti Airtel Ltd.,Equity,1.75%
Indusind Bank Ltd.,Equity,1.74%
Bharat Electronics Ltd.,Equity,1.64%
United Spirits Ltd.,Equity,1.57%
Zomato Ltd.,Equity,1.52%
Axis Bank Ltd.,Others,1.51%
Jyothy Labs Ltd.,Equity,1.47%
Tata Steel Ltd.,Equity,1.40%
8.1 Mahindra & Mahindra Financial Services Ltd. May 21 2026,Debt,1.28%
7.61 LIC Housing Finance Ltd. Jul 30 2025,Debt,1.26%
Marico Ltd.,Equity,1.23%
Alkem Laboratories Ltd.,Equity,1.21%
Axis Bank Ltd.,Others,1.21%
HDFC Bank Ltd. (364D),Others,1.20%
Hindustan Aeronautics Ltd.,Equity,1.20%
Sapphire Foods India Ltd.,Equity,1.20%
Affle (India) Ltd.,Equity,1.11%
Container Corporation Of India Ltd.,Equity,1.11%
Jubilant Foodworks Ltd.,Equity,1.07%
Crompton Greaves Consumer Electrcials Ltd.,Equity,1.04%
Maruti Suzuki India Ltd.,Equity,1.03%
Oil & Natural Gas Corporation Ltd.,Equity,1.03%
Tech Mahindra Ltd.,Equity,0.99%
7.4 HDFC Bank Ltd. Jun  2 2025,Debt,0.95%
ICICI Prudential Life Insurance Company Ltd.,Equity,0.85%
SBI Cards & Payment Services Pvt. Ltd.,Equity,0.82%
Nuvoco Vistas Corporation Ltd.,Equity,0.80%
Teamlease Services Ltd.,Equity,0.76%
Eris Lifesciences Ltd.,Equity,0.75%
Ultratech Cement Ltd.,Equity,0.74%
Metropolis Healthcare Ltd.,Equity,0.74%
JK Lakshmi Cement Ltd.,Equity,0.69%
PB Fintech Ltd.,Equity,0.68%
Voltas Ltd.,Equity,0.64%
Westlife Foodworld Ltd.,Equity,0.56%
Amber Enterprises India Ltd.,Equity,0.55%
Shankara Building Products Ltd.,Equity,0.24%
7.38 GOI Jun 20 2027,Debt,0.01%
Numero Uno International Ltd.,Equity,0.00%
Globsyn Technologies Ltd.,Equity,0.00%
