Company Name,Asset Type,Percentage Allocation
7.18 GOI Jul 24 2037,Debt,11.59%
ICICI Bank Ltd.,Equity,7.66%
HDFC Bank Ltd.,Equity,5.52%
7.18 GOI Aug 14 2033,Debt,5.20%
Larsen & Toubro Ltd.,Equity,4.68%
CBLO(CCIL),Others,4.13%
Axis Bank Ltd.,Equity,3.53%
Bajaj Auto Ltd.,Equity,3.43%
Infosys Ltd.,Equity,3.22%
Mphasis Ltd.,Equity,3.09%
Ultratech Cement Ltd.,Equity,2.87%
Tata Motors Ltd.,Equity,2.76%
Zomato Ltd.,Equity,2.16%
Bharti Airtel Ltd.,Equity,2.15%
Indusind Bank Ltd.,Equity,2.07%
State Bank Of India,Equity,1.99%
Bajaj Finance Ltd.,Equity,1.98%
Treasury Bill (91D),Others,1.95%
Reliance Industries Ltd.,Equity,1.90%
Birlasoft Ltd.,Equity,1.86%
Coforge Ltd.,Equity,1.73%
Mahindra & Mahindra Ltd.,Equity,1.70%
Titan Company Ltd.,Equity,1.65%
Cummins India Ltd.,Equity,1.53%
Bharat Electronics Ltd.,Equity,1.45%
Bharat Dynamics Ltd.,Equity,1.37%
Ujjivan Financial Services Ltd.,Equity,1.21%
Lupin Ltd.,Equity,1.12%
DLF Ltd.,Equity,1.11%
CreditAccess Grameen Ltd.,Equity,1.08%
HCL Technologies Ltd.,Equity,1.07%
Interglobe Aviation Ltd.,Equity,1.06%
Hindalco Industries Ltd.,Equity,1.04%
ACC Ltd.,Equity,1.03%
L&T Technology Services Ltd.,Equity,1.03%
Ambuja Cements Ltd.,Equity,1.02%
Samvardhana Motherson International Ltd. (Erstwhile Motherson Sumi Systems Ltd.),Equity,1.02%
Tata Consultancy Services Ltd.,Equity,0.98%
JK Lakshmi Cement Ltd.,Equity,0.92%
Sun Pharmaceuticals Ind Ltd.,Equity,0.82%
Sansera Engineering Ltd.,Equity,0.79%
Groww Mutual Fund,Debt,0.79%
HDFC Bank Ltd.,Debt,0.78%
KEI Industries Ltd.,Equity,0.58%
Ltimindtree Ltd.,Equity,0.00%
Net Receivables/(Payable),Others,-0.63%
