Company Name,Asset Type,Percentage Allocation
HDFC Bank Ltd.,Equity,7.64%
ICICI Bank Ltd.,Equity,6.54%
Larsen & Toubro Ltd.,Equity,4.97%
ITC Ltd.,Equity,4.74%
Reliance Industries Ltd.,Equity,4.27%
7.1 GOI Apr 18 2029,Debt,4.15%
Infosys Ltd.,Equity,3.62%
State Bank Of India,Equity,3.61%
Axis Bank Ltd.,Equity,3.59%
Bharti Airtel Ltd.,Equity,2.79%
7.58 National Bank For Agriculture & Rural Development (Nabard) Jul 31 2026,Debt,2.57%
SKF India Ltd.,Equity,2.05%
Aurobindo Pharma Ltd.,Equity,1.95%
Power Grid Corporation Of India Ltd.,Equity,1.94%
KEC International Ltd.,Equity,1.66%
Zensar Technologies Ltd.,Equity,1.58%
Mahindra Holidays & Resorts India Ltd.,Equity,1.49%
Indusind Bank Ltd.,Equity,1.46%
Kotak Mahindra Bank Ltd.,Equity,1.38%
HDFC Mutual Fund (HDFC NIFTY 50 ETF),Equity,1.38%
Hindustan Petroleum Corporation Ltd.,Equity,1.35%
Bharat Electronics Ltd.,Equity,1.33%
Redington (India) Ltd.,Equity,1.29%
PNC Infratech Ltd.,Equity,1.16%
Current Assets,Others,1.12%
7.75 HDFC Bank Ltd. Jun 13 2033,Debt,1.12%
7.7 LIC Housing Finance Ltd. May 16 2028,Debt,1.12%
United Spirits Ltd.,Equity,1.11%
Bank Of Baroda,Equity,1.01%
7.97 HDFC Bank Ltd. Feb 17 2033,Debt,0.91%
7.43 National Bank For Financing Infrastructure And Development Jun 16 2033,Debt,0.89%
7.57 National Bank For Agriculture & Rural Development (Nabard) Mar 19 2026,Debt,0.78%
Krishna Institute of Medical Sciences Ltd.,Equity,0.73%
9.9 Coastal Gujarat Power Ltd. Aug 25 2028,Debt,0.72%
Brookfield REIT,Others,0.69%
7.3 GOI Jun 19 2053,Debt,0.67%
7.988 HDB Financial Services Ltd. Dec  8 2026,Debt,0.65%
Vardhman Textiles Ltd.,Equity,0.62%
Cholamandalam Investment & Finance Company Ltd.,Equity,0.57%
JK Tyre & Industries Ltd.,Equity,0.57%
7.7 Power Grid Corporation Of India Ltd. Oct 12 2033,Debt,0.56%
Bharat Petroleum Corporation Ltd.,Equity,0.53%
TMF Holdings Ltd.,Debt,0.50%
4.45 GOI Oct 30 2034,Debt,0.49%
Godrej Consumer Products Ltd.,Equity,0.48%
Reverse Repo,Others,0.48%
8 Mahanagar Telephone Nigam Ltd. Nov 15 2032,Debt,0.46%
8.24 GOI Nov 10 2033,Debt,0.46%
7.73 Uttar Pradesh SDL Nov  8 2033,Debt,0.45%
7.83 Small Industries Development Bank Of India Nov 24 2028,Debt,0.45%
8.2185 Kotak Mahindra Investments Ltd. Nov 27 2026,Debt,0.45%
7.8 Housing Development Finance Corporation Ltd. (HDFC Ltd.) May  3 2033,Debt,0.45%
8.1379 Kotak Mahindra Investments Ltd. Jun 23 2026,Debt,0.45%
7.77 LIC Housing Finance Ltd. Aug 11 2028,Debt,0.45%
7.62 National Bank For Agriculture & Rural Development (Nabard) Jan 31 2028,Debt,0.45%
7.54 Small Industries Development Bank Of India Jan 12 2026,Debt,0.45%
7.18 GOI Jul 24 2037,Debt,0.45%
7.25 GOI Jun 12 2063,Debt,0.44%
7.7 National Bank For Agriculture & Rural Development (Nabard) Feb 17 2038,Debt,0.43%
7.4 Power Grid Corporation Of India Ltd. Feb 17 2033,Debt,0.42%
Sharda Cropchem Ltd.,Equity,0.40%
Triparty Repo,Others,0.40%
UPL Ltd. (Erstwhile United Phosphorus Ltd.),Equity,0.39%
Max Healthcare Institute Ltd.,Equity,0.37%
7.72 Uttar Pradesh SDL Nov  8 2034,Debt,0.34%
7.44 Small Industries Development Bank Of India Sep  4 2026,Debt,0.33%
Dabur India Ltd.,Equity,0.33%
7.47 Indian Railway Finance Corporation Ltd. Apr 15 2033,Debt,0.27%
Eris Lifesciences Ltd.,Equity,0.27%
7.1 Power Finance Corporation Ltd. Jan 11 2027,Debt,0.27%
MM Forgings Ltd.,Equity,0.26%
Power Grid Infrastructure Investment Trust,Others,0.26%
Kalpataru Projects International Ltd.,Equity,0.25%
