Company Name,Asset Type,Percentage Allocation
7.18 GOI Jul 24 2037,Debt,6.71%
7.38 GOI Jun 20 2027,Debt,5.80%
ICICI Bank Ltd.,Equity,5.78%
Triparty Repo,Others,4.44%
National Thermal Power Corporation Ltd.,Equity,4.37%
7.3 GOI Jun 19 2053,Debt,4.20%
HDFC Bank Ltd.,Equity,3.52%
7.18 GOI Aug 14 2033,Debt,2.59%
Infosys Ltd.,Equity,2.48%
5.74 GOI Nov 15 2026,Debt,2.22%
Trent Ltd.,Equity,2.05%
Titan Company Ltd.,Equity,2.00%
Concord Biotech Ltd.,Equity,1.91%
Indusind Bank Ltd.,Equity,1.61%
State Bank Of India,Equity,1.56%
Mahindra & Mahindra Ltd.,Equity,1.49%
Hindustan Aeronautics Ltd.,Equity,1.47%
Cholamandalam Investment & Finance Company Ltd.,Equity,1.46%
Jio Financial Services Ltd.,Equity,1.42%
Zomato Ltd.,Equity,1.35%
Coforge Ltd.,Equity,1.31%
GAIL (India) Ltd.,Equity,1.29%
Sun Pharmaceuticals Ind Ltd.,Equity,1.29%
Bharat Electronics Ltd.,Equity,1.29%
Persistent Systems Ltd.,Equity,1.26%
TVS Motor Company Ltd.,Equity,1.22%
BSE Ltd.,Equity,1.21%
Cholamandalam Investment & Finance Company Ltd.,Equity,1.17%
Bajaj Finance Ltd.,Equity,1.13%
Bank Of Baroda,Equity,1.10%
Ultratech Cement Ltd.,Equity,1.08%
Home First Finance Company India Ltd.,Equity,1.04%
Tube Investments Of India Ltd.,Equity,1.03%
Divi Laboratories Ltd.,Equity,1.00%
Bharti Airtel Ltd.,Equity,0.99%
Ltimindtree Ltd.,Equity,0.98%
Bharat Forge Ltd.,Equity,0.97%
Bharat Dynamics Ltd.,Equity,0.92%
Hindalco Industries Ltd.,Equity,0.92%
The Phoenix Mills Ltd.,Equity,0.89%
Max Financial Services Ltd.,Equity,0.89%
Equitas Small Finance Bank Ltd.,Equity,0.89%
Century Textiles & Industries Ltd.,Equity,0.89%
CreditAccess Grameen Ltd.,Equity,0.87%
Interglobe Aviation Ltd.,Equity,0.86%
PB Fintech Ltd.,Equity,0.86%
Endurance Technologies Ltd.,Equity,0.84%
Tata Steel Ltd.,Equity,0.83%
Varun Beverages Ltd.,Equity,0.82%
KEI Industries Ltd.,Equity,0.81%
Grindwell Norton Ltd.,Equity,0.80%
6.45 GOI Oct  7 2029,Debt,0.78%
Maruti Suzuki India Ltd.,Equity,0.74%
UNO Minda Ltd.,Equity,0.74%
360 ONE WAM LTD.(Erstwhile IIFL WEALTH MANAGEMENT LIMITED),Equity,0.73%
Abbott India Ltd.,Equity,0.71%
Kajaria Ceramics Ltd.,Equity,0.67%
PI Industries Ltd.,Equity,0.65%
Uniparts India Ltd.,Equity,0.62%
Solar Industries India Ltd.,Equity,0.61%
Kaynes Technology India Pvt. Ltd.,Equity,0.60%
Power Grid Corporation Of India Ltd.,Equity,0.59%
Syrma SGS Technology Ltd.,Equity,0.57%
Aether Industries Ltd.,Equity,0.53%
Avenue Supermarts Ltd.,Equity,0.51%
Havells India Ltd.,Equity,0.49%
Page Industries Ltd.,Equity,0.49%
PNC Infratech Ltd.,Equity,0.47%
KNR Constructions Ltd.,Equity,0.45%
Vedant Fashions Pvt. Ltd.,Equity,0.35%
Bata India Ltd.,Equity,0.29%
VRL Logistics Ltd.,Equity,0.24%
Shyam Metalics & Energy Ltd.,Equity,0.20%
Happy Forgings Ltd.,Equity,0.03%
Net Receivables/(Payable),Others,-1.94%
