Company Name,Asset Type,Percentage Allocation
HDFC Bank Ltd.,Equity,6.79%
ICICI Bank Ltd.,Equity,4.90%
Triparty Repo,Others,4.82%
7.38 GOI Jun 20 2027,Debt,4.22%
Infosys Ltd.,Equity,3.87%
Reliance Industries Ltd.,Equity,3.22%
6.1 GOI Jul 12 2031,Debt,2.81%
8.3 Tata Capital Financial Services Ltd. Mar 13 2026,Debt,2.70%
ITC Ltd.,Equity,2.61%
State Bank Of India,Equity,2.48%
Larsen & Toubro Ltd.,Equity,2.09%
Axis Bank Ltd.,Equity,2.09%
Trent Ltd.,Equity,2.09%
8.03 Karnataka Sdl Jan 31 2028,Debt,2.05%
7.26 GOI Feb  6 2033,Debt,2.01%
7.73 Kerala SDL  Nov 29 2034,Debt,1.97%
Tata Consultancy Services Ltd.,Equity,1.78%
7.06 GOI Apr 10 2028,Debt,1.77%
Bajaj Finance Ltd.,Equity,1.70%
National Thermal Power Corporation Ltd.,Equity,1.70%
Piramal Pharma Ltd.,Equity,1.66%
Zomato Ltd.,Equity,1.64%
Bharti Airtel Ltd.,Equity,1.55%
Equitas Small Finance Bank Ltd.,Equity,1.54%
Titan Company Ltd.,Equity,1.38%
Hindustan Unilever Ltd.,Equity,1.36%
Hero Motocorp Ltd.,Equity,1.33%
The Federal Bank Ltd.,Equity,1.32%
Mahindra & Mahindra Ltd.,Equity,1.27%
Sun Pharmaceuticals Ind Ltd.,Equity,1.19%
Samvardhana Motherson International Ltd. (Erstwhile Motherson Sumi Systems Ltd.),Equity,1.19%
Nestle India Ltd.,Equity,1.18%
Five-Star Business Finance Ltd.,Equity,1.13%
SRF Ltd.,Equity,1.11%
APL Apollo Tubes Ltd.,Equity,1.10%
Indian Railway Catering & Tourism Corporation Ltd.,Equity,1.09%
Bharat Forge Ltd.,Equity,1.05%
HCL Technologies Ltd.,Equity,1.05%
7.74 Power Finance Corporation Ltd. Jan 29 2028,Debt,1.04%
Maruti Suzuki India Ltd.,Equity,1.03%
7.4 National Bank For Agriculture & Rural Development (Nabard) Jan 30 2026,Debt,1.03%
Apollo Hospitals Enterprise Ltd.,Equity,1.03%
Jubilant Foodworks Ltd.,Equity,1.02%
7.725 Larsen & Toubro Ltd. Apr 28 2028,Debt,1.02%
Birla Corporation Ltd.,Equity,0.99%
Crompton Greaves Consumer Electrcials Ltd.,Equity,0.98%
Transport Corporation Of India Ltd.,Equity,0.98%
Td Power Systems Ltd.,Equity,0.98%
Coforge Ltd.,Equity,0.97%
KEI Industries Ltd.,Equity,0.93%
Sundram Fasteners Ltd.,Equity,0.92%
Piramal Enterprises Ltd.,Equity,0.92%
Azad Engineering Ltd.,Equity,0.91%
Power Finance Corporation Ltd.,Equity,0.89%
Siemens Ltd.,Equity,0.89%
CIE Automotive India Ltd.,Equity,0.88%
Bank Of India,Equity,0.80%
Dr Reddys Laboratories Ltd.,Equity,0.75%
7.26 GOI Aug 22 2032,Debt,0.70%
BSE Ltd.,Equity,0.69%
The Ramco Cements Ltd.,Equity,0.61%
Protean Egov Technologies Ltd.,Equity,0.29%
8.49 National Thermal Power Corporation Ltd. Mar 25 2025,Debt,0.01%
Net Receivables/(Payable),Others,-2.08%
