Company Name,Asset Type,Percentage Allocation
HDFC Bank Ltd.,Equity,5.92%
7.18 GOI Aug 14 2033,Debt,5.63%
ICICI Bank Ltd.,Equity,5.07%
Reliance Industries Ltd.,Equity,4.38%
Infosys Ltd.,Equity,3.72%
State Bank Of India,Equity,3.04%
8.95 Bharti Telecom Ltd. Dec  4 2026,Debt,2.54%
7.37 GOI Oct 23 2028,Debt,2.50%
Tata Consultancy Services Ltd.,Equity,2.23%
ITC Ltd.,Equity,2.17%
Triparty Repo,Others,1.96%
Larsen & Toubro Ltd.,Equity,1.87%
Axis Bank Ltd.,Equity,1.70%
Avenue Supermarts Ltd.,Equity,1.55%
Net Receivables/(Payable),Others,1.54%
Kotak Mahindra Bank Ltd.,Equity,1.53%
Tata Motors - DVR - A - ORDY,Equity,1.52%
Kaynes Technology India Pvt. Ltd.,Equity,1.50%
7.38 GOI Jun 20 2027,Debt,1.49%
Nestle India Ltd.,Equity,1.48%
Divi Laboratories Ltd.,Equity,1.48%
Tata Power Company Ltd.,Equity,1.47%
GAIL (India) Ltd.,Equity,1.45%
Lakshmi Machine Works Ltd.,Equity,1.40%
Bharti Airtel Ltd.,Equity,1.31%
7.18 GOI Jul 24 2037,Debt,1.30%
Wipro Ltd.,Equity,1.24%
Biocon Ltd.,Equity,1.18%
Tata Steel Ltd.,Equity,1.18%
Tech Mahindra Ltd.,Equity,1.17%
L&T Finance Holding Ltd.,Equity,1.15%
V-Mart Retail Ltd.,Equity,1.14%
National Aluminium Company Ltd.,Equity,1.14%
ABB India Ltd.,Equity,1.11%
Gujarat State Fertilizers & Chemicals Ltd.,Equity,1.10%
Jio Financial Services Ltd.,Equity,1.07%
SBI Life Insurance Company Ltd.,Equity,1.06%
7.59 Power Finance Corporation Ltd. Jan 17 2028,Debt,1.05%
Union Bank Of India,Equity,0.98%
NHPC Ltd.,Equity,0.97%
Kalpataru Projects International Ltd.,Equity,0.95%
Natco Pharma Ltd.,Equity,0.93%
First Source Solutions Ltd.,Equity,0.90%
One 97 Communications Ltd.,Equity,0.90%
UNO Minda Ltd.,Equity,0.90%
Whirlpool of India Ltd.,Equity,0.89%
Mahindra & Mahindra Ltd.,Equity,0.85%
Century Textiles & Industries Ltd.,Equity,0.84%
Bata India Ltd.,Equity,0.84%
Vardhman Textiles Ltd.,Equity,0.81%
Torrent Pharmaceuticals Ltd.,Equity,0.79%
Colgate-Palmolive Ltd.,Equity,0.79%
Deepak Nitrite Ltd.,Equity,0.78%
Gillette India Ltd.,Equity,0.78%
Tega Industries Ltd.,Equity,0.75%
Balrampur Chini Mills Ltd.,Equity,0.74%
Schaeffler India Ltd.,Equity,0.74%
Fsn ECommerce Ventures Ltd.,Equity,0.73%
Ultratech Cement Ltd.,Equity,0.66%
Ratnamani Metals & Tubes Ltd.,Equity,0.65%
Apollo Pipes Ltd.,Equity,0.64%
Grindwell Norton Ltd.,Equity,0.59%
8.18 National Bank For Agriculture & Rural Development (Nabard) Dec 26 2028,Debt,0.54%
8.98 Power Finance Corporation Ltd. Oct  8 2024,Debt,0.53%
10.25 Shriram Finance Ltd.(Erstwhile Shriram Transport Finance Company Limited) Apr 26 2024,Debt,0.53%
6.6861 Mindspace Business Parks Reit May 17 2024,Debt,0.52%
7.77 Embassy Office Parks Reit Jun  5 2025,Debt,0.52%
8.3 TVS Credit Services Ltd. Sep 14 2025,Debt,0.52%
6.5 Tata Realty & Infrastructure Ltd. Jul 17 2024,Debt,0.52%
L G Balakrishnan & Bros Ltd.,Equity,0.39%
The Jammu & Kashmir Bank Ltd.,Equity,0.34%
6.99 GOI Apr 17 2026,Debt,0.26%
4.04 GOI Oct  4 2028,Debt,0.26%
8.02 Mindspace Business Parks Reit Apr 13 2026,Debt,0.21%
Doms Industries Ltd.,Equity,0.08%
