Company Name,Asset Type,Percentage Allocation
Cash,Others,7.48%
9.22 LIC Housing Finance Ltd. Oct 16 2024,Debt,6.96%
6.54 GOI Jan 17 2032,Debt,6.70%
HDFC Bank Ltd.,Equity,6.26%
8.54 REC Ltd. Nov 15 2028,Debt,6.16%
8.57 REC Ltd. Dec 21 2024,Debt,4.79%
Reliance Industries Ltd.,Equity,4.48%
National Thermal Power Corporation Ltd.,Equity,2.98%
Larsen & Toubro Ltd.,Equity,2.62%
Colgate-Palmolive Ltd.,Equity,2.18%
Indian Oil Corporation Ltd.,Equity,2.17%
Coal India Ltd.,Equity,2.09%
Bharti Airtel Ltd.,Equity,2.08%
ICICI Bank Ltd.,Equity,1.97%
REC Ltd.,Equity,1.96%
Tata Consultancy Services Ltd.,Equity,1.73%
Nestle India Ltd.,Equity,1.58%
Bajaj Auto Ltd.,Equity,1.51%
Titan Company Ltd.,Equity,1.50%
Power Finance Corporation Ltd.,Equity,1.49%
State Bank Of India,Equity,1.48%
TVS Motor Company Ltd.,Equity,1.39%
Tata Motors - DVR - A - ORDY,Equity,1.17%
Cyient Ltd.,Equity,1.11%
HCL Technologies Ltd.,Equity,1.11%
Birlasoft Ltd.,Equity,1.11%
Trent Ltd.,Equity,1.07%
Jindal Stainless Ltd.,Equity,1.06%
Britannia Industries Ltd.,Equity,1.03%
Aurobindo Pharma Ltd.,Equity,1.02%
Axis Bank Ltd.,Equity,1.01%
Sun Pharmaceuticals Ind Ltd.,Equity,1.00%
HEG Ltd.,Equity,1.00%
Sanofi India Ltd.,Equity,0.99%
Infosys Ltd.,Equity,0.98%
BSE Ltd.,Equity,0.95%
Canara Bank,Equity,0.94%
MRF Ltd.,Equity,0.94%
9.74 Tata Sons Pvt. Ltd. Jan 13 2024,Debt,0.91%
Exide Industries Ltd.,Equity,0.81%
Ltimindtree Ltd.,Equity,0.78%
Prestige Estates Projects Ltd.,Equity,0.77%
Bharat Electronics Ltd.,Equity,0.75%
Brigade Enterprises Ltd.,Equity,0.75%
Zydus Lifesciences Ltd.,Equity,0.75%
Wipro Ltd.,Equity,0.74%
Housing & Urban Development Corporation Ltd. (Hudco),Equity,0.71%
9.34 REC Ltd. Aug 24 2024,Debt,0.70%
Persistent Systems Ltd.,Equity,0.65%
Alkem Laboratories Ltd.,Equity,0.55%
Ircon International Ltd.,Equity,0.54%
Steel Authority Of India Ltd.,Equity,0.54%
Railtel Corporation Of India Ltd.,Equity,0.53%
NLC India Ltd.,Equity,0.50%
Hindustan Aeronautics Ltd.,Equity,0.50%
Hindalco Industries Ltd.,Equity,0.50%
