Company Name,Asset Type,Percentage Allocation
HDFC Bank Ltd.,Equity,5.45%
ICICI Bank Ltd.,Equity,4.28%
Reliance Industries Ltd.,Equity,4.18%
Infosys Ltd.,Equity,3.10%
Larsen & Toubro Ltd.,Equity,2.75%
Triparty Repo,Others,2.59%
Bharti Airtel Ltd.,Equity,2.53%
7.26 GOI Feb  6 2033,Debt,2.46%
7.41 GOI Dec 19 2036,Debt,2.11%
Sun Pharmaceuticals Ind Ltd.,Equity,1.98%
7.18 GOI Aug 14 2033,Debt,1.96%
Kalyan Jewellers India Ltd.,Equity,1.85%
National Thermal Power Corporation Ltd.,Equity,1.60%
State Bank Of India,Equity,1.57%
Axis Bank Ltd.,Equity,1.57%
Varun Beverages Ltd.,Equity,1.44%
United Spirits Ltd.,Equity,1.37%
Tube Investments Of India Ltd.,Equity,1.32%
Shriram Finance Ltd.(Erstwhile Shriram Transport Finance Company Limited),Equity,1.31%
HCL Technologies Ltd.,Equity,1.27%
Indusind Bank Ltd.,Equity,1.18%
Bajaj Finserv Ltd.,Equity,1.15%
Tata Consultancy Services Ltd.,Equity,1.11%
Coromandel International Ltd. (Coromandel Fertilisers Ltd.),Equity,1.09%
Ultratech Cement Ltd.,Equity,1.03%
Home First Finance Company India Ltd.,Equity,1.03%
SBI Life Insurance Company Ltd.,Equity,0.97%
Tata Consumer Products Ltd.,Equity,0.91%
Westlife Foodworld Ltd.,Equity,0.90%
ITC Ltd.,Equity,0.85%
Zydus Lifesciences Ltd.,Equity,0.85%
Bajaj Auto Ltd.,Equity,0.83%
GAIL (India) Ltd.,Equity,0.80%
Union Bank Of India,Equity,0.79%
Schaeffler India Ltd.,Equity,0.79%
Dalmia Bharat Ltd.,Equity,0.78%
Maruti Suzuki India Ltd.,Equity,0.76%
Cash,Others,0.76%
Computer Age Management Services Ltd.,Equity,0.75%
Mahindra & Mahindra Ltd.,Equity,0.74%
7.82 LIC Housing Finance Ltd. Nov 28 2025,Debt,0.73%
Eicher Motors Ltd.,Equity,0.67%
Hindustan Unilever Ltd.,Equity,0.65%
Indian Bank,Equity,0.65%
Tata Motors Ltd.,Equity,0.64%
7.82 Power Finance Corporation Ltd. Mar  6 2038,Debt,0.62%
8.025 LIC Housing Finance Ltd. Mar 23 2033,Debt,0.62%
7.38 GOI Jun 20 2027,Debt,0.62%
Tata Steel Ltd.,Equity,0.62%
7.79 Small Industries Development Bank Of India May 14 2027,Debt,0.61%
7.65 National Bank For Financing Infrastructure And Development Dec 22 2038,Debt,0.61%
7.1 GOI Apr 18 2029,Debt,0.61%
7.62 National Bank For Agriculture & Rural Development (Nabard) Jan 31 2028,Debt,0.61%
7.58 National Bank For Agriculture & Rural Development (Nabard) Jul 31 2026,Debt,0.61%
HDFC Bank Ltd.,Others,0.61%
7.43 Small Industries Development Bank Of India Aug 31 2026,Debt,0.61%
5.74 REC Ltd. Jun 20 2024,Debt,0.61%
Cummins India Ltd.,Equity,0.60%
Ashok Leyland Ltd.,Equity,0.60%
Hatsun Agro Product Ltd.,Equity,0.60%
Delhivery Ltd.,Equity,0.60%
Cipla Ltd.,Equity,0.60%
Alkem Laboratories Ltd.,Equity,0.59%
Voltas Ltd.,Equity,0.56%
Fortis Healthcare Ltd.,Equity,0.54%
PI Industries Ltd.,Equity,0.54%
Canara Bank,Equity,0.53%
Finolex Industries Ltd.,Equity,0.52%
Kotak Mahindra Bank Ltd.,Equity,0.51%
Polycab India Ltd.,Equity,0.50%
Avenue Supermarts Ltd.,Equity,0.50%
8.27 REC Ltd. Feb  6 2025,Debt,0.49%
7.68 Indian Railway Finance Corporation Ltd. Nov 24 2026,Debt,0.49%
Sona Blw Precision Forgings Ltd.,Equity,0.47%
5.74 GOI Nov 15 2026,Debt,0.47%
Cholamandalam Investment & Finance Company Ltd.,Equity,0.44%
UNO Minda Ltd.,Equity,0.42%
ICICI Prudential Life Insurance Company Ltd.,Equity,0.42%
Cholamandalam Financial Holdings Ltd.,Equity,0.41%
Zomato Ltd.,Equity,0.40%
Ltimindtree Ltd.,Equity,0.40%
TVS Holdings Ltd.,Equity,0.39%
7.74 Indian Railway Finance Corporation Ltd. Apr 15 2038,Debt,0.37%
7.77 Power Finance Corporation Ltd. Apr 15 2028,Debt,0.37%
7.69 REC Ltd. Mar 31 2033,Debt,0.37%
7.77 Power Finance Corporation Ltd. Jul 15 2026,Debt,0.37%
8.55 Bank Of Baroda Feb 14 2029,Debt,0.37%
8 ICICI Home Finance Company Ltd. Jun 28 2024,Debt,0.37%
7.8 HDFC Bank Ltd. May  3 2033,Debt,0.37%
7.77 Embassy Office Parks Reit Jun  5 2025,Debt,0.37%
4.04 GOI Oct  4 2028,Debt,0.37%
7.35 National Bank For Agriculture & Rural Development (Nabard) Jul  8 2025,Debt,0.37%
7.35 HDFC Bank Ltd. Feb 10 2025,Debt,0.37%
7.18 GOI Jul 24 2037,Debt,0.36%
7.13 Power Finance Corporation Ltd. Aug  8 2025,Debt,0.36%
6.25 LIC Housing Finance Ltd. Jun 20 2025,Debt,0.36%
Info Edge (India) Ltd.,Equity,0.36%
TVS Motor Company Ltd.,Equity,0.35%
Jindal Steel & Power Ltd.,Equity,0.35%
Jubilant Foodworks Ltd.,Equity,0.35%
Asian Paints Ltd.,Equity,0.33%
NIIT Learning Systems Ltd.,Equity,0.33%
The Indian Hotels Company Ltd.,Equity,0.32%
