Company Name,Asset Type,Percentage Allocation
HDFC Bank Ltd.,Equity,9.14%
State Bank Of India,Equity,6.73%
Reliance Industries Ltd.,Equity,6.28%
ICICI Bank Ltd.,Equity,4.19%
Tata Consultancy Services Ltd.,Equity,4.19%
Larsen & Toubro Ltd.,Equity,3.91%
Bharti Airtel Ltd.,Equity,3.84%
ITC Ltd.,Equity,3.57%
Varun Beverages Ltd.,Equity,3.34%
Repo,Others,2.86%
Infosys Ltd.,Equity,2.77%
BASF India Ltd.,Equity,2.62%
IDFC Ltd.,Equity,2.38%
Ultratech Cement Ltd.,Equity,2.32%
Cash,Others,2.09%
Hindustan Unilever Ltd.,Equity,1.98%
7.18 GOI Jul 24 2037,Debt,1.78%
Mahindra & Mahindra Ltd.,Equity,1.67%
Redington (India) Ltd.,Equity,1.56%
Kotak Mahindra Bank Ltd.,Equity,1.47%
7.81 State Bank Of India Nov  2 2038,Debt,1.39%
Zee Entertainment Enterprises Ltd.,Equity,1.36%
Aditya Birla Fashion & Retail Ltd.,Equity,1.33%
Oracle Financial Services Software Ltd.,Equity,1.16%
Sundram Fasteners Ltd.,Equity,1.14%
HDFC Asset Management Company Ltd.,Equity,1.11%
7.38 GOI Jun 20 2027,Debt,1.08%
Lupin Ltd.,Equity,0.91%
IDFC First Bank Ltd. (Erstwhile IDFC Bank Ltd.),Equity,0.86%
Maruti Suzuki India Ltd.,Equity,0.85%
Gujarat State Petronet Ltd.,Equity,0.84%
5.63 GOI Apr 12 2026,Debt,0.80%
Gujarat Pipavav Port Ltd.,Equity,0.76%
Quess Corp Ltd.,Equity,0.75%
Ajanta Pharma Ltd.,Equity,0.72%
Tata Motors - DVR - A - ORDY,Equity,0.70%
7.32 GOI Nov 13 2030,Debt,0.70%
8.9 Bharti Telecom Ltd. Dec  4 2025,Debt,0.69%
7.17 GOI Apr 17 2030,Debt,0.69%
8.25 Toyota Financial Services India Ltd. Jan 21 2026,Debt,0.69%
7.18 GOI Aug 14 2033,Debt,0.69%
8.07 Tata Capital Financial Services Ltd. Oct 20 2028,Debt,0.69%
7.06 GOI Apr 10 2028,Debt,0.69%
7.9712 Kotak Mahindra Investments Ltd. May  5 2025,Debt,0.69%
7.9 Bajaj Finance Ltd. Nov 17 2025,Debt,0.69%
7.55 Power Finance Corporation Ltd. Jul 15 2026,Debt,0.69%
7.7201 LIC Housing Finance Ltd. Feb 12 2026,Debt,0.69%
4.19 REC Ltd. Oct 31 2024,Debt,0.69%
7.47 Small Industries Development Bank Of India Nov 25 2025,Debt,0.69%
8.15 Godrej Properties Ltd. Jul  3 2026,Debt,0.68%
6.4 Jamnagar Utilities & Power Pvt. Ltd. Sep 29 2026,Debt,0.66%
Cummins India Ltd.,Equity,0.54%
6.8 Varanasi Sangam Expressway Pvt. Ltd. Dec 29 2034,Debt,0.52%
Agro Tech Foods Ltd.,Equity,0.48%
ACC Ltd.,Equity,0.43%
7.62 Uttar Pradesh SDL Dec 20 2034,Debt,0.33%
Akzo Nobel India Ltd.,Equity,0.32%
PI Industries Ltd.,Equity,0.29%
7.8 Gujarat SDL Dec 27 2027,Debt,0.28%
Mahindra & Mahindra Financial Services Ltd.,Equity,0.21%
Bharti Airtel Ltd.,Equity,0.19%
Mahindra & Mahindra Financial Services Ltd.,Equity,0.17%
7.26 GOI Feb  6 2033,Debt,0.15%
7.26 GOI Aug 22 2032,Debt,0.14%
7.32 GOI Jan 28 2024,Debt,0.14%
8.15 HDFC ERGO General Insurance Company Ltd. (Erstwhile HDFC ERGO Health Insurance Ltd.) (Erstwhile Apol Sep 26 2033,Debt,0.14%
7.36 GOI Sep 12 2052,Debt,0.14%
7.13 NHPC Ltd. Feb  9 2029,Debt,0.14%
7 Hindustan Petroleum Corporation Ltd. Aug 14 2024,Debt,0.13%
7.27 GOI Apr  8 2026,Debt,0.12%
6.75 Sikka Ports Terminals (Erst Reliance Ports & Terminals Ltd.) Apr 22 2026,Debt,0.11%
6.92 Indian Railway Finance Corporation Ltd. Aug 29 2031,Debt,0.11%
7.85 Uttar Pradesh SDL Dec 27 2027,Debt,0.06%
8.13 GOI Jun 22 2045,Debt,0.03%
7.7 Maharashtra SDL  Nov  8 2034,Debt,0.03%
8.3 GOI Jul  2 2040,Debt,0.02%
8.14 Tamil Nadu SDL May 27 2025,Debt,0.01%
7.26 GOI Jan 14 2029,Debt,0.01%
6.19 GOI Sep 16 2034,Debt,0.01%
7.33 Maharashtra SDL  Sep 13 2027,Debt,0.00%
6.57 GOI Dec  5 2033,Debt,0.00%
