Company Name,Asset Type,Percentage Allocation
HDFC Bank Ltd.,Equity,7.43%
ICICI Bank Ltd.,Equity,5.32%
7.26 GOI Feb  6 2033,Debt,4.81%
Reliance Industries Ltd.,Equity,4.47%
Infosys Ltd.,Equity,4.30%
7.18 GOI Jul 24 2037,Debt,3.80%
Larsen & Toubro Ltd.,Equity,3.42%
ITC Ltd.,Equity,2.88%
Mahindra & Mahindra Ltd.,Equity,2.48%
7.41 GOI Dec 19 2036,Debt,2.43%
Indusind Bank Ltd.,Equity,2.02%
Axis Bank Ltd.,Equity,1.93%
Current Assets,Others,1.87%
HCL Technologies Ltd.,Equity,1.85%
Tata Motors - DVR - A - ORDY,Equity,1.63%
State Bank Of India,Equity,1.61%
GAIL (India) Ltd.,Equity,1.59%
Hindalco Industries Ltd.,Equity,1.54%
7.3 GOI Jun 19 2053,Debt,1.42%
Bharti Airtel Ltd.,Equity,1.36%
Interglobe Aviation Ltd.,Equity,1.27%
Hero Motocorp Ltd.,Equity,1.21%
7.18 GOI Aug 14 2033,Debt,1.18%
Bajaj Auto Ltd.,Equity,1.08%
7.97 HDFC Bank Ltd. Feb 17 2033,Debt,0.97%
7.69 REC Ltd. Mar 31 2033,Debt,0.96%
7.46 REC Ltd. Jun 30 2028,Debt,0.95%
Tata Steel Ltd.,Equity,0.93%
NMDC Ltd.,Equity,0.93%
The Phoenix Mills Ltd.,Equity,0.90%
Gland Pharma Ltd.,Equity,0.84%
Ajanta Pharma Ltd.,Equity,0.79%
Cipla Ltd.,Equity,0.78%
Aurobindo Pharma Ltd.,Equity,0.78%
8.5 Canara Bank Dec 31 2120,Debt,0.76%
Apollo Tyres Ltd.,Equity,0.76%
Oracle Financial Services Software Ltd.,Equity,0.76%
Emami Ltd.,Equity,0.73%
Dalmia Bharat Ltd.,Equity,0.72%
Nippon Life India Asset Management Ltd.,Equity,0.70%
Fortis Healthcare Ltd.,Equity,0.68%
Raymond Ltd.,Equity,0.68%
The Federal Bank Ltd.,Equity,0.67%
G R Infraprojects Ltd.,Equity,0.66%
Shriram Finance Ltd.(Erstwhile Shriram Transport Finance Company Limited),Equity,0.65%
Max Financial Services Ltd.,Equity,0.65%
Marksans Pharma Ltd.,Equity,0.64%
Oil India Ltd.,Equity,0.62%
Ghcl Ltd.,Equity,0.60%
9.25 Shriram Finance Ltd.(Erstwhile Shriram Transport Finance Company Limited) Dec 19 2025,Debt,0.58%
7.13 Power Finance Corporation Ltd. Jul 15 2026,Debt,0.57%
Zydus Lifesciences Ltd.,Equity,0.56%
7.4 Summit Digitel Infrastructure Pvt. Ltd. (Erstwhile Reliance Jio Infratel Pvt. Ltd.) Sep 28 2028,Debt,0.56%
Coromandel International Ltd. (Coromandel Fertilisers Ltd.),Equity,0.55%
S.P. Apparels Ltd.,Equity,0.55%
Aditya Birla Capital Ltd.,Equity,0.52%
Balkrishna Industries Ltd.,Equity,0.49%
Endurance Technologies Ltd.,Equity,0.49%
Biocon Ltd.,Equity,0.49%
7.83 Small Industries Development Bank Of India Nov 24 2028,Debt,0.48%
7.77 Power Finance Corporation Ltd. Apr 15 2028,Debt,0.48%
8.3 Mahindra & Mahindra Financial Services Ltd. Mar 23 2026,Debt,0.48%
7.64 Power Finance Corporation Ltd. Feb 22 2033,Debt,0.48%
7.9 Jamnagar Utilities & Power Pvt. Ltd. Aug 10 2028,Debt,0.48%
7.86 HDFC Bank Ltd. Dec  2 2032,Debt,0.48%
7.99 HDB Financial Services Ltd. Mar 16 2026,Debt,0.48%
7.15 Tata Motors Finance Ltd. Jun 25 2024,Debt,0.48%
7.42 Union Bank Of India Sep 16 2030,Debt,0.47%
7.43 National Bank For Financing Infrastructure And Development Jun 16 2033,Debt,0.47%
Indian Bank,Equity,0.47%
6.63 Tamil Nadu SDL Dec 23 2035,Debt,0.46%
6.09 Power Finance Corporation Ltd. Aug 27 2026,Debt,0.46%
Mahindra Holidays & Resorts India Ltd.,Equity,0.46%
Prestige Estates Projects Ltd.,Equity,0.45%
Zee Entertainment Enterprises Ltd.,Equity,0.44%
The Great Eastern Shipping Company Ltd.,Equity,0.44%
Mphasis Ltd.,Equity,0.43%
Crompton Greaves Consumer Electrcials Ltd.,Equity,0.42%
Sundaram Finance Ltd.,Equity,0.41%
STAR HEALTH & ALLIED INSURANCE COMPANY Ltd.,Equity,0.40%
Indraprastha Gas Ltd.,Equity,0.40%
Indo Count Industries Ltd.,Equity,0.39%
7.9 LIC Housing Finance Ltd. Jun 23 2027,Debt,0.38%
Caplin Point Laboratories Ltd.,Equity,0.33%
HDFC Asset Management Company Ltd.,Equity,0.20%
7.37 Power Finance Corporation Ltd. May 22 2026,Debt,0.19%
7.75 State Bank Of India Sep  9 2122,Debt,0.19%
Bharti Airtel Ltd.,Equity,0.18%
6.75 Piramal Capital & Housing Finance Ltd. (Erstwhile Dewan Housing Finance Corporation Ltd.) Sep 26 2031,Debt,0.16%
Treasury Bill (364D),Others,0.13%
Stock Holding Corporation of India Ltd.,Debt,0.10%
7.24 Tamil Nadu SDL Jun 28 2027,Debt,0.10%
GHCL TEXTILES LTD.,Equity,0.09%
CBLO(CCIL),Others,0.04%
Treasury Bill (364D),Others,0.04%
6.97 Maharashtra SDL  Feb 18 2028,Debt,0.04%
7.44 Power Finance Corporation Ltd. Jun 11 2027,Debt,0.02%
GOI,Debt,0.01%
7.51 Maharashtra SDL  May 24 2027,Debt,0.01%
Treasury Bill (91D),Others,0.01%
Life Insurance Corporation of India,Equity,0.01%
