Company Name,Asset Type,Percentage Allocation
Derivative,Others,73.22%
Aditya Birla Sun Life Mutual Fund (Aditya Birla Sun Life Money Manager Fund - Direct - Growth),Debt,15.53%
CBLO(CCIL),Others,7.19%
Reliance Industries Ltd.,Equity,3.10%
ICICI Bank Ltd.,Equity,2.87%
Vodafone Idea Ltd.,Equity,2.59%
Panatone Finvest Ltd. (364D),Others,2.56%
Bandhan Bank Ltd.,Equity,2.08%
NMDC Ltd.,Equity,1.87%
Zee Entertainment Enterprises Ltd.,Equity,1.81%
GMR Airports Infrastructure Ltd.,Equity,1.76%
Punjab National Bank,Equity,1.74%
Ambuja Cements Ltd.,Equity,1.64%
GAIL (India) Ltd.,Equity,1.51%
Bank Of Baroda,Equity,1.40%
Aurobindo Pharma Ltd.,Equity,1.34%
Indus Towers Ltd. (Erstwhile Bharti Infratel Limited),Equity,1.29%
Adani Ports and Special Economic Zone Ltd.,Equity,1.27%
Infosys Ltd.,Equity,1.26%
State Bank Of India,Equity,1.22%
Indian Energy Exchange Ltd.,Equity,1.21%
Shriram Finance Ltd.(Erstwhile Shriram Transport Finance Company Limited),Equity,1.18%
Steel Authority Of India Ltd.,Equity,1.14%
Bharat Heavy Electricals Ltd.,Equity,1.10%
Indian Railway Catering & Tourism Corporation Ltd.,Equity,1.06%
Other Margin,Debt,1.06%
Axis Bank Ltd.,Equity,1.04%
Vedanta Ltd.,Equity,1.00%
Aditya Birla Sun Life Mutual Fund (Aditya Birla Sun Life Liquid Fund - Direct - Growth),Debt,0.97%
ITC Ltd.,Equity,0.93%
Bharat Petroleum Corporation Ltd.,Equity,0.92%
ACC Ltd.,Equity,0.92%
PVR INOX Ltd.,Equity,0.88%
RBL Bank Ltd.,Equity,0.84%
Piramal Enterprises Ltd.,Equity,0.83%
Hindustan Copper Ltd.,Equity,0.82%
Power Grid Corporation Of India Ltd.,Equity,0.79%
Escorts Kubota Ltd.,Equity,0.78%
DLF Ltd.,Equity,0.77%
Tata Power Company Ltd.,Equity,0.76%
Power Finance Corporation Ltd.,Equity,0.67%
HDFC Securities Ltd. (91D),Others,0.64%
Bajaj Finance Ltd.,Equity,0.63%
Jindal Steel & Power Ltd.,Equity,0.60%
Tata Consultancy Services Ltd.,Equity,0.59%
Hindustan Aeronautics Ltd.,Equity,0.59%
Glenmark Pharmaceuticals Ltd.,Equity,0.58%
Larsen & Toubro Ltd.,Equity,0.58%
Tata Motors Ltd.,Equity,0.57%
Petronet Lng Ltd.,Equity,0.57%
Bharat Electronics Ltd.,Equity,0.55%
Grasim Industries Ltd.,Equity,0.55%
Kotak Mahindra Bank Ltd.,Equity,0.55%
Canara Bank,Equity,0.55%
Dalmia Bharat Ltd.,Equity,0.54%
Dabur India Ltd.,Equity,0.53%
Adani Enterprises Ltd.,Equity,0.52%
Oil & Natural Gas Corporation Ltd.,Equity,0.51%
Siemens Ltd.,Equity,0.47%
Bharti Airtel Ltd.,Equity,0.45%
The Federal Bank Ltd.,Equity,0.45%
Asian Paints Ltd.,Equity,0.44%
Canfin Homes Ltd.,Equity,0.42%
Apollo Hospitals Enterprise Ltd.,Equity,0.42%
Ashok Leyland Ltd.,Equity,0.41%
Chambal Fertilisers & Chemicals Ltd.,Equity,0.40%
JSW Steel Ltd.,Equity,0.39%
Aarti Industries Ltd.,Equity,0.37%
Wipro Ltd.,Equity,0.37%
National Thermal Power Corporation Ltd.,Equity,0.36%
Lupin Ltd.,Equity,0.36%
Hindustan Unilever Ltd.,Equity,0.36%
Multi Commodity Exchange of India Ltd.,Equity,0.36%
Indusind Bank Ltd.,Equity,0.35%
Tata Steel Ltd.,Equity,0.35%
Voltas Ltd.,Equity,0.34%
Nestle India Ltd.,Equity,0.34%
Hindustan Petroleum Corporation Ltd.,Equity,0.34%
Hindalco Industries Ltd.,Equity,0.33%
Divi Laboratories Ltd.,Equity,0.32%
Havells India Ltd.,Equity,0.32%
Coal India Ltd.,Equity,0.32%
HDFC Bank Ltd.,Equity,0.31%
United Spirits Ltd.,Equity,0.30%
Oberoi Realty Ltd.,Equity,0.30%
Biocon Ltd.,Equity,0.30%
Trent Ltd.,Equity,0.27%
India Cements Ltd.,Equity,0.27%
Maruti Suzuki India Ltd.,Equity,0.26%
Info Edge (India) Ltd.,Equity,0.25%
Titan Company Ltd.,Equity,0.25%
City Union Bank Ltd.,Equity,0.25%
Manappuram Finance Ltd.,Equity,0.23%
Pidilite Industries Ltd.,Equity,0.22%
PI Industries Ltd.,Equity,0.22%
ABB India Ltd.,Equity,0.21%
Godrej Consumer Products Ltd.,Equity,0.21%
National Aluminium Company Ltd.,Equity,0.20%
Indraprastha Gas Ltd.,Equity,0.20%
Exide Industries Ltd.,Equity,0.20%
ICICI Prudential Life Insurance Company Ltd.,Equity,0.19%
Samvardhana Motherson International Ltd. (Erstwhile Motherson Sumi Systems Ltd.),Equity,0.18%
Bajaj Finserv Ltd.,Equity,0.17%
Zydus Lifesciences Ltd.,Equity,0.17%
Aditya Birla Capital Ltd.,Equity,0.16%
Max Financial Services Ltd.,Equity,0.15%
Gujarat Narmada Valley Fertilizers & Chemicals Ltd.,Equity,0.15%
Granules India Ltd.,Equity,0.14%
SBI Life Insurance Company Ltd.,Equity,0.13%
ICICI Lombard General Insurance Company Ltd.,Equity,0.13%
Marico Ltd.,Equity,0.12%
REC Ltd.,Equity,0.11%
Ltimindtree Ltd.,Equity,0.10%
LIC Housing Finance Ltd.,Equity,0.10%
Delta Corp Ltd.,Equity,0.09%
Balrampur Chini Mills Ltd.,Equity,0.09%
The Indian Hotels Company Ltd.,Equity,0.09%
Mahanagar Gas Ltd.,Equity,0.08%
Interglobe Aviation Ltd.,Equity,0.08%
Tech Mahindra Ltd.,Equity,0.08%
Tata Consumer Products Ltd.,Equity,0.08%
Sun Pharmaceuticals Ind Ltd.,Equity,0.07%
MRF Ltd.,Equity,0.07%
Container Corporation Of India Ltd.,Equity,0.07%
Abbott India Ltd.,Equity,0.06%
Shree Cement Ltd.,Equity,0.06%
Page Industries Ltd.,Equity,0.06%
Balkrishna Industries Ltd.,Equity,0.05%
Crompton Greaves Consumer Electrcials Ltd.,Equity,0.05%
United Breweries Ltd.,Equity,0.05%
SRF Ltd.,Equity,0.05%
Eicher Motors Ltd.,Equity,0.04%
Deepak Nitrite Ltd.,Equity,0.04%
Cipla Ltd.,Equity,0.04%
Tata Chemicals Ltd.,Equity,0.04%
The Ramco Cements Ltd.,Equity,0.04%
Indiamart Intermesh Ltd.,Equity,0.04%
Sun T V Network Ltd.,Equity,0.03%
Apollo Tyres Ltd.,Equity,0.03%
Gujarat Gas Ltd.,Equity,0.03%
Oracle Financial Services Software Ltd.,Equity,0.02%
L&T Finance Holding Ltd.,Equity,0.02%
Laurus Labs Ltd.,Equity,0.02%
IDFC Ltd.,Equity,0.02%
UPL Ltd. (Erstwhile United Phosphorus Ltd.),Equity,0.02%
Godrej Properties Ltd.,Equity,0.02%
Dr Lal PathLabs Ltd.,Equity,0.01%
L&T Technology Services Ltd.,Equity,0.01%
HDFC Asset Management Company Ltd.,Equity,0.01%
Birlasoft Ltd.,Equity,0.01%
Syngene International Ltd.,Equity,0.01%
Coforge Ltd.,Equity,0.01%
Atul Ltd.,Equity,0.00%
Bata India Ltd.,Equity,0.00%
Bharat Forge Ltd.,Equity,0.00%
Torrent Pharmaceuticals Ltd.,Equity,0.00%
Bosch Ltd.,Equity,0.00%
J. K. Cement Ltd.,Equity,0.00%
Dr Reddys Laboratories Ltd.,Equity,0.00%
Cash,Others,0.00%
Dr Reddys Laboratories Ltd.,Equity,0.00%
J. K. Cement Ltd.,Equity,0.00%
Bosch Ltd.,Equity,0.00%
Torrent Pharmaceuticals Ltd.,Equity,0.00%
Bharat Forge Ltd.,Equity,0.00%
Bata India Ltd.,Equity,0.00%
Atul Ltd.,Equity,0.00%
Coforge Ltd.,Equity,-0.01%
Syngene International Ltd.,Equity,-0.01%
KPIT Technologies Ltd.,Equity,-0.01%
HDFC Asset Management Company Ltd.,Equity,-0.01%
L&T Technology Services Ltd.,Equity,-0.01%
Dr Lal PathLabs Ltd.,Equity,-0.01%
Godrej Properties Ltd.,Equity,-0.02%
UPL Ltd. (Erstwhile United Phosphorus Ltd.),Equity,-0.02%
IDFC Ltd.,Equity,-0.02%
Laurus Labs Ltd.,Equity,-0.02%
L&T Finance Holding Ltd.,Equity,-0.02%
Oracle Financial Services Software Ltd.,Equity,-0.03%
Gujarat Gas Ltd.,Equity,-0.03%
Apollo Tyres Ltd.,Equity,-0.03%
Sun T V Network Ltd.,Equity,-0.03%
Indiamart Intermesh Ltd.,Equity,-0.04%
The Ramco Cements Ltd.,Equity,-0.04%
Tata Chemicals Ltd.,Equity,-0.04%
Cipla Ltd.,Equity,-0.04%
Deepak Nitrite Ltd.,Equity,-0.04%
Eicher Motors Ltd.,Equity,-0.04%
SRF Ltd.,Equity,-0.05%
United Breweries Ltd.,Equity,-0.05%
Crompton Greaves Consumer Electrcials Ltd.,Equity,-0.05%
Balkrishna Industries Ltd.,Equity,-0.05%
Page Industries Ltd.,Equity,-0.06%
Shree Cement Ltd.,Equity,-0.06%
Abbott India Ltd.,Equity,-0.06%
Container Corporation Of India Ltd.,Equity,-0.07%
MRF Ltd.,Equity,-0.07%
Sun Pharmaceuticals Ind Ltd.,Equity,-0.07%
Tata Consumer Products Ltd.,Equity,-0.08%
Tech Mahindra Ltd.,Equity,-0.08%
Interglobe Aviation Ltd.,Equity,-0.08%
Mahanagar Gas Ltd.,Equity,-0.08%
The Indian Hotels Company Ltd.,Equity,-0.09%
Balrampur Chini Mills Ltd.,Equity,-0.09%
Delta Corp Ltd.,Equity,-0.09%
LIC Housing Finance Ltd.,Equity,-0.10%
Ltimindtree Ltd.,Equity,-0.10%
REC Ltd.,Equity,-0.11%
Marico Ltd.,Equity,-0.12%
ICICI Lombard General Insurance Company Ltd.,Equity,-0.13%
SBI Life Insurance Company Ltd.,Equity,-0.13%
Granules India Ltd.,Equity,-0.15%
Gujarat Narmada Valley Fertilizers & Chemicals Ltd.,Equity,-0.15%
Max Financial Services Ltd.,Equity,-0.15%
Aditya Birla Capital Ltd.,Equity,-0.16%
Zydus Lifesciences Ltd.,Equity,-0.17%
Bajaj Finserv Ltd.,Equity,-0.17%
Samvardhana Motherson International Ltd. (Erstwhile Motherson Sumi Systems Ltd.),Equity,-0.18%
ICICI Prudential Life Insurance Company Ltd.,Equity,-0.19%
Exide Industries Ltd.,Equity,-0.20%
Indraprastha Gas Ltd.,Equity,-0.20%
National Aluminium Company Ltd.,Equity,-0.20%
Godrej Consumer Products Ltd.,Equity,-0.21%
ABB India Ltd.,Equity,-0.21%
