Company Name,Asset Type,Percentage Allocation
Net Receivables/(Payable),Others,70.92%
Axis Mutual Fund (Axis Ultra Short Term Fund - Direct - Growth),Debt,5.68%
Axis Mutual Fund (Axis Money Market Fund - Direct - Growth),Debt,5.67%
CBLO(CCIL),Others,4.46%
Reliance Industries Ltd.,Equity,3.21%
ICICI Bank Ltd.,Equity,3.15%
Tata Power Company Ltd.,Equity,2.82%
Aurobindo Pharma Ltd.,Equity,2.76%
ICICI Securities Ltd. (280D),Others,2.73%
HDFC Bank Ltd.,Equity,2.63%
Vodafone Idea Ltd.,Equity,2.31%
Zee Entertainment Enterprises Ltd.,Equity,2.23%
Jindal Steel & Power Ltd.,Equity,2.05%
Hindustan Copper Ltd.,Equity,2.02%
Ambuja Cements Ltd.,Equity,1.96%
RBL Bank Ltd.,Equity,1.95%
Manappuram Finance Ltd.,Equity,1.79%
Bandhan Bank Ltd.,Equity,1.63%
Infosys Ltd.,Equity,1.57%
Apollo Hospitals Enterprise Ltd.,Equity,1.53%
Steel Authority Of India Ltd.,Equity,1.43%
Treasury Bill (182D),Others,1.38%
HDFC Bank Ltd.,Others,1.37%
Aditya Birla Finance Ltd. (365D),Others,1.37%
Bajaj Finance Ltd.,Equity,1.23%
PI Industries Ltd.,Equity,1.23%
Dabur India Ltd.,Equity,1.18%
Indus Towers Ltd. (Erstwhile Bharti Infratel Limited),Equity,1.17%
Larsen & Toubro Ltd.,Equity,1.15%
Tata Steel Ltd.,Equity,1.11%
Tech Mahindra Ltd.,Equity,1.00%
Hindalco Industries Ltd.,Equity,0.94%
ACC Ltd.,Equity,0.92%
United Spirits Ltd.,Equity,0.90%
Ashok Leyland Ltd.,Equity,0.88%
Tata Motors Ltd.,Equity,0.87%
Godrej Consumer Products Ltd.,Equity,0.80%
Indian Energy Exchange Ltd.,Equity,0.79%
Vedanta Ltd.,Equity,0.79%
Indian Railway Catering & Tourism Corporation Ltd.,Equity,0.78%
Power Grid Corporation Of India Ltd.,Equity,0.76%
ITC Ltd.,Equity,0.74%
Interglobe Aviation Ltd.,Equity,0.74%
8.43 Rajasthan SDL Nov 26 2024,Debt,0.70%
Granules India Ltd.,Equity,0.70%
Treasury Bill (182D),Others,0.69%
Treasury Bill (91D),Others,0.69%
Treasury Bill (364D),Others,0.69%
Treasury Bill (182D),Others,0.69%
Reliance Retail Ventures Ltd. (91D),Others,0.69%
HDFC Bank Ltd. (364D),Others,0.68%
Mahindra & Mahindra Financial Services Ltd. (364D),Others,0.67%
State Bank Of India,Equity,0.67%
DLF Ltd.,Equity,0.65%
Piramal Enterprises Ltd.,Equity,0.65%
