Company Name,Asset Type,Percentage Allocation
Derivative,Others,73.38%
Bandhan Mutual Fund,Debt,10.11%
Triparty Repo,Others,6.10%
Bandhan Mutual Fund,Debt,3.64%
5.23 National Bank For Agriculture & Rural Development (Nabard) Jan 31 2025,Debt,3.03%
5.4 Kotak Mahindra Prime Ltd. Jun 21 2024,Debt,2.15%
Zee Entertainment Enterprises Ltd.,Equity,2.15%
HDFC Bank Ltd.,Equity,1.87%
Tata Consultancy Services Ltd.,Equity,1.62%
Adani Enterprises Ltd.,Equity,1.61%
Vedanta Ltd.,Equity,1.53%
ICICI Bank Ltd.,Equity,1.45%
Vodafone Idea Ltd.,Equity,1.40%
Infosys Ltd.,Equity,1.38%
Reliance Industries Ltd.,Equity,1.33%
Punjab National Bank,Equity,1.28%
5.95 Bajaj Finance Ltd. Apr 12 2024,Debt,1.24%
Steel Authority Of India Ltd.,Equity,1.20%
Aurobindo Pharma Ltd.,Equity,1.20%
RBL Bank Ltd.,Equity,1.19%
Dabur India Ltd.,Equity,1.17%
Adani Ports and Special Economic Zone Ltd.,Equity,1.14%
Tata Motors Ltd.,Equity,1.11%
Sun Pharmaceuticals Ind Ltd.,Equity,1.09%
Shriram Finance Ltd.(Erstwhile Shriram Transport Finance Company Limited),Equity,1.05%
ITC Ltd.,Equity,1.05%
7.38 GOI Jun 20 2027,Debt,1.05%
7.42 Power Finance Corporation Ltd. Nov 19 2024,Debt,1.03%
Indian Railway Catering & Tourism Corporation Ltd.,Equity,0.97%
State Bank Of India,Equity,0.94%
Escorts Kubota Ltd.,Equity,0.91%
Bajaj Finance Ltd.,Equity,0.89%
Samvardhana Motherson International Ltd. (Erstwhile Motherson Sumi Systems Ltd.),Equity,0.88%
Lupin Ltd.,Equity,0.88%
Indus Towers Ltd. (Erstwhile Bharti Infratel Limited),Equity,0.87%
Glenmark Pharmaceuticals Ltd.,Equity,0.87%
NMDC Ltd.,Equity,0.86%
Voltas Ltd.,Equity,0.86%
Hindustan Petroleum Corporation Ltd.,Equity,0.85%
IDFC Ltd.,Equity,0.80%
Bharat Heavy Electricals Ltd.,Equity,0.80%
Power Grid Corporation Of India Ltd.,Equity,0.78%
Bank Of Baroda,Equity,0.77%
Power Finance Corporation Ltd.,Equity,0.75%
GMR Airports Infrastructure Ltd.,Equity,0.72%
Oberoi Realty Ltd.,Equity,0.71%
Bharat Petroleum Corporation Ltd.,Equity,0.70%
Oracle Financial Services Software Ltd.,Equity,0.68%
Indian Energy Exchange Ltd.,Equity,0.67%
IDFC First Bank Ltd. (Erstwhile IDFC Bank Ltd.),Equity,0.66%
Trent Ltd.,Equity,0.64%
5.65 Bajaj Finance Ltd. May 10 2024,Debt,0.62%
Havells India Ltd.,Equity,0.60%
Piramal Enterprises Ltd.,Equity,0.60%
Godrej Consumer Products Ltd.,Equity,0.59%
Grasim Industries Ltd.,Equity,0.59%
Bandhan Mutual Fund,Debt,0.52%
7.8925 Bajaj Finance Ltd. Jun 10 2025,Debt,0.52%
7.25 National Bank For Agriculture & Rural Development (Nabard) Aug  1 2025,Debt,0.51%
7.4 HDFC Bank Ltd. Jun  2 2025,Debt,0.51%
Treasury Bill (364D),Others,0.51%
Axis Bank Ltd.,Equity,0.51%
City Union Bank Ltd.,Equity,0.51%
GAIL (India) Ltd.,Equity,0.51%
HDFC Bank Ltd. (364D),Others,0.51%
Hindustan Copper Ltd.,Equity,0.50%
Dalmia Bharat Ltd.,Equity,0.49%
Manappuram Finance Ltd.,Equity,0.48%
Asian Paints Ltd.,Equity,0.48%
Coal India Ltd.,Equity,0.46%
Jindal Steel & Power Ltd.,Equity,0.45%
Larsen & Toubro Ltd.,Equity,0.44%
Tata Power Company Ltd.,Equity,0.44%
Divi Laboratories Ltd.,Equity,0.44%
Crompton Greaves Consumer Electrcials Ltd.,Equity,0.43%
Mahanagar Gas Ltd.,Equity,0.42%
The Federal Bank Ltd.,Equity,0.42%
Canara Bank,Equity,0.40%
Syngene International Ltd.,Equity,0.39%
Pidilite Industries Ltd.,Equity,0.38%
Exide Industries Ltd.,Equity,0.38%
