Company Name,Asset Type,Percentage Allocation
Derivative,Others,70.43%
DSP Mutual Fund (DSP Savings Fund - Direct - Growth),Debt,11.90%
Triparty Repo,Others,8.13%
Vodafone Idea Ltd.,Equity,5.54%
Reliance Industries Ltd.,Equity,4.28%
Zee Entertainment Enterprises Ltd.,Equity,3.61%
Indus Towers Ltd. (Erstwhile Bharti Infratel Limited),Equity,3.21%
5.75 LIC Housing Finance Ltd. Jun 14 2024,Debt,2.18%
Ambuja Cements Ltd.,Equity,2.16%
HDFC Bank Ltd.,Equity,2.06%
GMR Airports Infrastructure Ltd.,Equity,1.98%
ICICI Bank Ltd.,Equity,1.84%
Manappuram Finance Ltd.,Equity,1.79%
Bank Of Baroda,Equity,1.74%
Adani Ports and Special Economic Zone Ltd.,Equity,1.73%
Bandhan Bank Ltd.,Equity,1.70%
RBL Bank Ltd.,Equity,1.65%
Adani Enterprises Ltd.,Equity,1.57%
Hindustan Copper Ltd.,Equity,1.57%
Aurobindo Pharma Ltd.,Equity,1.49%
Steel Authority Of India Ltd.,Equity,1.45%
Julius Baer Capital (India) Pvt. Ltd. (91D),Others,1.42%
Bharat Heavy Electricals Ltd.,Equity,1.42%
Punjab National Bank,Equity,1.40%
HDFC Bank Ltd.,Others,1.38%
Piramal Enterprises Ltd.,Equity,1.37%
ICICI Bank Ltd.,Others,1.36%
Axis Bank Ltd.,Others,1.35%
IDFC Ltd.,Equity,1.24%
Oberoi Realty Ltd.,Equity,1.23%
Tata Power Company Ltd.,Equity,1.12%
Bajaj Finserv Ltd.,Equity,1.07%
Gujarat Narmada Valley Fertilizers & Chemicals Ltd.,Equity,1.06%
Indian Energy Exchange Ltd.,Equity,1.05%
Jindal Steel & Power Ltd.,Equity,0.95%
Shriram Finance Ltd.(Erstwhile Shriram Transport Finance Company Limited),Equity,0.88%
5.27 National Bank For Agriculture & Rural Development (Nabard) Apr 29 2024,Debt,0.73%
Standard Chartered Capital Ltd. (Erstwhile Standard Chartered Investments & Loans (India) Ltd.) (181D),Others,0.71%
Canara Bank,Equity,0.70%
ICICI Securities Ltd. (208D),Others,0.69%
Balrampur Chini Mills Ltd.,Equity,0.69%
ICICI Securities Ltd. (360D),Others,0.68%
India Cements Ltd.,Equity,0.68%
HDFC Bank Ltd.,Others,0.68%
ICICI Bank Ltd.,Others,0.67%
ICICI Bank Ltd.,Others,0.67%
Infosys Ltd.,Equity,0.67%
Godrej Properties Ltd.,Equity,0.58%
ACC Ltd.,Equity,0.51%
GAIL (India) Ltd.,Equity,0.51%
NMDC Ltd.,Equity,0.50%
Biocon Ltd.,Equity,0.50%
Vedanta Ltd.,Equity,0.43%
Max Financial Services Ltd.,Equity,0.42%
LIC Housing Finance Ltd.,Equity,0.42%
Tata Steel Ltd.,Equity,0.40%
Aarti Industries Ltd.,Equity,0.39%
United Spirits Ltd.,Equity,0.37%
PVR INOX Ltd.,Equity,0.35%
The Federal Bank Ltd.,Equity,0.34%
ICICI Lombard General Insurance Company Ltd.,Equity,0.33%
Shree Cement Ltd.,Equity,0.31%
Chambal Fertilisers & Chemicals Ltd.,Equity,0.30%
Tata Motors Ltd.,Equity,0.29%
UPL Ltd. (Erstwhile United Phosphorus Ltd.),Equity,0.29%
The Ramco Cements Ltd.,Equity,0.28%
Escorts Kubota Ltd.,Equity,0.28%
Hindustan Petroleum Corporation Ltd.,Equity,0.27%
Glenmark Pharmaceuticals Ltd.,Equity,0.26%
Balkrishna Industries Ltd.,Equity,0.25%
Havells India Ltd.,Equity,0.24%
Wipro Ltd.,Equity,0.23%
Bajaj Auto Ltd.,Equity,0.22%
Petronet Lng Ltd.,Equity,0.21%
Indiamart Intermesh Ltd.,Equity,0.21%
Godrej Consumer Products Ltd.,Equity,0.20%
Oil & Natural Gas Corporation Ltd.,Equity,0.19%
City Union Bank Ltd.,Equity,0.17%
Mahanagar Gas Ltd.,Equity,0.17%
ITC Ltd.,Equity,0.16%
Apollo Tyres Ltd.,Equity,0.15%
Tata Consultancy Services Ltd.,Equity,0.15%
ICICI Prudential Life Insurance Company Ltd.,Equity,0.15%
Bajaj Finance Ltd.,Equity,0.15%
Treasury Bill (182D),Others,0.14%
Granules India Ltd.,Equity,0.14%
Treasury Bill (364D),Others,0.14%
National Aluminium Company Ltd.,Equity,0.12%
Tech Mahindra Ltd.,Equity,0.12%
Samvardhana Motherson International Ltd. (Erstwhile Motherson Sumi Systems Ltd.),Equity,0.11%
The Indian Hotels Company Ltd.,Equity,0.11%
Pidilite Industries Ltd.,Equity,0.11%
Axis Bank Ltd.,Equity,0.11%
Apollo Hospitals Enterprise Ltd.,Equity,0.11%
Indian Railway Catering & Tourism Corporation Ltd.,Equity,0.11%
Oracle Financial Services Software Ltd.,Equity,0.10%
Bharat Petroleum Corporation Ltd.,Equity,0.10%
Page Industries Ltd.,Equity,0.10%
Multi Commodity Exchange of India Ltd.,Equity,0.10%
Hindustan Unilever Ltd.,Equity,0.09%
Marico Ltd.,Equity,0.09%
Indraprastha Gas Ltd.,Equity,0.09%
United Breweries Ltd.,Equity,0.08%
Grasim Industries Ltd.,Equity,0.08%
Power Finance Corporation Ltd.,Equity,0.08%
Indian Oil Corporation Ltd.,Equity,0.08%
Info Edge (India) Ltd.,Equity,0.07%
Bharat Forge Ltd.,Equity,0.07%
Cummins India Ltd.,Equity,0.07%
Dr Reddys Laboratories Ltd.,Equity,0.07%
Hindalco Industries Ltd.,Equity,0.07%
Power Grid Corporation Of India Ltd.,Equity,0.07%
Abbott India Ltd.,Equity,0.07%
Exide Industries Ltd.,Equity,0.06%
Lupin Ltd.,Equity,0.06%
Delta Corp Ltd.,Equity,0.06%
Berger Paints India Ltd.,Equity,0.06%
Crompton Greaves Consumer Electrcials Ltd.,Equity,0.06%
Kotak Mahindra Bank Ltd.,Equity,0.06%
Asian Paints Ltd.,Equity,0.06%
Gujarat Gas Ltd.,Equity,0.06%
Aditya Birla Capital Ltd.,Equity,0.05%
Trent Ltd.,Equity,0.05%
Birlasoft Ltd.,Equity,0.05%
Dabur India Ltd.,Equity,0.04%
Syngene International Ltd.,Equity,0.04%
Ashok Leyland Ltd.,Equity,0.04%
State Bank Of India,Equity,0.03%
HCL Technologies Ltd.,Equity,0.03%
Voltas Ltd.,Equity,0.03%
Deepak Nitrite Ltd.,Equity,0.03%
DLF Ltd.,Equity,0.03%
SRF Ltd.,Equity,0.03%
Dalmia Bharat Ltd.,Equity,0.02%
Coforge Ltd.,Equity,0.02%
Astral Ltd. (Erstwhile Astral Poly Technik Ltd.),Equity,0.02%
L&T Finance Holding Ltd.,Equity,0.02%
Sun T V Network Ltd.,Equity,0.02%
MRF Ltd.,Equity,0.02%
National Thermal Power Corporation Ltd.,Equity,0.02%
Indusind Bank Ltd.,Equity,0.02%
Nestle India Ltd.,Equity,0.02%
Larsen & Toubro Ltd.,Equity,0.02%
Laurus Labs Ltd.,Equity,0.02%
Navin Fluorine International Ltd.,Equity,0.02%
Metropolis Healthcare Ltd.,Equity,0.02%
Titan Company Ltd.,Equity,0.01%
Siemens Ltd.,Equity,0.01%
Ltimindtree Ltd.,Equity,0.01%
Coal India Ltd.,Equity,0.01%
Divi Laboratories Ltd.,Equity,0.01%
Interglobe Aviation Ltd.,Equity,0.01%
Hindustan Aeronautics Ltd.,Equity,0.01%
Canfin Homes Ltd.,Equity,0.01%
Atul Ltd.,Equity,0.00%
Dr Lal PathLabs Ltd.,Equity,0.00%
SBI Life Insurance Company Ltd.,Equity,0.00%
REC Ltd.,Equity,0.00%
ABB India Ltd.,Equity,0.00%
ABB India Ltd.,Equity,0.00%
REC Ltd.,Equity,0.00%
SBI Life Insurance Company Ltd.,Equity,0.00%
Dr Lal PathLabs Ltd.,Equity,0.00%
Atul Ltd.,Equity,0.00%
Canfin Homes Ltd.,Equity,-0.01%
Hindustan Aeronautics Ltd.,Equity,-0.01%
Interglobe Aviation Ltd.,Equity,-0.01%
Divi Laboratories Ltd.,Equity,-0.01%
Coal India Ltd.,Equity,-0.01%
Ltimindtree Ltd.,Equity,-0.01%
Siemens Ltd.,Equity,-0.01%
Titan Company Ltd.,Equity,-0.01%
Metropolis Healthcare Ltd.,Equity,-0.02%
