Company Name,Asset Type,Percentage Allocation
Derivative,Others,70.91%
CBLO(CCIL),Others,9.17%
Adani Enterprises Ltd.,Equity,2.72%
Bank Of Baroda,Equity,2.01%
Bharat Heavy Electricals Ltd.,Equity,1.97%
6.69 GOI Jun 27 2024,Debt,1.87%
Treasury Bill (364D),Others,1.83%
Vodafone Idea Ltd.,Equity,1.79%
Steel Authority Of India Ltd.,Equity,1.74%
Tata Motors Ltd.,Equity,1.72%
Reliance Industries Ltd.,Equity,1.66%
Treasury Bill (364D),Others,1.55%
Zee Entertainment Enterprises Ltd.,Equity,1.34%
ICICI Bank Ltd.,Equity,1.30%
Treasury Bill (364D),Others,1.23%
5.23 National Bank For Agriculture & Rural Development (Nabard) Jan 31 2025,Debt,1.22%
ICICI Securities Ltd. (208D),Others,1.22%
Hindustan Petroleum Corporation Ltd.,Equity,1.14%
Bharti Airtel Ltd.,Equity,1.14%
Bandhan Bank Ltd.,Equity,1.08%
Hindustan Aeronautics Ltd.,Equity,1.08%
HDFC Bank Ltd.,Equity,1.05%
Oil & Natural Gas Corporation Ltd.,Equity,1.04%
State Bank Of India,Equity,0.97%
National Bank For Agriculture & Rural Development (Nabard),Others,0.93%
Aditya Birla Finance Ltd. (91D),Others,0.93%
ICICI Securities Ltd. (364D),Others,0.93%
Axis Finance Ltd. (344D),Others,0.93%
Hindustan Copper Ltd.,Equity,0.89%
The Federal Bank Ltd.,Equity,0.89%
Indian Railway Catering & Tourism Corporation Ltd.,Equity,0.87%
Axis Bank Ltd.,Equity,0.87%
GMR Airports Infrastructure Ltd.,Equity,0.84%
Punjab National Bank,Equity,0.83%
Wipro Ltd.,Equity,0.83%
NMDC Ltd.,Equity,0.81%
Indus Towers Ltd. (Erstwhile Bharti Infratel Limited),Equity,0.81%
Adani Ports and Special Economic Zone Ltd.,Equity,0.80%
ITC Ltd.,Equity,0.80%
National Thermal Power Corporation Ltd.,Equity,0.79%
Infosys Ltd.,Equity,0.75%
Hindalco Industries Ltd.,Equity,0.70%
PVR INOX Ltd.,Equity,0.70%
Jindal Steel & Power Ltd.,Equity,0.70%
Sun T V Network Ltd.,Equity,0.69%
Treasury Bill (364D),Others,0.62%
Treasury Bill (364D),Others,0.62%
Treasury Bill (182D),Others,0.62%
Treasury Bill (364D),Others,0.62%
HDFC Bank Ltd.,Others,0.62%
Treasury Bill (364D),Others,0.62%
United Breweries Ltd.,Equity,0.61%
REC Ltd.,Equity,0.61%
Small Industries Development Bank Of India,Others,0.61%
Treasury Bill (182D),Others,0.61%
Escorts Kubota Ltd.,Equity,0.60%
Kotak Mahindra Investments Ltd. (291D),Others,0.60%
Aurobindo Pharma Ltd.,Equity,0.60%
Bajaj Finance Ltd. (366D),Others,0.59%
Treasury Bill (364D),Others,0.59%
Indian Energy Exchange Ltd.,Equity,0.59%
DLF Ltd.,Equity,0.58%
Coal India Ltd.,Equity,0.58%
HDFC Bank Ltd.,Others,0.58%
Small Industries Development Bank Of India,Others,0.58%
Power Finance Corporation Ltd.,Equity,0.57%
RBL Bank Ltd.,Equity,0.56%
The Ramco Cements Ltd.,Equity,0.56%
National Aluminium Company Ltd.,Equity,0.53%
Piramal Enterprises Ltd.,Equity,0.52%
Voltas Ltd.,Equity,0.51%
Bharat Petroleum Corporation Ltd.,Equity,0.51%
Dalmia Bharat Ltd.,Equity,0.50%
Coforge Ltd.,Equity,0.50%
Manappuram Finance Ltd.,Equity,0.49%
Vedanta Ltd.,Equity,0.48%
Cummins India Ltd.,Equity,0.48%
Tata Steel Ltd.,Equity,0.48%
Bajaj Finance Ltd.,Equity,0.44%
Bharat Forge Ltd.,Equity,0.43%
Eicher Motors Ltd.,Equity,0.42%
Dixon Technologies (India) Ltd.,Equity,0.41%
Tata Power Company Ltd.,Equity,0.40%
J. K. Cement Ltd.,Equity,0.40%
Ashok Leyland Ltd.,Equity,0.40%
IPCA Laboratories Ltd.,Equity,0.39%
GAIL (India) Ltd.,Equity,0.38%
Lupin Ltd.,Equity,0.38%
Power Grid Corporation Of India Ltd.,Equity,0.38%
ABB India Ltd.,Equity,0.37%
TVS Motor Company Ltd.,Equity,0.36%
Shriram Finance Ltd.(Erstwhile Shriram Transport Finance Company Limited),Equity,0.36%
Canara Bank,Equity,0.35%
Chambal Fertilisers & Chemicals Ltd.,Equity,0.34%
Dr Lal PathLabs Ltd.,Equity,0.34%
Multi Commodity Exchange of India Ltd.,Equity,0.33%
Ltimindtree Ltd.,Equity,0.33%
Berger Paints India Ltd.,Equity,0.31%
Treasury Bill (364D),Others,0.31%
HDFC Bank Ltd.,Others,0.31%
Treasury Bill (364D),Others,0.31%
HDFC Bank Ltd. (336D),Others,0.31%
Tata Consultancy Services Ltd.,Equity,0.31%
Divi Laboratories Ltd.,Equity,0.31%
Axis Bank Ltd.,Others,0.30%
Kotak Mahindra Bank Ltd.,Equity,0.30%
Samvardhana Motherson International Ltd. (Erstwhile Motherson Sumi Systems Ltd.),Equity,0.30%
Havells India Ltd.,Equity,0.30%
Treasury Bill (364D),Others,0.30%
Grasim Industries Ltd.,Equity,0.30%
Ambuja Cements Ltd.,Equity,0.29%
Oberoi Realty Ltd.,Equity,0.29%
City Union Bank Ltd.,Equity,0.29%
Trent Ltd.,Equity,0.29%
Cipla Ltd.,Equity,0.28%
Metropolis Healthcare Ltd.,Equity,0.28%
Hindustan Unilever Ltd.,Equity,0.28%
Deepak Nitrite Ltd.,Equity,0.27%
Glenmark Pharmaceuticals Ltd.,Equity,0.27%
JSW Steel Ltd.,Equity,0.27%
Bharat Electronics Ltd.,Equity,0.26%
Indusind Bank Ltd.,Equity,0.26%
Canfin Homes Ltd.,Equity,0.24%
Dr Reddys Laboratories Ltd.,Equity,0.23%
Dabur India Ltd.,Equity,0.23%
Birlasoft Ltd.,Equity,0.23%
India Cements Ltd.,Equity,0.23%
Indiamart Intermesh Ltd.,Equity,0.21%
Apollo Tyres Ltd.,Equity,0.21%
