Company Name,Asset Type,Percentage Allocation
7.38 GOI Jun 20 2027,Debt,5.99%
7.06 GOI Apr 10 2028,Debt,4.95%
6.4 Jamnagar Utilities & Power Pvt. Ltd. Sep 29 2026,Debt,4.76%
6.09 Power Finance Corporation Ltd. Aug 27 2026,Debt,4.76%
7.9 LIC Housing Finance Ltd. Jun 23 2027,Debt,3.96%
7.62 National Bank For Agriculture & Rural Development (Nabard) Jan 31 2028,Debt,3.95%
7.44 Small Industries Development Bank Of India Sep  4 2026,Debt,3.93%
HDFC Bank Ltd.,Equity,3.53%
7.95 Sikka Ports Terminals (Erst Reliance Ports & Terminals Ltd.) Oct 28 2026,Debt,2.97%
8 Bajaj Finance Ltd. Feb 27 2026,Debt,2.96%
7.6 REC Ltd. Feb 27 2026,Debt,2.96%
ICICI Bank Ltd.,Equity,2.86%
Triparty Repo,Others,2.74%
Tata Motors Ltd.,Equity,2.26%
Axis Bank Ltd.,Equity,2.22%
Infosys Ltd.,Equity,2.01%
8.9 Shriram Finance Ltd.(Erstwhile Shriram Transport Finance Company Limited) Nov 22 2028,Debt,1.98%
8.04 Sundaram Finance Ltd. Oct 26 2026,Debt,1.98%
7.77 HDFC Bank Ltd. Jun 28 2027,Debt,1.97%
5.63 GOI Apr 12 2026,Debt,1.92%
Larsen & Toubro Ltd.,Equity,1.60%
Net Receivables/(Payable),Others,1.60%
Doms Industries Ltd.,Equity,1.57%
Dixon Technologies (India) Ltd.,Equity,1.53%
National Thermal Power Corporation Ltd.,Equity,1.47%
Bharti Airtel Ltd.,Equity,1.47%
Cholamandalam Investment & Finance Company Ltd.,Equity,1.38%
Indus Towers Ltd. (Erstwhile Bharti Infratel Limited),Equity,1.14%
Indian Bank,Equity,1.10%
Netweb Technologies India Ltd.,Equity,0.99%
6.75 Sikka Ports Terminals (Erst Reliance Ports & Terminals Ltd.) Apr 22 2026,Debt,0.97%
Dr Lal PathLabs Ltd.,Equity,0.92%
Motherson Sumi Wiring India Ltd.,Equity,0.92%
Jubilant Foodworks Ltd.,Equity,0.89%
HDFC Life Insurance Company Ltd.,Equity,0.87%
Vedant Fashions Pvt. Ltd.,Equity,0.86%
Aavas Financiers Ltd. (Erstwhile A U Housing Finance),Equity,0.84%
Astra Microwave Products Ltd.,Equity,0.81%
State Bank Of India,Equity,0.80%
8.6 Cholamandalam Investment & Finance Company Ltd. Dec  7 2028,Debt,0.79%
Ltimindtree Ltd.,Equity,0.77%
HCL Technologies Ltd.,Equity,0.75%
Sumitomo Chemical India Ltd.,Equity,0.75%
APL Apollo Tubes Ltd.,Equity,0.74%
Kirloskar Oil Engines Ltd.,Equity,0.73%
Sona Blw Precision Forgings Ltd.,Equity,0.72%
Divi Laboratories Ltd.,Equity,0.71%
CMS Info Systems Ltd.,Equity,0.69%
Hindustan Aeronautics Ltd.,Equity,0.68%
Hitachi Energy India Ltd.,Equity,0.67%
Saregama India Ltd.,Equity,0.65%
Tech Mahindra Ltd.,Equity,0.60%
Computer Age Management Services Ltd.,Equity,0.57%
Suzlon Energy Ltd.,Equity,0.55%
Timken India Ltd.,Equity,0.53%
Cyient Ltd.,Equity,0.49%
CG Power & Industrial Solutions Ltd.,Equity,0.47%
Crompton Greaves Consumer Electrcials Ltd.,Equity,0.46%
Aegis Logistics Ltd.,Equity,0.46%
Tata Technologies Ltd.,Equity,0.41%
Escorts Kubota Ltd.,Equity,0.40%
