Company Name,Asset Type,Percentage Allocation
CBLO(CCIL),Others,19.27%
8.54 REC Ltd. Nov 15 2028,Debt,11.17%
7.37 GOI Oct 23 2028,Debt,10.88%
7.83 Small Industries Development Bank Of India Nov 24 2028,Debt,10.79%
7.64 Food Corporation Of India Dec 12 2029,Debt,6.85%
9.3 Power Grid Corporation Of India Ltd. Sep  4 2029,Debt,5.77%
8.36 National Highways Authority Of India May 20 2029,Debt,5.55%
7.83 Indian Railway Finance Corporation Ltd. Mar 19 2027,Debt,5.41%
7.77 Power Finance Corporation Ltd. Apr 15 2028,Debt,5.39%
7.06 GOI Apr 10 2028,Debt,5.37%
7.62 National Bank For Agriculture & Rural Development (Nabard) Jan 31 2028,Debt,5.36%
7.11 Maharashtra SDL  Jul 31 2029,Debt,4.23%
Net Receivables/(Payable),Others,2.42%
Axis Bank Ltd.,Others,1.56%
