Company Name,Asset Type,Percentage Allocation
7.38 GOI Jun 20 2027,Debt,10.45%
7.58 National Bank For Agriculture & Rural Development (Nabard) Jul 31 2026,Debt,6.65%
7.6 REC Ltd. Feb 27 2026,Debt,6.50%
7.51 Indian Railway Finance Corporation Ltd. Apr 15 2026,Debt,5.24%
7.4 Indian Railway Finance Corporation Ltd. Apr 18 2026,Debt,5.12%
5.78 HDFC Bank Ltd. Nov 25 2025,Debt,3.94%
7.9237 Bajaj Housing Finance Ltd. Mar 16 2026,Debt,3.94%
7.74 Hindustan Petroleum Corporation Ltd. Mar  2 2028,Debt,3.65%
7.59 Small Industries Development Bank Of India Feb 10 2026,Debt,3.28%
7.7 HDFC Bank Ltd. Nov 18 2025,Debt,3.07%
State Bank Of India,Others,2.87%
7.47 Small Industries Development Bank Of India Nov 25 2025,Debt,2.80%
7.13 Power Finance Corporation Ltd. Jul 15 2026,Debt,2.74%
7.35 National Thermal Power Corporation Ltd. Apr 17 2026,Debt,2.35%
6 HDFC Bank Ltd. May 29 2026,Debt,2.10%
Current Assets,Others,2.08%
7.11 Small Industries Development Bank Of India Feb 27 2026,Debt,2.03%
7.57 National Bank For Agriculture & Rural Development (Nabard) Mar 19 2026,Debt,2.01%
Export Import Bank Of India (364D),Others,1.96%
7.44 Indian Oil Corporation Ltd. Nov 25 2027,Debt,1.91%
7.7 Nuclear Power Corporation Of India Ltd. Mar 20 2038,Debt,1.79%
7.58 Power Finance Corporation Ltd. Jan 15 2026,Debt,1.71%
7.64 Power Finance Corporation Ltd. Aug 25 2026,Debt,1.54%
7.95 HDFC Bank Ltd. Sep 21 2026,Debt,1.48%
6.18 Gujarat SDL Jan 25 2026,Debt,1.31%
7.83 Bajaj Housing Finance Ltd. Dec 12 2025,Debt,1.20%
Export Import Bank Of India,Others,1.18%
7.77 Power Finance Corporation Ltd. Jul 15 2026,Debt,1.03%
Axis Bank Ltd.,Others,1.02%
Axis Bank Ltd.,Others,1.02%
8.51 Maharashtra SDL  Mar  9 2026,Debt,0.98%
7.4 National Bank For Agriculture & Rural Development (Nabard) Jan 30 2026,Debt,0.89%
6.43 HDFC Bank Ltd. Sep 29 2025,Debt,0.84%
9.17 National Thermal Power Corporation Ltd. Sep 21 2024,Debt,0.80%
Triparty Repo,Others,0.72%
7.5 National Bank For Agriculture & Rural Development (Nabard) Dec 17 2025,Debt,0.68%
7.12 Hindustan Petroleum Corporation Ltd. Jul 30 2025,Debt,0.68%
7.23 Small Industries Development Bank Of India Mar  9 2026,Debt,0.51%
7.34 National Housing Bank Aug  7 2025,Debt,0.48%
8.2 Gujarat SDL Dec  9 2025,Debt,0.35%
7.47 Gujarat SDL Oct 27 2025,Debt,0.34%
Canara Bank,Others,0.34%
8.4 ICICI Bank Ltd. May 13 2026,Debt,0.31%
SBI - CDMDF - A2 Units,Others,0.25%
8.36 Maharashtra SDL  Jan 27 2026,Debt,0.21%
7.96 Gujarat SDL Oct 14 2025,Debt,0.21%
5.5 Indian Oil Corporation Ltd. Oct 20 2025,Debt,0.20%
8.53 Tamil Nadu SDL Mar  9 2026,Debt,0.18%
8.3 Madhya Pradesh SDL Jan 13 2026,Debt,0.17%
8.26 Maharashtra SDL  Aug 12 2025,Debt,0.17%
8.35 HDFC Bank Ltd. May 13 2026,Debt,0.17%
9.65 Export Import Bank Of India Apr  4 2024,Debt,0.17%
8.25 Indian Railway Finance Corporation Ltd. Feb 28 2024,Debt,0.17%
7.42 Power Finance Corporation Ltd. Nov 19 2024,Debt,0.17%
7.65 Bajaj Housing Finance Ltd. Jul 21 2025,Debt,0.17%
7.25 National Bank For Agriculture & Rural Development (Nabard) Aug  1 2025,Debt,0.17%
Kotak Mahindra Bank Ltd.,Others,0.17%
Export Import Bank Of India,Others,0.17%
5.94 REC Ltd. Jan 31 2026,Debt,0.17%
8.27 Tamil Nadu SDL Jan 13 2026,Debt,0.14%
8.27 Gujarat SDL Jan 13 2026,Debt,0.10%
6.5 Power Finance Corporation Ltd. Sep 17 2025,Debt,0.10%
6.2 Reliance Jio Infocomm Ltd. Jan  5 2027,Debt,0.10%
8.93 Power Grid Corporation Of India Ltd. Oct 20 2025,Debt,0.07%
8.27 Haryana SDL  Dec 23 2025,Debt,0.07%
8.27 Haryana SDL  Dec  9 2025,Debt,0.07%
8.78 NHPC Ltd. Feb 11 2024,Debt,0.07%
7.93 Chhattisgarh SDL Feb 13 2024,Debt,0.07%
8 Hindustan Petroleum Corporation Ltd. Apr 25 2024,Debt,0.07%
5.45 National Thermal Power Corporation Ltd. Oct 15 2025,Debt,0.07%
8.85 Power Grid Corporation Of India Ltd. Oct 19 2025,Debt,0.03%
8.75 Power Finance Corporation Ltd. Jun 15 2025,Debt,0.03%
7.99 Karnataka Sdl Oct 28 2025,Debt,0.03%
8.03 Gujarat SDL Apr 16 2025,Debt,0.03%
8.13 Power Grid Corporation Of India Ltd. Apr 25 2025,Debt,0.03%
8.85 NHPC Ltd. Feb 11 2024,Debt,0.03%
8.7 NHPC Ltd. Feb 11 2024,Debt,0.03%
5.44 National Bank For Agriculture & Rural Development (Nabard) Feb  5 2024,Debt,0.03%
8.85 Axis Bank Ltd. Dec  5 2024,Debt,0.01%
7.18 Tamil Nadu SDL Jul 26 2027,Debt,0.01%
Cash Margin,Debt,0.01%
