Company Name,Asset Type,Percentage Allocation
Triparty Repo,Others,10.63%
8.37 National Highways Authority Of India Jan 20 2029,Debt,8.57%
8.45 ICICI Bank Ltd. Mar 31 2025,Debt,8.37%
7.56 Power Grid Corporation Of India Ltd. Mar 31 2033,Debt,7.94%
8.15 Export Import Bank Of India Jan 21 2030,Debt,6.82%
7.73 Kerala SDL  Nov 29 2034,Debt,6.69%
7.17 GOI Apr 17 2030,Debt,6.66%
6.24 State Bank Of India Sep 20 2030,Debt,6.45%
6.79 Bharat Sanchar Nigam Ltd. Sep 23 2030,Debt,6.37%
6.63 REC Ltd. Jan 28 2031,Debt,6.31%
8.41 Housing & Urban Development Corporation Ltd. (Hudco) Mar 15 2029,Debt,5.18%
7.74 Hindustan Petroleum Corporation Ltd. Mar  2 2028,Debt,5.01%
7.65 Indian Railway Finance Corporation Ltd. Dec 30 2032,Debt,5.00%
7.71 Maharashtra SDL  Nov  8 2033,Debt,3.34%
1.5 HDFC Bank Ltd. Mar 27 2027,Debt,3.30%
Net Receivables/(Payable),Others,2.92%
SBI - CDMDF - A2 Units,Others,0.45%
