Company Name,Asset Type,Percentage Allocation
Cash,Others,12.66%
7.7 Nuclear Power Corporation Of India Ltd. Mar 20 2038,Debt,8.27%
7.18 GOI Aug 14 2033,Debt,7.99%
5.47 National Bank For Agriculture & Rural Development (Nabard) Apr 11 2025,Debt,7.86%
6.99 Indian Railway Finance Corporation Ltd. Mar 19 2025,Debt,7.83%
6.65 Food Corporation Of India Oct 23 2030,Debt,7.44%
6.88 REC Ltd. Mar 20 2025,Debt,4.07%
6.39 Indian Oil Corporation Ltd. Mar  6 2025,Debt,4.03%
7.25 Small Industries Development Bank Of India Jul 31 2025,Debt,3.98%
5.81 REC Ltd. Dec 31 2025,Debt,3.98%
5.36 Hindustan Petroleum Corporation Ltd. Apr 11 2025,Debt,3.87%
Kotak Mahindra Bank Ltd.,Others,3.85%
Indian Bank,Others,3.84%
GOI,Debt,3.77%
Kotak Mahindra Bank Ltd.,Others,3.65%
ICICI Bank Ltd.,Others,3.65%
7.42 Power Finance Corporation Ltd. Nov 19 2024,Debt,2.34%
9.25 Power Finance Corporation Ltd. Sep 25 2024,Debt,1.85%
8.14 Nuclear Power Corporation Of India Ltd. Mar 25 2026,Debt,1.61%
8.4 Power Grid Corporation Of India Ltd. May 27 2024,Debt,0.82%
8.25 Export Import Bank Of India Sep 28 2025,Debt,0.80%
8.19 National Thermal Power Corporation Ltd. Dec 15 2025,Debt,0.79%
8.3 REC Ltd. Apr 10 2025,Debt,0.79%
SBI - CDMDF - A2 Units,Others,0.28%
