Company Name,Asset Type,Percentage Allocation
8.23 Indian Railway Finance Corporation Ltd. Mar 29 2029,Debt,8.72%
7.95 HDFC Bank Ltd. Sep 21 2026,Debt,8.51%
7.62 National Bank For Agriculture & Rural Development (Nabard) Jan 31 2028,Debt,8.47%
7.54 Small Industries Development Bank Of India Jan 12 2026,Debt,8.47%
6.45 ICICI Bank Ltd. Jun 15 2028,Debt,8.09%
7.85 Power Finance Corporation Ltd. Apr  3 2028,Debt,4.30%
7.38 GOI Jun 20 2027,Debt,4.29%
7.26 GOI Feb  6 2033,Debt,4.27%
7.7 Power Grid Corporation Of India Ltd. Oct 12 2033,Debt,4.27%
7.68 Bank Of Baroda Dec  1 2033,Debt,4.26%
7.17 GOI Apr 17 2030,Debt,4.26%
7.64 Hindustan Petroleum Corporation Ltd. Nov  4 2027,Debt,4.25%
7.18 GOI Aug 14 2033,Debt,4.25%
7.49 National Highways Authority Of India Aug  1 2029,Debt,4.23%
7.55 REC Ltd. Mar 31 2028,Debt,4.23%
7.43 National Bank For Financing Infrastructure And Development Jun 16 2033,Debt,4.19%
7.52 Power Grid Corporation Of India Ltd. Mar 23 2033,Debt,4.06%
Net Receivables/(Payable),Others,2.54%
6.45 GOI Oct  7 2029,Debt,2.47%
Triparty Repo,Others,1.60%
SBI - CDMDF - A2 Units,Others,0.28%
