Company Name,Asset Type,Percentage Allocation
7.33 GOI Sep 22 2033,Debt,9.69%
7.18 GOI Jul 24 2037,Debt,6.97%
7.4 National Bank For Agriculture & Rural Development (Nabard) Jan 30 2026,Debt,5.31%
Current Assets,Others,4.66%
7.69 HDFC Bank Ltd. Jan 27 2033,Debt,3.91%
7.59 Small Industries Development Bank Of India Feb 10 2026,Debt,3.61%
7.7 Power Grid Corporation Of India Ltd. Oct 12 2033,Debt,3.35%
7.43 Small Industries Development Bank Of India Aug 31 2026,Debt,3.15%
4.19 REC Ltd. Oct 31 2024,Debt,2.66%
7.69 REC Ltd. Mar 31 2033,Debt,2.51%
9.5 Union Bank Of India Sep 15 2116,Debt,2.32%
6.8 State Bank Of India Aug 21 2035,Debt,2.31%
7.64 Power Finance Corporation Ltd. Feb 22 2033,Debt,2.27%
7.37 Power Finance Corporation Ltd. May 22 2026,Debt,2.07%
9.53 Indian Bank Dec 27 2029,Debt,1.96%
7.25 Punjab National Bank Jul 29 2030,Debt,1.82%
7.68 Indian Railway Finance Corporation Ltd. Nov 24 2026,Debt,1.68%
7.77 Power Finance Corporation Ltd. Jul 15 2026,Debt,1.67%
7.59 Power Finance Corporation Ltd. Jan 17 2028,Debt,1.67%
7.57 National Bank For Agriculture & Rural Development (Nabard) Mar 19 2026,Debt,1.66%
7.5 National Bank For Agriculture & Rural Development (Nabard) Dec 17 2025,Debt,1.66%
7.51 REC Ltd. Jul 31 2026,Debt,1.66%
7.18 Canara Bank Mar 11 2030,Debt,1.66%
7.77 REC Ltd. Mar 31 2028,Debt,1.59%
4.05 Power Finance Corporation Ltd. Aug  2 2024,Debt,1.58%
7.4 Power Grid Corporation Of India Ltd. Feb 17 2033,Debt,1.55%
8.5 Canara Bank Dec 31 2120,Debt,1.33%
7.18 GOI Aug 14 2033,Debt,1.27%
7.7 Nuclear Power Corporation Of India Ltd. Mar 20 2038,Debt,1.26%
7.8 HDFC Bank Ltd. May  3 2033,Debt,1.25%
7.8 HDFC Bank Ltd. Sep  6 2032,Debt,1.16%
8.01 REC Ltd. Mar 24 2028,Debt,1.03%
9 HDFC Bank Ltd. Nov  1 2028,Debt,0.87%
8.8 Food Corporation Of India Mar 22 2028,Debt,0.87%
7.97 HDFC Bank Ltd. Feb 17 2033,Debt,0.84%
7.83 Small Industries Development Bank Of India Nov 24 2028,Debt,0.84%
7.79 Small Industries Development Bank Of India May 14 2027,Debt,0.84%
8.99 Bank Of Baroda Dec 18 2119,Debt,0.84%
7.54 Small Industries Development Bank Of India Jan 12 2026,Debt,0.83%
7.75 HDFC Bank Ltd. Jun 13 2033,Debt,0.83%
7.77 HDFC Bank Ltd. Jun 28 2027,Debt,0.83%
7.49 National Bank For Agriculture & Rural Development (Nabard) Oct 15 2026,Debt,0.83%
6.18 Mangalore Refinery & Petrochemicals Ltd. Dec 29 2025,Debt,0.81%
7.37 GOI Oct 23 2028,Debt,0.76%
7.6 REC Ltd. Feb 27 2026,Debt,0.75%
6.85 DME Development Ltd. Mar 16 2036,Debt,0.54%
6.85 DME Development Ltd. Mar 16 2037,Debt,0.54%
6.85 DME Development Ltd. Mar 16 2035,Debt,0.54%
6.85 DME Development Ltd. Mar 16 2033,Debt,0.54%
6.85 DME Development Ltd. Mar 16 2034,Debt,0.53%
6.85 DME Development Ltd. Mar 16 2032,Debt,0.53%
6.85 DME Development Ltd. Mar 16 2031,Debt,0.53%
6.85 DME Development Ltd. Mar 16 2030,Debt,0.53%
6.85 DME Development Ltd. Mar 16 2029,Debt,0.53%
6.85 DME Development Ltd. Mar 16 2028,Debt,0.53%
9 HDFC Bank Ltd. Nov 29 2028,Debt,0.43%
Triparty Repo,Others,0.43%
SBI - CDMDF - A2 Units,Others,0.25%
7.44 Bank Of Baroda Jan  3 2030,Debt,0.22%
8.2 GOI Sep 24 2025,Debt,0.17%
8.97 REC Ltd. Mar 28 2029,Debt,0.09%
9.1 Power Finance Corporation Ltd. Mar 23 2029,Debt,0.04%
6.46 Gujarat SDL Nov  4 2030,Debt,0.01%
