Company Name,Asset Type,Percentage Allocation
6.88 REC Ltd. Mar 20 2025,Debt,5.92%
HDFC Bank Ltd.,Others,5.46%
7.18 GOI Aug 14 2033,Debt,4.65%
7.75 Small Industries Development Bank Of India Oct 27 2025,Debt,4.60%
7.89 Power Grid Corporation Of India Ltd. Mar  9 2027,Debt,4.03%
7.4 National Bank For Agriculture & Rural Development (Nabard) Jan 30 2026,Debt,4.00%
8 Bajaj Finance Ltd. Feb 27 2026,Debt,3.98%
7.35 National Thermal Power Corporation Ltd. Apr 17 2026,Debt,3.94%
7.45 Indian Railway Finance Corporation Ltd. Oct 13 2028,Debt,3.89%
7.81 State Bank Of India Nov  2 2038,Debt,3.84%
7.39 Bank Of Baroda Aug 17 2029,Debt,3.83%
Triparty Repo,Others,3.65%
Kotak Mahindra Bank Ltd.,Others,3.54%
ICICI Bank Ltd.,Others,3.54%
7.2 National Bank For Agriculture & Rural Development (Nabard) Sep 23 2025,Debt,2.29%
5.45 National Thermal Power Corporation Ltd. Oct 15 2025,Debt,2.21%
7.74 Power Finance Corporation Ltd. Jan 29 2028,Debt,2.02%
7.55 Power Finance Corporation Ltd. Jul 15 2026,Debt,1.98%
8.23 Indian Railway Finance Corporation Ltd. Mar 29 2029,Debt,1.97%
7.7 HDFC Bank Ltd. May 16 2028,Debt,1.95%
7.26 GOI Aug 22 2032,Debt,1.94%
7.12 Hindustan Petroleum Corporation Ltd. Jul 30 2025,Debt,1.93%
7.25 Small Industries Development Bank Of India Jul 31 2025,Debt,1.93%
7.25 National Bank For Agriculture & Rural Development (Nabard) Aug  1 2025,Debt,1.93%
7.06 GOI Apr 10 2028,Debt,1.91%
7.71 REC Ltd. Oct 31 2033,Debt,1.91%
7.83 Small Industries Development Bank Of India Nov 24 2028,Debt,1.91%
7.68 Indian Railway Finance Corporation Ltd. Nov 24 2026,Debt,1.90%
7.59 Power Finance Corporation Ltd. Nov  3 2025,Debt,1.90%
7.59 Power Finance Corporation Ltd. Jan 17 2028,Debt,1.88%
Axis Bank Ltd.,Others,1.82%
Axis Bank Ltd.,Others,1.75%
7.7 Maharashtra SDL  Mar  8 2033,Debt,1.55%
7.71 Gujarat SDL Mar  8 2034,Debt,1.16%
7.71 Maharashtra SDL  Nov  8 2033,Debt,1.15%
7.34 GAIL (India) Ltd. Dec 20 2027,Debt,1.12%
7.73 Maharashtra SDL  Mar 23 2034,Debt,0.77%
7.15 Small Industries Development Bank Of India Jun  2 2025,Debt,0.39%
7.26 GOI Feb  6 2033,Debt,0.27%
SBI - CDMDF - A2 Units,Others,0.24%
5.63 GOI Apr 12 2026,Debt,0.04%
Net Receivables/(Payable),Others,-0.68%
