Company Name,Asset Type,Percentage Allocation
7.18 GOI Aug 14 2033,Debt,7.83%
7.26 GOI Feb  6 2033,Debt,5.59%
7.18 GOI Jul 24 2037,Debt,4.58%
7.62 National Bank For Agriculture & Rural Development (Nabard) Jan 31 2028,Debt,4.14%
7.43 Small Industries Development Bank Of India Aug 31 2026,Debt,3.74%
Current Assets,Others,2.82%
8.85 Axis Bank Ltd. Dec  5 2024,Debt,2.57%
7.68 Indian Railway Finance Corporation Ltd. Nov 24 2026,Debt,2.36%
7.77 REC Ltd. Mar 31 2028,Debt,2.36%
5.35 National Housing Bank Feb 12 2024,Debt,2.35%
7.56 Power Grid Corporation Of India Ltd. Mar 31 2033,Debt,2.25%
8 Mahanagar Telephone Nigam Ltd. Nov 15 2032,Debt,2.21%
7.8 HDFC Bank Ltd. Jun  2 2025,Debt,1.88%
7.44 REC Ltd. Apr 30 2026,Debt,1.87%
ICICI Bank Ltd.,Others,1.86%
5.78 HDFC Bank Ltd. Nov 25 2025,Debt,1.81%
7.58 National Bank For Agriculture & Rural Development (Nabard) Jul 31 2026,Debt,1.69%
7.4 Power Grid Corporation Of India Ltd. Feb 17 2033,Debt,1.66%
6.24 State Bank Of India Sep 20 2030,Debt,1.65%
7.86 HDFC Bank Ltd. Dec  2 2032,Debt,1.60%
6.83 Power Finance Corporation Ltd. Jan 22 2031,Debt,1.50%
8.27 REC Ltd. Feb  6 2025,Debt,1.42%
7.8 Mahanagar Telephone Nigam Ltd. Nov  7 2033,Debt,1.42%
7.77 Power Finance Corporation Ltd. Apr 15 2028,Debt,1.42%
7.75 Small Industries Development Bank Of India Oct 27 2025,Debt,1.42%
7.1 ICICI Bank Ltd. Feb 17 2030,Debt,1.40%
Axis Bank Ltd.,Others,1.39%
7.49 National Bank For Agriculture & Rural Development (Nabard) Oct 15 2026,Debt,1.31%
7.8 HDFC Bank Ltd. May  3 2033,Debt,1.22%
7.32 GOI Nov 13 2030,Debt,1.14%
8.1 REC Ltd. Jun 25 2024,Debt,1.04%
7.6 REC Ltd. Feb 27 2026,Debt,1.00%
8.03 Power Finance Corporation Ltd. May  2 2026,Debt,0.95%
7.83 Small Industries Development Bank Of India Nov 24 2028,Debt,0.95%
8.3 Tata Capital Financial Services Ltd. Mar 13 2026,Debt,0.95%
8.3774 HDB Financial Services Ltd. Apr 24 2026,Debt,0.95%
7.79 Small Industries Development Bank Of India May 14 2027,Debt,0.94%
8.05 Summit Digitel Infrastructure Pvt. Ltd. (Erstwhile Reliance Jio Infratel Pvt. Ltd.) May 31 2027,Debt,0.94%
7.55 Power Finance Corporation Ltd. Jul 15 2026,Debt,0.94%
7.67 LIC Housing Finance Ltd. Apr 15 2033,Debt,0.94%
7.25 Small Industries Development Bank Of India Jul 31 2025,Debt,0.94%
7.17 Power Finance Corporation Ltd. May 22 2025,Debt,0.94%
7.7 HDB Financial Services Ltd. Aug 11 2025,Debt,0.94%
7.44 Small Industries Development Bank Of India Sep  4 2026,Debt,0.94%
7.2 National Bank For Agriculture & Rural Development (Nabard) Sep 23 2025,Debt,0.93%
7.13 Power Finance Corporation Ltd. Jul 15 2026,Debt,0.93%
Export Import Bank Of India (364D),Others,0.93%
HDFC Bank Ltd. (364D),Others,0.93%
6.67 HDFC Life Insurance Company Ltd. Jul 29 2030,Debt,0.92%
State Bank Of India,Others,0.92%
Axis Bank Ltd.,Others,0.91%
8.98 Power Finance Corporation Ltd. Oct  8 2024,Debt,0.86%
8.49 National Thermal Power Corporation Ltd. Mar 25 2025,Debt,0.76%
7.64 Power Finance Corporation Ltd. Feb 22 2033,Debt,0.75%
7.34 Power Grid Corporation Of India Ltd. Jul 15 2024,Debt,0.75%
9.3 Power Grid Corporation Of India Ltd. Sep  4 2024,Debt,0.57%
8.65 Power Finance Corporation Ltd. Dec 28 2024,Debt,0.48%
8.43 HDFC Bank Ltd. Mar  4 2025,Debt,0.47%
7 Hindustan Petroleum Corporation Ltd. Aug 14 2024,Debt,0.47%
7.35 National Bank For Agriculture & Rural Development (Nabard) Jul  8 2025,Debt,0.47%
5.81 REC Ltd. Dec 31 2025,Debt,0.46%
8.02 Bharat Petroleum Corporation Ltd. Mar 11 2024,Debt,0.38%
7.4 HDFC Bank Ltd. Jun  2 2025,Debt,0.37%
7.11 Small Industries Development Bank Of India Feb 27 2026,Debt,0.37%
8.2 National Bank For Agriculture & Rural Development (Nabard) Mar  9 2028,Debt,0.29%
1.5 HDFC Bank Ltd. Mar 27 2027,Debt,0.28%
6.64 GOI Jun 16 2035,Debt,0.27%
Triparty Repo,Others,0.25%
8.48 Kerala SDL  Aug  8 2030,Debt,0.20%
8.39 Power Finance Corporation Ltd. Apr 19 2025,Debt,0.19%
SBI - CDMDF - A2 Units,Others,0.19%
5.68 Maharashtra SDL  Sep 23 2024,Debt,0.19%
8.15 GOI Nov 24 2026,Debt,0.10%
8.22 National Bank For Agriculture & Rural Development (Nabard) Dec 13 2028,Debt,0.10%
9.15 ICICI Bank Ltd. Aug  6 2024,Debt,0.10%
7.36 Power Grid Corporation Of India Ltd. Oct 17 2026,Debt,0.09%
6.7 Andhra Pradesh SDL Apr 22 2026,Debt,0.09%
7.26 GOI Aug 22 2032,Debt,0.05%
7.35 GOI Jun 22 2024,Debt,0.04%
6.79 GOI May 15 2027,Debt,0.04%
5.15 GOI Nov  9 2025,Debt,0.03%
8.57 REC Ltd. Dec 21 2024,Debt,0.02%
4.04 GOI Oct  4 2028,Debt,0.02%
7.32 GOI Jan 28 2024,Debt,0.02%
Cash Margin,Debt,0.02%
8.11 REC Ltd. Oct  7 2025,Debt,0.01%
5.36 Hindustan Petroleum Corporation Ltd. Apr 11 2025,Debt,0.01%
8.12 NHPC Ltd. Mar 22 2029,Debt,0.00%
8.27 National Highways Authority Of India Mar 28 2029,Debt,0.00%
Interest Rate Swap,Debt,-0.01%
Interest Rate Swap,Debt,-0.01%
Interest Rate Swap,Debt,-0.01%
