Company Name,Asset Type,Percentage Allocation
HDFC Bank Ltd.,Equity,6.63%
ICICI Bank Ltd.,Equity,5.44%
Larsen & Toubro Ltd.,Equity,4.22%
7.1 GOI Apr 18 2029,Debt,3.95%
Reliance Industries Ltd.,Equity,3.91%
Infosys Ltd.,Equity,3.02%
7.38 GOI Jun 20 2027,Debt,2.82%
Finolex Cables Ltd.,Equity,2.50%
Sonata Software Ltd.,Equity,2.48%
6.69 GOI Jun 27 2024,Debt,2.43%
Reverse Repo,Others,2.40%
State Bank Of India,Equity,2.34%
7.18 GOI Aug 14 2033,Debt,2.31%
eClerx Services Ltd.,Equity,2.27%
Bharat Electronics Ltd.,Equity,2.24%
Voltamp Transformers Ltd.,Equity,2.22%
ITC Ltd.,Equity,2.19%
Bank Of Baroda,Equity,2.11%
Newgen Software Technologies Ltd.,Equity,2.09%
7.17 GOI Jan  8 2028,Debt,2.01%
Triparty Repo,Others,1.98%
Aster DM Healthcare Ltd.,Equity,1.79%
United Spirits Ltd.,Equity,1.63%
Kirloskar Pneumatic Company Ltd.,Equity,1.59%
7.17 GOI Apr 17 2030,Debt,1.58%
Rolex Rings Ltd.,Equity,1.46%
Akzo Nobel India Ltd.,Equity,1.44%
Apollo Tyres Ltd.,Equity,1.32%
7.26 GOI Feb  6 2033,Debt,1.28%
Bharti Airtel Ltd.,Equity,1.23%
Prestige Estates Projects Ltd.,Equity,1.22%
State Bank Of India,Others,1.18%
8.99 Bank Of Baroda Dec 18 2119,Debt,1.16%
Transport Corporation Of India Ltd.,Equity,1.08%
Zensar Technologies Ltd.,Equity,1.06%
Timken India Ltd.,Equity,1.05%
IPCA Laboratories Ltd.,Equity,1.01%
7.18 GOI Jul 24 2037,Debt,0.96%
7.06 GOI Apr 10 2028,Debt,0.85%
Carborundum Universal Ltd.,Equity,0.84%
Power Grid Corporation Of India Ltd.,Equity,0.82%
Mahindra Holidays & Resorts India Ltd.,Equity,0.81%
RHI Magnesita India Ltd.,Equity,0.74%
Tega Industries Ltd.,Equity,0.70%
Equitas Small Finance Bank Ltd.,Equity,0.62%
8.33 LIC Housing Finance Ltd. May 31 2024,Debt,0.61%
8 Toyota Financial Services India Ltd. Dec 19 2025,Debt,0.61%
7.7 HDFC Bank Ltd. Nov 18 2025,Debt,0.60%
PNC Infratech Ltd.,Equity,0.58%
8.28 GOI Sep 21 2027,Debt,0.57%
Axis Bank Ltd.,Equity,0.56%
Bharat Petroleum Corporation Ltd.,Equity,0.55%
Bajaj Finance Ltd.,Equity,0.45%
9.9 Tata Sons Pvt. Ltd. Mar 20 2024,Debt,0.43%
7.79 Small Industries Development Bank Of India May 14 2027,Debt,0.43%
Cholamandalam Financial Holdings Ltd.,Equity,0.42%
Uniparts India Ltd.,Equity,0.40%
8.32 GOI Aug  2 2032,Debt,0.39%
7.49 National Bank For Agriculture & Rural Development (Nabard) Oct 15 2026,Debt,0.36%
7.43 Small Industries Development Bank Of India Aug 31 2026,Debt,0.36%
6.79 GOI May 15 2027,Debt,0.36%
7.26 GOI Aug 22 2032,Debt,0.30%
7.83 National Bank For Agriculture & Rural Development (Nabard) Dec 30 2026,Debt,0.30%
7.75 Small Industries Development Bank Of India Oct 27 2025,Debt,0.30%
7.59 Power Finance Corporation Ltd. Nov  3 2025,Debt,0.30%
7.99 State Bank Of India Jun 28 2029,Debt,0.30%
7.5 National Bank For Agriculture & Rural Development (Nabard) Aug 31 2026,Debt,0.30%
7.3 GOI Jun 19 2053,Debt,0.30%
SKF India Ltd.,Equity,0.22%
VST Industries Ltd.,Equity,0.21%
7.75 Bank Of Baroda Dec 21 2033,Debt,0.18%
Radiant Cash Management Services Ltd.,Equity,0.17%
Current Assets,Others,0.13%
8.6 GOI Jun  2 2028,Debt,0.06%
7.32 GOI Nov 13 2030,Debt,0.06%
7.26 GOI Jan 14 2029,Debt,0.06%
7.62 Uttar Pradesh SDL Dec 20 2033,Debt,0.06%
Doms Industries Ltd.,Equity,0.05%
8.94 Power Finance Corporation Ltd. Mar 25 2028,Debt,0.03%
