Company Name,Asset Type,Percentage Allocation
Triparty Repo,Others,13.68%
Hatsun Agro Product Ltd.,Equity,5.22%
ICICI Bank Ltd.,Equity,4.64%
Alphabet Inc,Equity,4.24%
Dodla Dairy Ltd.,Equity,4.08%
Jupiter Life Line Hospitals Ltd.,Equity,3.83%
Divi Laboratories Ltd.,Equity,3.63%
HDFC Bank Ltd.,Equity,3.63%
Bajaj Finance Ltd.,Equity,3.41%
Kalpataru Projects International Ltd.,Equity,3.30%
Aptus Value Housing Finance India Ltd.,Equity,3.19%
Archean Chemical Industries Ltd.,Equity,3.02%
Bharti Airtel Ltd.,Equity,3.02%
VRL Logistics Ltd.,Equity,2.84%
CSB Bank Ltd. (Formerly The Catholic Syrian Bank Ltd.),Equity,2.78%
Netflix Inc,Equity,2.69%
Muthoot Finance Ltd.,Equity,2.67%
Aether Industries Ltd.,Equity,2.59%
Karur Vysya Bank Ltd.,Equity,2.58%
ICICI Lombard General Insurance Company Ltd.,Equity,2.55%
State Bank Of India,Equity,2.52%
HDFC Life Insurance Company Ltd.,Equity,2.45%
Relaxo Footwears Ltd.,Equity,2.40%
Gujarat Ambuja Exports Ltd.,Equity,2.36%
National Highways Infra Trust,Others,1.89%
Hawkins Cooker Ltd.,Equity,1.76%
Muthoot Finance Ltd.,Equity,1.64%
Thangamayil Jewellery Ltd.,Equity,1.43%
Happy Forgings Ltd.,Equity,1.20%
Elin Electronics Ltd.,Equity,1.15%
Avanti Feeds Ltd.,Equity,1.09%
Other Margin,Debt,1.00%
Inox India Ltd.,Equity,0.98%
Garware Technical Fibres Ltd.,Equity,0.97%
7.38 GOI Jun 20 2027,Debt,0.67%
Neogen Chemicals Ltd.,Equity,0.53%
Doms Industries Ltd.,Equity,0.20%
Campus Activewear Ltd.,Equity,0.14%
Net Receivables/(Payable),Others,-0.31%
Derivative,Others,-1.64%
