Company Name,Asset Type,Percentage Allocation
7.17 GOI Apr 17 2030,Debt,14.28%
Triparty Repo,Others,9.85%
4.45 GOI Oct 30 2034,Debt,9.45%
7.25 GOI Jun 12 2063,Debt,9.31%
7.9585 Mahindra & Mahindra Financial Services Ltd. Sep 26 2025,Debt,4.73%
7.86 Nexus Select Trust Jun 16 2026,Debt,4.73%
7.3 GOI Jun 19 2053,Debt,4.69%
GOI,Debt,2.89%
8.85 Muthoot Finance Ltd. Dec 20 2028,Debt,2.86%
7.78 Mahanagar Telephone Nigam Ltd. Feb 10 2033,Debt,2.86%
9.5221 Avanse Financial Services Ltd. May 29 2026,Debt,2.85%
6.24 State Bank Of India Sep 20 2030,Debt,2.76%
6.45 DBL Mangloor Highways Pvt. Ltd. Aug 31 2035,Debt,2.71%
Doms Industries Ltd.,Equity,2.26%
9.53 Indian Bank Dec 27 2029,Debt,1.94%
Hatsun Agro Product Ltd.,Equity,1.62%
Muthoot Finance Ltd.,Equity,1.53%
Hawkins Cooker Ltd.,Equity,1.51%
Garware Technical Fibres Ltd.,Equity,1.41%
Divi Laboratories Ltd.,Equity,1.37%
Inox India Ltd.,Equity,1.27%
Dodla Dairy Ltd.,Equity,1.17%
Jupiter Life Line Hospitals Ltd.,Equity,1.14%
Samhi Hotels Ltd.,Equity,1.11%
SBFC Finance Ltd.,Equity,1.10%
K P R Mill Ltd.,Equity,1.10%
Aether Industries Ltd.,Equity,1.10%
Sheela Foam Ltd.,Equity,1.09%
Flair Writing Industries Ltd.,Equity,1.09%
Thangamayil Jewellery Ltd.,Equity,0.99%
Blue Star Ltd.,Equity,0.99%
JSW Infrastructure Ltd. (Erstwhile Sarvoday Advisory Services Pvt. Ltd.),Equity,0.99%
Net Receivables/(Payable),Others,0.99%
Elin Electronics Ltd.,Equity,0.98%
Relaxo Footwears Ltd.,Equity,0.77%
Derivative,Others,-1.53%
