Company Name,Asset Type,Percentage Allocation
HDFC Bank Ltd.,Equity,7.70%
Reliance Industries Ltd.,Equity,4.75%
ICICI Bank Ltd.,Equity,4.57%
Infosys Ltd.,Equity,4.13%
Tata Consultancy Services Ltd.,Equity,3.54%
Titan Company Ltd.,Equity,3.28%
ITC Ltd.,Equity,3.18%
Karur Vysya Bank Ltd.,Equity,3.10%
Axis Bank Ltd.,Equity,2.78%
Kotak Mahindra Bank Ltd.,Equity,2.55%
Larsen & Toubro Ltd.,Equity,2.53%
Repo,Others,2.41%
Persistent Systems Ltd.,Equity,2.04%
Thermax Ltd.,Equity,2.03%
MRF Ltd.,Equity,1.98%
Ultratech Cement Ltd.,Equity,1.90%
Cash,Others,1.85%
Hindustan Unilever Ltd.,Equity,1.82%
Grindwell Norton Ltd.,Equity,1.78%
United Spirits Ltd.,Equity,1.74%
CreditAccess Grameen Ltd.,Equity,1.71%
Dr Reddys Laboratories Ltd.,Equity,1.70%
Tata Consumer Products Ltd.,Equity,1.66%
Greenply Industries Ltd.,Equity,1.63%
Gujarat Pipavav Port Ltd.,Equity,1.59%
Metro Brands Ltd.,Equity,1.56%
Deepak Nitrite Ltd.,Equity,1.48%
Jyothy Labs Ltd.,Equity,1.47%
Linde India Ltd.,Equity,1.47%
Exide Industries Ltd.,Equity,1.46%
3M India Ltd.,Equity,1.37%
DCB Bank Ltd.,Equity,1.37%
UTI Asset Management Company Ltd.,Equity,1.33%
Indian Bank,Equity,1.29%
Avenue Supermarts Ltd.,Equity,1.21%
Marico Ltd.,Equity,1.21%
Sobha Ltd.,Equity,1.21%
Repco Home Finance Ltd.,Equity,1.18%
ICICI Lombard General Insurance Company Ltd.,Equity,1.17%
KPIT Technologies Ltd.,Equity,1.16%
ACC Ltd.,Equity,1.15%
Divi Laboratories Ltd.,Equity,1.08%
Westlife Foodworld Ltd.,Equity,1.06%
HDFC Life Insurance Company Ltd.,Equity,1.03%
Wipro Ltd.,Equity,1.01%
Sanofi India Ltd.,Equity,0.99%
Cera Sanitaryware Ltd.,Equity,0.96%
VIP Industries Ltd.,Equity,0.82%
Brookfield REIT,Others,0.79%
Arvind Fashions Ltd.,Equity,0.75%
Mahindra Logistics Ltd.,Equity,0.71%
Aavas Financiers Ltd. (Erstwhile A U Housing Finance),Equity,0.70%
Jupiter Life Line Hospitals Ltd.,Equity,0.67%
Indraprastha Gas Ltd.,Equity,0.38%
