Company Name,Asset Type,Percentage Allocation
HDFC Bank Ltd.,Equity,8.52%
ICICI Bank Ltd.,Equity,6.93%
Infosys Ltd.,Equity,5.80%
Axis Bank Ltd.,Equity,3.80%
Bharti Airtel Ltd.,Equity,3.42%
Avenue Supermarts Ltd.,Equity,2.66%
Indusind Bank Ltd.,Equity,2.64%
Bajaj Finance Ltd.,Equity,2.62%
Tata Motors Ltd.,Equity,2.53%
Maruti Suzuki India Ltd.,Equity,2.45%
Godrej Consumer Products Ltd.,Equity,2.43%
Hindalco Industries Ltd.,Equity,2.21%
Cholamandalam Investment & Finance Company Ltd.,Equity,2.16%
Ultratech Cement Ltd.,Equity,2.14%
Ltimindtree Ltd.,Equity,2.02%
Endurance Technologies Ltd.,Equity,1.98%
Nestle India Ltd.,Equity,1.84%
The Phoenix Mills Ltd.,Equity,1.82%
Crompton Greaves Consumer Electrcials Ltd.,Equity,1.69%
Isgec Heavy Engineering Ltd.,Equity,1.62%
Bharat Electronics Ltd.,Equity,1.58%
ICICI Lombard General Insurance Company Ltd.,Equity,1.52%
Cipla Ltd.,Equity,1.48%
Bharat Forge Ltd.,Equity,1.47%
CESC Ltd.,Equity,1.47%
Eicher Motors Ltd.,Equity,1.44%
Jubilant Foodworks Ltd.,Equity,1.43%
United Breweries Ltd.,Equity,1.40%
Coromandel International Ltd. (Coromandel Fertilisers Ltd.),Equity,1.39%
Metro Brands Ltd.,Equity,1.38%
Ajanta Pharma Ltd.,Equity,1.35%
Tube Investments Of India Ltd.,Equity,1.35%
Current Assets,Others,1.35%
Gujarat Gas Ltd.,Equity,1.26%
Coforge Ltd.,Equity,1.23%
Tech Mahindra Ltd.,Equity,1.23%
National Thermal Power Corporation Ltd.,Equity,1.15%
Info Edge (India) Ltd.,Equity,1.14%
Metropolis Healthcare Ltd.,Equity,1.12%
Canfin Homes Ltd.,Equity,1.10%
Whirlpool of India Ltd.,Equity,1.02%
Trent Ltd.,Equity,1.01%
Oberoi Realty Ltd.,Equity,1.00%
MTAR Technologies Ltd.,Equity,0.92%
Timken India Ltd.,Equity,0.90%
Divi Laboratories Ltd.,Equity,0.87%
PB Fintech Ltd.,Equity,0.82%
Dabur India Ltd.,Equity,0.77%
Voltas Ltd.,Equity,0.76%
Barbeque Nation Hospitality Ltd.,Equity,0.71%
Fsn ECommerce Ventures Ltd.,Equity,0.62%
Tata Consumer Products Ltd.,Equity,0.54%
PI Industries Ltd.,Equity,0.51%
Gland Pharma Ltd.,Equity,0.50%
Astral Ltd. (Erstwhile Astral Poly Technik Ltd.),Equity,0.49%
Jamna Auto Industries Ltd.,Equity,0.33%
Treasury Bill (364D),Others,0.09%
CBLO(CCIL),Others,0.01%
