Company Name,Asset Type,Percentage Allocation
7.18 GOI Jul 24 2037,Debt,10.17%
7.41 GOI Dec 19 2036,Debt,8.66%
7.26 GOI Feb  6 2033,Debt,6.88%
Current Assets,Others,3.85%
HDFC Bank Ltd.,Equity,3.42%
7.97 HDFC Bank Ltd. Feb 17 2033,Debt,2.88%
7.3 GOI Jun 19 2053,Debt,2.82%
ICICI Bank Ltd.,Equity,2.79%
Infosys Ltd.,Equity,2.32%
7.18 GOI Aug 14 2033,Debt,2.28%
7.83 Small Industries Development Bank Of India Nov 24 2028,Debt,1.72%
7.64 Power Finance Corporation Ltd. Feb 22 2033,Debt,1.71%
Axis Bank Ltd.,Equity,1.53%
Bharti Airtel Ltd.,Equity,1.37%
7.74 Power Finance Corporation Ltd. Jan 29 2028,Debt,1.14%
7.69 REC Ltd. Mar 31 2033,Debt,1.14%
7.9 Jamnagar Utilities & Power Pvt. Ltd. Aug 10 2028,Debt,1.14%
7.6 Power Finance Corporation Ltd. Aug 25 2033,Debt,1.14%
7.99 HDB Financial Services Ltd. Mar 16 2026,Debt,1.13%
7.77 HDFC Bank Ltd. Jun 28 2027,Debt,1.13%
7.46 REC Ltd. Jun 30 2028,Debt,1.13%
7.32 National Thermal Power Corporation Ltd. Jul 17 2029,Debt,1.13%
6.23 REC Ltd. Oct 31 2031,Debt,1.10%
Avenue Supermarts Ltd.,Equity,1.08%
Indusind Bank Ltd.,Equity,1.06%
Bajaj Finance Ltd.,Equity,1.04%
Tata Motors Ltd.,Equity,1.01%
Godrej Consumer Products Ltd.,Equity,1.01%
Maruti Suzuki India Ltd.,Equity,0.99%
Hindalco Industries Ltd.,Equity,0.89%
Cholamandalam Investment & Finance Company Ltd.,Equity,0.87%
Ultratech Cement Ltd.,Equity,0.86%
Ltimindtree Ltd.,Equity,0.81%
Endurance Technologies Ltd.,Equity,0.79%
The Phoenix Mills Ltd.,Equity,0.76%
Nestle India Ltd.,Equity,0.74%
Crompton Greaves Consumer Electrcials Ltd.,Equity,0.68%
Isgec Heavy Engineering Ltd.,Equity,0.67%
Bharat Electronics Ltd.,Equity,0.64%
ICICI Lombard General Insurance Company Ltd.,Equity,0.61%
Cipla Ltd.,Equity,0.60%
Bharat Forge Ltd.,Equity,0.59%
CESC Ltd.,Equity,0.59%
Eicher Motors Ltd.,Equity,0.58%
Jubilant Foodworks Ltd.,Equity,0.58%
United Breweries Ltd.,Equity,0.57%
7.65 Indian Railway Finance Corporation Ltd. Apr 18 2033,Debt,0.57%
8.05 Summit Digitel Infrastructure Pvt. Ltd. (Erstwhile Reliance Jio Infratel Pvt. Ltd.) May 31 2027,Debt,0.57%
7.68 Housing & Urban Development Corporation Ltd. (Hudco) May 16 2026,Debt,0.57%
7.74 State Bank Of India Sep  9 2120,Debt,0.57%
7.64 REC Ltd. Jun 30 2026,Debt,0.57%
7.86 HDFC Bank Ltd. Dec  2 2032,Debt,0.57%
7.14 Bank Of India Sep 30 2031,Debt,0.57%
7.42 Union Bank Of India Sep 16 2030,Debt,0.56%
7.43 National Bank For Financing Infrastructure And Development Jun 16 2033,Debt,0.56%
Metro Brands Ltd.,Equity,0.56%
6.63 Tamil Nadu SDL Dec 23 2035,Debt,0.55%
Coromandel International Ltd. (Coromandel Fertilisers Ltd.),Equity,0.55%
6.09 Power Finance Corporation Ltd. Aug 27 2026,Debt,0.55%
Tube Investments Of India Ltd.,Equity,0.55%
Ajanta Pharma Ltd.,Equity,0.54%
Gujarat Gas Ltd.,Equity,0.52%
Coforge Ltd.,Equity,0.50%
Tech Mahindra Ltd.,Equity,0.50%
National Thermal Power Corporation Ltd.,Equity,0.46%
Metropolis Healthcare Ltd.,Equity,0.46%
Info Edge (India) Ltd.,Equity,0.45%
Canfin Homes Ltd.,Equity,0.44%
Whirlpool of India Ltd.,Equity,0.43%
7.42 ICICI Bank Ltd. Sep 15 2029,Debt,0.43%
6.75 Piramal Capital & Housing Finance Ltd. (Erstwhile Dewan Housing Finance Corporation Ltd.) Sep 26 2031,Debt,0.42%
Trent Ltd.,Equity,0.40%
Oberoi Realty Ltd.,Equity,0.40%
Indian Bank,Others,0.38%
First Business Receivables Trust,Debt,0.38%
MTAR Technologies Ltd.,Equity,0.37%
Timken India Ltd.,Equity,0.37%
Divi Laboratories Ltd.,Equity,0.35%
PB Fintech Ltd.,Equity,0.34%
Dabur India Ltd.,Equity,0.32%
Voltas Ltd.,Equity,0.31%
Barbeque Nation Hospitality Ltd.,Equity,0.29%
GOI,Debt,0.27%
Fsn ECommerce Ventures Ltd.,Equity,0.26%
GOI,Debt,0.26%
7.75 State Bank Of India Sep  9 2122,Debt,0.22%
Tata Consumer Products Ltd.,Equity,0.22%
PI Industries Ltd.,Equity,0.21%
Gland Pharma Ltd.,Equity,0.20%
Astral Ltd. (Erstwhile Astral Poly Technik Ltd.),Equity,0.20%
8.7 Power Finance Corporation Ltd. May 14 2025,Debt,0.16%
Treasury Bill (364D),Others,0.15%
Jamna Auto Industries Ltd.,Equity,0.14%
8.75 Power Finance Corporation Ltd. Jun 15 2025,Debt,0.09%
CBLO(CCIL),Others,0.09%
