Company Name,Asset Type,Percentage Allocation
Triparty Repo,Others,17.19%
HDFC Bank Ltd.,Equity,7.37%
ICICI Bank Ltd.,Equity,4.86%
Larsen & Toubro Ltd.,Equity,4.83%
Infosys Ltd.,Equity,3.58%
Kesoram Industries Ltd.,Equity,2.95%
Bharti Airtel Ltd.,Equity,2.69%
Tata Motors Ltd.,Equity,2.58%
Tata Consultancy Services Ltd.,Equity,2.54%
TVS Motor Company Ltd.,Equity,2.48%
Tech Mahindra Ltd.,Equity,2.43%
Reliance Industries Ltd.,Equity,2.19%
S.J.S. Enterprises Ltd.,Equity,1.96%
State Bank Of India,Equity,1.61%
Tata Consumer Products Ltd.,Equity,1.54%
UNO Minda Ltd.,Equity,1.52%
Nippon Life India Asset Management Ltd.,Equity,1.52%
Coal India Ltd.,Equity,1.49%
Polycab India Ltd.,Equity,1.48%
Shriram Finance Ltd.(Erstwhile Shriram Transport Finance Company Limited),Equity,1.48%
National Thermal Power Corporation Ltd.,Equity,1.47%
Canara Bank,Equity,1.47%
Gokaldas Exports Ltd.,Equity,1.47%
Max Healthcare Institute Ltd.,Equity,1.47%
Gabriel India Ltd.,Equity,1.46%
Eureka Forbes Ltd.,Equity,1.46%
Solar Industries India Ltd.,Equity,1.44%
Zomato Ltd.,Equity,1.41%
Spandana Sphoorty Financial Ltd.,Equity,1.33%
Tata Steel Ltd.,Equity,1.23%
Hitachi Energy India Ltd.,Equity,1.22%
SBI Life Insurance Company Ltd.,Equity,1.17%
Varun Beverages Ltd.,Equity,1.15%
Mankind Pharma Ltd.,Equity,1.08%
The Phoenix Mills Ltd.,Equity,1.07%
Endurance Technologies Ltd.,Equity,1.00%
Bajaj Auto Ltd.,Equity,1.00%
Dixon Technologies (India) Ltd.,Equity,1.00%
Sonata Software Ltd.,Equity,1.00%
Syrma SGS Technology Ltd.,Equity,0.99%
JB Chemicals & Pharmaceuticals Ltd.,Equity,0.99%
Sona Blw Precision Forgings Ltd.,Equity,0.99%
REC Ltd.,Equity,0.98%
Oberoi Realty Ltd.,Equity,0.98%
CG Power & Industrial Solutions Ltd.,Equity,0.98%
Hindalco Industries Ltd.,Equity,0.98%
Info Edge (India) Ltd.,Equity,0.98%
Kaynes Technology India Pvt. Ltd.,Equity,0.98%
Jio Financial Services Ltd.,Equity,0.98%
Central Depository Services (India) Ltd.,Equity,0.98%
Power Finance Corporation Ltd.,Equity,0.97%
Brigade Enterprises Ltd.,Equity,0.96%
Mrs Bectors Food Specialities Ltd.,Equity,0.96%
Ltimindtree Ltd.,Equity,0.91%
Coromandel International Ltd. (Coromandel Fertilisers Ltd.),Equity,0.74%
Sun Pharmaceuticals Ind Ltd.,Equity,0.58%
Tata Power Company Ltd.,Equity,0.52%
PB Fintech Ltd.,Equity,0.48%
Net Receivables/(Payable),Others,-9.11%
