Company Name,Asset Type,Percentage Allocation
7.26 GOI Feb  6 2033,Debt,14.67%
7.33 GOI Sep 22 2033,Debt,11.69%
7.65 HDFC Bank Ltd. May 25 2033,Debt,6.36%
7.64 Power Finance Corporation Ltd. Feb 22 2033,Debt,5.12%
8.7 Bharti Telecom Ltd. Nov 21 2024,Debt,3.84%
7.18 GOI Jul 24 2037,Debt,3.80%
7.18 GOI Aug 14 2033,Debt,2.56%
8.15 Samvardhana Motherson International Ltd. (Erstwhile Motherson Sumi Systems Ltd.) Jan 23 2026,Debt,2.56%
8.5 Muthoot Finance Ltd. Jan 29 2026,Debt,2.55%
4.04 GOI Oct  4 2028,Debt,2.55%
6.72 India Grid Trust Sep 14 2026,Debt,2.49%
Net Receivables/(Payable),Others,2.15%
GOI,Debt,2.10%
GOI,Debt,2.03%
Bajaj Finance Ltd.,Equity,1.81%
HDFC Bank Ltd.,Equity,1.72%
Infosys Ltd.,Equity,1.70%
Tata Consultancy Services Ltd.,Equity,1.65%
ICICI Bank Ltd.,Equity,1.47%
Avenue Supermarts Ltd.,Equity,1.35%
8.44 Indian Bank Dec 30 2120,Debt,1.29%
9.45 CreditAccess Grameen Ltd. Nov 22 2024,Debt,1.28%
8.5 Aadhar Housing Finance Ltd. May 26 2026,Debt,1.27%
7.15 Tata Motors Finance Ltd. Jun 25 2024,Debt,1.27%
9.95 Indostar Capital Finance Ltd. Aug  7 2025,Debt,1.27%
6.25 Embassy Office Parks Reit Oct 18 2024,Debt,1.26%
Reliance Industries Ltd.,Equity,1.17%
10.2541 Vivriti Capital Pvt. Ltd. Dec 26 2024,Debt,1.02%
8.3 SK Finance Ltd. (Erstwhile Ess Kay Fincorp Ltd.) Apr 29 2025,Debt,0.92%
7.17 GOI Jan  8 2028,Debt,0.77%
PI Industries Ltd.,Equity,0.72%
Mahindra & Mahindra Ltd.,Equity,0.71%
Shree Cement Ltd.,Equity,0.62%
Bajaj Finserv Ltd.,Equity,0.61%
Vedant Fashions Pvt. Ltd.,Equity,0.55%
Tata Motors Ltd.,Equity,0.54%
Cholamandalam Investment & Finance Company Ltd.,Equity,0.53%
Larsen & Toubro Ltd.,Equity,0.53%
Sansera Engineering Ltd.,Equity,0.52%
Navin Fluorine International Ltd.,Equity,0.49%
Nestle India Ltd.,Equity,0.49%
CBLO(CCIL),Others,0.48%
UNO Minda Ltd.,Equity,0.47%
Motherson Sumi Wiring India Ltd.,Equity,0.44%
Neogen Chemicals Ltd.,Equity,0.44%
Rainbow Childrens Medicare Ltd.,Equity,0.44%
Sun Pharmaceuticals Ind Ltd.,Equity,0.42%
SKF India Ltd.,Equity,0.41%
Sundaram Finance Ltd.,Equity,0.40%
Cholamandalam Investment & Finance Company Ltd.,Equity,0.39%
Ltimindtree Ltd.,Equity,0.38%
Hindustan Unilever Ltd.,Equity,0.38%
Sona Blw Precision Forgings Ltd.,Equity,0.36%
ICICI Prudential Life Insurance Company Ltd.,Equity,0.34%
Brigade Enterprises Ltd.,Equity,0.34%
Clean Science & Technology Ltd.,Equity,0.32%
Zomato Ltd.,Equity,0.32%
MTAR Technologies Ltd.,Equity,0.31%
Sumitomo Chemical India Ltd.,Equity,0.30%
SBI - CDMDF - A2 Units,Others,0.28%
Kotak Mahindra Bank Ltd.,Equity,0.24%
Fortis Healthcare Ltd.,Equity,0.23%
Jio Financial Services Ltd.,Equity,0.14%
Interest Rate Swap,Debt,0.07%
6.19 GOI Sep 16 2034,Debt,0.05%
Interest Rate Swap,Debt,0.02%
Interest Rate Swap,Debt,0.01%
Teamlease Services Ltd.,Equity,0.00%
Derivative,Others,-
