Company Name,Asset Type,Percentage Allocation
7.1 GOI Apr 18 2029,Debt,19.68%
Bandhan Mutual Fund,Equity,12.89%
8.07 Gujarat SDL Feb 11 2025,Debt,7.94%
7.79 Small Industries Development Bank Of India Apr 19 2027,Debt,7.89%
7.06 GOI Apr 10 2028,Debt,7.87%
7.9 Bajaj Finance Ltd. Nov 17 2025,Debt,7.85%
7.38 GOI Jun 20 2027,Debt,7.00%
7.17 GOI Jan  8 2028,Debt,4.09%
8.33 GOI Jul  9 2026,Debt,4.05%
Triparty Repo,Others,3.32%
8.24 GOI Feb 15 2027,Debt,2.66%
6.79 GOI May 15 2027,Debt,2.66%
8.28 GOI Sep 21 2027,Debt,2.10%
Trent Ltd.,Equity,1.25%
Current Assets,Others,1.17%
TVS Motor Company Ltd.,Equity,1.11%
Ltimindtree Ltd.,Equity,0.80%
Tube Investments Of India Ltd.,Equity,0.75%
Cholamandalam Investment & Finance Company Ltd.,Equity,0.72%
Tata Consultancy Services Ltd.,Equity,0.71%
Godrej Consumer Products Ltd.,Equity,0.70%
UNO Minda Ltd.,Equity,0.67%
HDFC Bank Ltd.,Equity,0.65%
ICICI Bank Ltd.,Equity,0.43%
SBI - CDMDF - A2 Units,Others,0.29%
Indusind Bank Ltd.,Equity,0.28%
Axis Bank Ltd.,Equity,0.25%
7.79 LIC Housing Finance Ltd. Oct 18 2024,Debt,0.24%
5.5 Britannia Industries Ltd. Jun  3 2024,Debt,0.00%
