Company Name,Asset Type,Percentage Allocation
Triparty Repo,Others,4.95%
6.79 Bharat Sanchar Nigam Ltd. Sep 23 2030,Debt,4.25%
7.71 Maharashtra SDL  Nov  8 2033,Debt,4.21%
7.74 Hindustan Petroleum Corporation Ltd. Mar  2 2028,Debt,4.20%
7.38 GOI Jun 20 2027,Debt,3.38%
6.75 Sikka Ports Terminals (Erst Reliance Ports & Terminals Ltd.) Apr 22 2026,Debt,3.26%
6.75 Piramal Capital & Housing Finance Ltd. (Erstwhile Dewan Housing Finance Corporation Ltd.) Sep 26 2031,Debt,2.89%
7.81 Sundaram Home Finance Ltd. (Erstwhile Sundaram Bnp Paribas Home Finance Ltd.) Aug 25 2026,Debt,2.83%
8.25 JSW Steel Ltd. Dec 23 2027,Debt,2.82%
7.77 REC Ltd. Mar 31 2028,Debt,2.52%
7.9 Jamnagar Utilities & Power Pvt. Ltd. Aug 10 2028,Debt,2.51%
7.58 National Thermal Power Corporation Ltd. Aug 21 2026,Debt,2.51%
8.5 Nomura Capital India Pvt. Ltd. Oct 21 2026,Debt,2.51%
7.44 Indian Oil Corporation Ltd. Nov 25 2027,Debt,2.50%
6.73 Tamil Nadu SDL May 13 2030,Debt,2.41%
HDFC Bank Ltd.,Equity,1.95%
7.32 GOI Nov 13 2030,Debt,1.69%
7.83 Indian Railway Finance Corporation Ltd. Mar 19 2027,Debt,1.68%
7.7 Karnataka Sdl Nov  8 2033,Debt,1.68%
8.85 Muthoot Finance Ltd. Dec 20 2028,Debt,1.68%
7.68 Indian Railway Finance Corporation Ltd. Nov 24 2026,Debt,1.68%
7.79 Small Industries Development Bank Of India Apr 19 2027,Debt,1.68%
8.02 Mindspace Business Parks Reit Apr 13 2026,Debt,1.67%
7.49 Maharashtra SDL  Apr 12 2030,Debt,1.67%
ICICI Bank Ltd.,Equity,1.67%
9.95 Indostar Capital Finance Ltd. Mar 21 2025,Debt,1.66%
7.18 Maharashtra SDL  Jun 28 2029,Debt,1.65%
6.49 Gujarat SDL Dec  2 2029,Debt,1.59%
Motilal Oswal Financial Services Ltd. (365D),Others,1.58%
Brookfield REIT,Others,1.56%
8.7 Bharti Telecom Ltd. Dec  5 2025,Debt,1.51%
8.5 JM Financial Products Ltd. May 16 2025,Debt,1.33%
6.5 Tata Capital Housing Finance Ltd. Jun 15 2026,Debt,1.29%
Reliance Industries Ltd.,Equity,1.17%
5.22 GOI Jun 15 2025,Debt,1.12%
9 Steel Authority Of India Ltd. Oct 14 2024,Debt,1.01%
Larsen & Toubro Ltd.,Equity,0.89%
8.9 Bharti Telecom Ltd. Dec  4 2025,Debt,0.84%
7.06 GOI Apr 10 2028,Debt,0.84%
7.56 Power Finance Corporation Ltd. Sep 16 2026,Debt,0.83%
Ultratech Cement Ltd.,Equity,0.74%
Bajaj Finance Ltd.,Equity,0.63%
Trent Ltd.,Equity,0.60%
Axis Bank Ltd.,Equity,0.59%
Nestle India Ltd.,Equity,0.56%
Ltimindtree Ltd.,Equity,0.53%
Tata Consultancy Services Ltd.,Equity,0.52%
Hitachi Energy India Ltd.,Equity,0.50%
Indusind Bank Ltd.,Equity,0.47%
Zomato Ltd.,Equity,0.47%
ITC Ltd.,Equity,0.46%
State Bank Of India,Equity,0.44%
Sun Pharmaceuticals Ind Ltd.,Equity,0.44%
Tata Motors Ltd.,Equity,0.43%
KEI Industries Ltd.,Equity,0.42%
NLC India Ltd.,Equity,0.42%
Brigade Enterprises Ltd.,Equity,0.42%
7.65 Indian Railway Finance Corporation Ltd. Dec 30 2032,Debt,0.42%
TVS Motor Company Ltd.,Equity,0.40%
Affle (India) Ltd.,Equity,0.37%
JB Chemicals & Pharmaceuticals Ltd.,Equity,0.37%
Mphasis Ltd.,Equity,0.36%
NHPC Ltd.,Equity,0.36%
Tech Mahindra Ltd.,Equity,0.35%
The Jammu & Kashmir Bank Ltd.,Equity,0.35%
ZF Commercial Vehicle Control Systems India Ltd.,Equity,0.35%
Concord Biotech Ltd.,Equity,0.35%
8.65 Reliance Industries Ltd. Dec 11 2028,Debt,0.35%
BSE Ltd.,Equity,0.33%
The Indian Hotels Company Ltd.,Equity,0.33%
AIA Engineering Ltd.,Equity,0.32%
Rainbow Childrens Medicare Ltd.,Equity,0.30%
Mahindra & Mahindra Financial Services Ltd.,Equity,0.30%
Westlife Foodworld Ltd.,Equity,0.29%
Coforge Ltd.,Equity,0.28%
Mankind Pharma Ltd.,Equity,0.27%
Tata Communications Ltd.,Equity,0.27%
Infosys Ltd.,Equity,0.27%
Titan Company Ltd.,Equity,0.26%
eClerx Services Ltd.,Equity,0.26%
Maruti Suzuki India Ltd.,Equity,0.26%
Hindalco Industries Ltd.,Equity,0.23%
Bharti Airtel Ltd.,Equity,0.22%
SBI - CDMDF - A2 Units,Others,0.22%
Indian Bank,Equity,0.21%
7.61 Rajasthan SDL Mar 29 2027,Debt,0.17%
6.4 Jamnagar Utilities & Power Pvt. Ltd. Sep 29 2026,Debt,0.16%
India Shelter Finance Corporation Ltd.,Equity,0.10%
8.08 Karnataka Sdl Dec 26 2028,Debt,0.09%
6.45 GOI Oct  7 2029,Debt,0.00%
Net Receivables/(Payable),Others,-1.46%
