Company Name,Asset Type,Percentage Allocation
6.88 National Housing Bank Jan 21 2025,Debt,9.01%
7.18 GOI Aug 14 2033,Debt,7.01%
6.88 REC Ltd. Mar 20 2025,Debt,5.95%
6.39 Indian Oil Corporation Ltd. Mar  6 2025,Debt,5.90%
7.06 GOI Apr 10 2028,Debt,5.77%
8.32 Power Grid Corporation Of India Ltd. Dec 23 2025,Debt,5.76%
7.1 GOI Apr 18 2029,Debt,5.76%
6.35 Power Finance Corporation Ltd. Jun 30 2025,Debt,4.31%
HDFC Bank Ltd.,Equity,3.41%
8.11 Export Import Bank Of India Feb  3 2025,Debt,3.06%
7.4 National Bank For Agriculture & Rural Development (Nabard) Jan 30 2026,Debt,3.01%
7.35 HDFC Bank Ltd. Feb 10 2025,Debt,3.01%
7.26 GOI Feb  6 2033,Debt,2.94%
7.37 GOI Oct 23 2028,Debt,2.91%
7.47 Small Industries Development Bank Of India Nov 25 2025,Debt,2.85%
5.74 GOI Nov 15 2026,Debt,2.77%
ICICI Bank Ltd.,Equity,2.61%
Axis Bank Ltd.,Equity,1.89%
5.63 GOI Apr 12 2026,Debt,1.65%
Triparty Repo,Others,1.47%
Hero Motocorp Ltd.,Equity,1.43%
Sun Pharmaceuticals Ind Ltd.,Equity,1.37%
ITC Ltd.,Equity,1.31%
IPCA Laboratories Ltd.,Equity,1.17%
Samvardhana Motherson International Ltd. (Erstwhile Motherson Sumi Systems Ltd.),Equity,1.09%
SBI Life Insurance Company Ltd.,Equity,1.08%
8.49 National Thermal Power Corporation Ltd. Mar 25 2025,Debt,1.06%
ICICI Lombard General Insurance Company Ltd.,Equity,0.84%
Suven Pharmaceuticals Ltd.,Equity,0.80%
Coromandel International Ltd. (Coromandel Fertilisers Ltd.),Equity,0.74%
SBI Cards & Payment Services Pvt. Ltd.,Equity,0.71%
Alembic Pharmaceuticals Ltd.,Equity,0.70%
Eureka Forbes Ltd.,Equity,0.68%
Jubilant Ingrevia Ltd.,Equity,0.66%
Tech Mahindra Ltd.,Equity,0.65%
HCL Technologies Ltd.,Equity,0.65%
Sharda Cropchem Ltd.,Equity,0.63%
Cipla Ltd.,Equity,0.58%
7.38 GOI Jun 20 2027,Debt,0.57%
Bajaj Finance Ltd.,Equity,0.53%
Oil & Natural Gas Corporation Ltd.,Equity,0.51%
National Thermal Power Corporation Ltd.,Equity,0.40%
Power Finance Corporation Ltd.,Equity,0.34%
SBI - CDMDF - A2 Units,Others,0.29%
Teamlease Services Ltd.,Equity,0.22%
7.83 Gujarat SDL Jul 13 2026,Debt,0.18%
Net Receivables/(Payable),Others,-0.24%
