Company Name,Asset Type,Percentage Allocation
7.9 Sikka Ports Terminals (Erst Reliance Ports & Terminals Ltd.) Nov 18 2026,Debt,3.32%
8.9508 Pipeline Infrastructure Pvt. Ltd. Mar 22 2024,Debt,3.00%
8.098 Tata Capital Financial Services Ltd. Jan 22 2027,Debt,2.49%
7.8 HDFC Bank Ltd. May  3 2033,Debt,2.49%
7.17 Power Finance Corporation Ltd. May 22 2025,Debt,2.47%
7.18 GOI Jul 24 2037,Debt,2.30%
Current Assets,Others,2.07%
Reverse Repo,Others,1.99%
ICICI Bank Ltd.,Equity,1.95%
HDFC Bank Ltd.,Equity,1.82%
Triparty Repo,Others,1.73%
7.38 GOI Jun 20 2027,Debt,1.73%
8.3 Indian Railway Finance Corporation Ltd. Mar 23 2029,Debt,1.71%
8.27 National Highways Authority Of India Mar 28 2029,Debt,1.71%
State Bank Of India,Equity,1.71%
7.97 HDFC Bank Ltd. Feb 17 2033,Debt,1.68%
8.5 Tata Motors Ltd. Dec 30 2026,Debt,1.66%
8.5 Tata Motors Ltd. Jan 29 2027,Debt,1.66%
7.75 Small Industries Development Bank Of India Oct 27 2025,Debt,1.66%
7.1 GOI Apr 18 2029,Debt,1.66%
4.45 GOI Oct 30 2034,Debt,1.65%
7.2 Export Import Bank Of India Jun  5 2025,Debt,1.65%
7.41 Power Finance Corporation Ltd. Feb 25 2030,Debt,1.64%
7.43 National Bank For Financing Infrastructure And Development Jun 16 2033,Debt,1.64%
6.58 Gujarat SDL Mar 31 2027,Debt,1.62%
6.89 Indian Railway Finance Corporation Ltd. Jul 18 2031,Debt,1.59%
National Thermal Power Corporation Ltd.,Equity,1.24%
Axis Bank Ltd.,Equity,1.20%
7.41 GOI Dec 19 2036,Debt,1.18%
8.85 Muthoot Finance Ltd. Dec 20 2028,Debt,1.17%
7.64 Indian Railway Finance Corporation Ltd. Nov 27 2037,Debt,1.16%
7.36 GOI Sep 12 2052,Debt,1.16%
6.54 GOI Jan 17 2032,Debt,1.12%
Infosys Ltd.,Equity,1.04%
8.15 National Bank For Agriculture & Rural Development (Nabard) Mar 28 2029,Debt,1.00%
Larsen & Toubro Ltd.,Equity,0.97%
8.41 Housing & Urban Development Corporation Ltd. (Hudco) Mar 15 2029,Debt,0.86%
Bharti Airtel Ltd.,Equity,0.86%
8.37 Housing & Urban Development Corporation Ltd. (Hudco) Mar 23 2029,Debt,0.86%
Reliance Industries Ltd.,Equity,0.86%
8.3 REC Ltd. Jun 25 2029,Debt,0.85%
ITC Ltd.,Equity,0.84%
Tata Consultancy Services Ltd.,Equity,0.83%
7.26 GOI Feb  6 2033,Debt,0.83%
7.95 LIC Housing Finance Ltd. Jan 29 2028,Debt,0.83%
9.3 TVS Credit Services Ltd. Jun 27 2029,Debt,0.83%
7.79 Small Industries Development Bank Of India Apr 19 2027,Debt,0.83%
7.77 Power Finance Corporation Ltd. Jul 15 2026,Debt,0.83%
7.62 National Bank For Agriculture & Rural Development (Nabard) Jan 31 2028,Debt,0.83%
4.04 GOI Oct  4 2028,Debt,0.83%
7.38 Cholamandalam Investment & Finance Company Ltd. Jul 31 2024,Debt,0.82%
7.25 Small Industries Development Bank Of India Jul 31 2025,Debt,0.82%
7.5 Grasim Industries Ltd. Jun 10 2027,Debt,0.82%
7.44 Small Industries Development Bank Of India Sep  4 2026,Debt,0.82%
6.68 GOI Sep 17 2031,Debt,0.81%
7.1 HDFC ERGO General Insurance Company Ltd. (Erstwhile HDFC ERGO Health Insurance Ltd.) (Erstwhile Apol Nov  7 2031,Debt,0.79%
7.02 Bajaj Finance Ltd. Apr 18 2031,Debt,0.79%
6.95 GOI Dec 16 2061,Debt,0.78%
6.83 HDFC Bank Ltd. Jan  8 2031,Debt,0.78%
5.77 GOI Aug  3 2030,Debt,0.77%
Sun Pharmaceuticals Ind Ltd.,Equity,0.63%
Hindustan Aeronautics Ltd.,Equity,0.62%
9.9 Coastal Gujarat Power Ltd. Aug 25 2028,Debt,0.62%
NHPC Ltd.,Equity,0.60%
Mahindra & Mahindra Ltd.,Equity,0.57%
Coal India Ltd.,Equity,0.56%
GOI,Debt,0.55%
Embassy Office Parks Reit,Others,0.54%
Cipla Ltd.,Equity,0.53%
8.79 Indian Railway Finance Corporation Ltd. May  4 2030,Debt,0.53%
Andhra Pradesh Expressway Ltd.,Debt,0.53%
Tata Motors Ltd.,Equity,0.52%
Andhra Pradesh Expressway Ltd.,Debt,0.50%
HCL Technologies Ltd.,Equity,0.49%
5.85 GOI Dec  1 2030,Debt,0.46%
REC Ltd.,Equity,0.45%
Lupin Ltd.,Equity,0.44%
Power Finance Corporation Ltd.,Equity,0.42%
Bharat Dynamics Ltd.,Equity,0.40%
6.19 GOI Sep 16 2034,Debt,0.38%
Aurobindo Pharma Ltd.,Equity,0.36%
Hindustan Petroleum Corporation Ltd.,Equity,0.36%
SBI Life Insurance Company Ltd.,Equity,0.36%
Union Bank Of India,Equity,0.36%
Gateway Distriparks Ltd.,Equity,0.34%
Tega Industries Ltd.,Equity,0.34%
Oil & Natural Gas Corporation Ltd.,Equity,0.34%
7.17 GOI Jan  8 2028,Debt,0.33%
7.7 REC Ltd. Dec 10 2027,Debt,0.33%
8.35 Mahindra Rural Housing Finance Ltd. Sep 24 2032,Debt,0.33%
8.69 Union Bank Of India Jul 25 2122,Debt,0.33%
7.3 GOI Jun 19 2053,Debt,0.33%
6.79 GOI Dec 26 2029,Debt,0.33%
Bharat Petroleum Corporation Ltd.,Equity,0.32%
6.1 GOI Jul 12 2031,Debt,0.31%
Goodyear India Ltd.,Equity,0.29%
Power Grid Corporation Of India Ltd.,Equity,0.29%
Finolex Cables Ltd.,Equity,0.28%
The Great Eastern Shipping Company Ltd.,Equity,0.26%
Swaraj Engines Ltd.,Equity,0.24%
SBI - CDMDF - A2 Units,Others,0.23%
CIE Automotive India Ltd.,Equity,0.19%
SBI Cards & Payment Services Pvt. Ltd.,Equity,0.18%
8.94 Power Finance Corporation Ltd. Mar 25 2028,Debt,0.17%
9.35 Power Grid Corporation Of India Ltd. Aug 29 2025,Debt,0.17%
7.18 GOI Aug 14 2033,Debt,0.17%
6.45 GOI Oct  7 2029,Debt,0.16%
6.99 GOI Dec 15 2051,Debt,0.16%
5.74 GOI Nov 15 2026,Debt,0.10%
8.1 Tamil Nadu SDL Mar 11 2025,Debt,0.08%
8.15 GOI Nov 24 2026,Debt,0.01%
