Company Name,Asset Type,Percentage Allocation
7.1 GOI Apr 18 2029,Debt,13.68%
7.38 GOI Jun 20 2027,Debt,13.66%
5.63 GOI Apr 12 2026,Debt,13.27%
7.06 GOI Apr 10 2028,Debt,11.88%
HDFC Bank Ltd.,Others,8.87%
7.17 GOI Jan  8 2028,Debt,5.13%
Triparty Repo,Others,4.89%
5.74 GOI Nov 15 2026,Debt,3.51%
Larsen & Toubro Ltd.,Equity,2.54%
7.76 Maharashtra SDL  Oct  4 2030,Debt,2.32%
TVS Motor Company Ltd.,Equity,1.49%
Siemens Ltd.,Equity,1.27%
KPIT Technologies Ltd.,Equity,1.23%
Aditya Vision Ltd.,Equity,1.02%
Indusind Bank Ltd.,Equity,0.95%
Kaynes Technology India Pvt. Ltd.,Equity,0.94%
Td Power Systems Ltd.,Equity,0.94%
ICICI Bank Ltd.,Equity,0.90%
HDFC Bank Ltd.,Equity,0.82%
VRL Logistics Ltd.,Equity,0.79%
Safari Industries (India) Ltd.,Equity,0.77%
ABB India Ltd.,Equity,0.76%
Polycab India Ltd.,Equity,0.74%
Persistent Systems Ltd.,Equity,0.67%
Cholamandalam Investment & Finance Company Ltd.,Equity,0.66%
Universal Cables Ltd.,Equity,0.65%
Mankind Pharma Ltd.,Equity,0.62%
CG Power & Industrial Solutions Ltd.,Equity,0.61%
Sundaram Finance Ltd.,Equity,0.54%
The Indian Hotels Company Ltd.,Equity,0.50%
Bharat Electronics Ltd.,Equity,0.50%
Power Mech Projects Ltd.,Equity,0.48%
KEI Industries Ltd.,Equity,0.48%
Infosys Ltd.,Equity,0.45%
Titan Company Ltd.,Equity,0.41%
SBI Life Insurance Company Ltd.,Equity,0.35%
Sun Pharmaceuticals Ind Ltd.,Equity,0.32%
SBI - CDMDF - A2 Units,Others,0.29%
Schaeffler India Ltd.,Equity,0.29%
Eureka Forbes Ltd.,Equity,0.28%
Current Assets,Others,-0.47%
