Company Name,Asset Type,Percentage Allocation
Triparty Repo,Others,55.15%
Bank Of Baroda,Others,9.77%
8.85 Bajaj Finance Ltd. Jan  5 2024,Debt,6.59%
6.89 GOI Jan 16 2025,Debt,3.28%
HDFC Bank Ltd.,Equity,2.36%
Reliance Industries Ltd.,Equity,1.69%
Net Receivables/(Payable),Others,1.47%
Infosys Ltd.,Equity,1.46%
ICICI Bank Ltd.,Equity,1.26%
Hindalco Industries Ltd.,Equity,1.25%
ITC Ltd.,Equity,1.05%
Larsen & Toubro Ltd.,Equity,0.91%
State Bank Of India,Equity,0.85%
Tata Consultancy Services Ltd.,Equity,0.83%
Kotak Mahindra Bank Ltd.,Equity,0.70%
UPL Ltd. (Erstwhile United Phosphorus Ltd.),Equity,0.63%
Bharti Airtel Ltd.,Equity,0.51%
SBI - CDMDF - A2 Units,Others,0.50%
National Thermal Power Corporation Ltd.,Equity,0.50%
HCL Technologies Ltd.,Equity,0.48%
HDFC Life Insurance Company Ltd.,Equity,0.47%
Hindustan Unilever Ltd.,Equity,0.45%
Titan Company Ltd.,Equity,0.44%
Indusind Bank Ltd.,Equity,0.44%
Tata Motors Ltd.,Equity,0.42%
Mahindra & Mahindra Ltd.,Equity,0.42%
Maruti Suzuki India Ltd.,Equity,0.41%
Sun Pharmaceuticals Ind Ltd.,Equity,0.39%
Tech Mahindra Ltd.,Equity,0.37%
Axis Bank Ltd.,Equity,0.35%
Asian Paints Ltd.,Equity,0.35%
Cipla Ltd.,Equity,0.34%
Tata Steel Ltd.,Equity,0.33%
Ultratech Cement Ltd.,Equity,0.33%
Nestle India Ltd.,Equity,0.29%
Bajaj Finance Ltd.,Equity,0.27%
Oil & Natural Gas Corporation Ltd.,Equity,0.23%
Dr Reddys Laboratories Ltd.,Equity,0.22%
Power Grid Corporation Of India Ltd.,Equity,0.22%
JSW Steel Ltd.,Equity,0.20%
Bajaj Finserv Ltd.,Equity,0.20%
Britannia Industries Ltd.,Equity,0.20%
Grasim Industries Ltd.,Equity,0.17%
Coal India Ltd.,Equity,0.16%
Adani Ports and Special Economic Zone Ltd.,Equity,0.14%
Adani Enterprises Ltd.,Equity,0.13%
Hero Motocorp Ltd.,Equity,0.12%
Apollo Hospitals Enterprise Ltd.,Equity,0.11%
Tata Consumer Products Ltd.,Equity,0.11%
Eicher Motors Ltd.,Equity,0.11%
SBI Life Insurance Company Ltd.,Equity,0.10%
Bharat Petroleum Corporation Ltd.,Equity,0.07%
Wipro Ltd.,Equity,0.06%
Bajaj Auto Ltd.,Equity,0.05%
Divi Laboratories Ltd.,Equity,0.05%
Ltimindtree Ltd.,Equity,0.03%
