Company Name,Asset Type,Percentage Allocation
Treasury Bill (364D),Others,18.25%
Treasury Bill (364D),Others,17.29%
Triparty Repo,Others,16.21%
6 HDFC Bank Ltd. May 29 2026,Debt,7.34%
7.6 Muthoot Finance Ltd. Apr 20 2026,Debt,6.25%
Time Technoplast Ltd. (91D),Others,3.61%
Treasury Bill (364D),Others,3.61%
6.19 LIC Housing Finance Ltd. Nov 25 2024,Debt,3.60%
ICICI Bank Ltd.,Equity,3.54%
Reliance Industries Ltd.,Equity,3.31%
India Grid Trust,Others,3.17%
Axis Bank Ltd.,Equity,2.66%
Bharti Airtel Ltd.,Equity,2.48%
Infosys Ltd.,Equity,2.26%
Tata Consumer Products Ltd.,Equity,1.90%
HCL Technologies Ltd.,Equity,1.51%
Sun Pharmaceuticals Ind Ltd.,Equity,1.36%
KNR Constructions Ltd.,Equity,0.66%
Jio Financial Services Ltd.,Equity,0.34%
Jubilant Foodworks Ltd.,Equity,0.27%
SBI - CDMDF - A2 Units,Others,0.26%
Bharti Airtel Ltd.,Equity,0.13%
