Company Name,Asset Type,Percentage Allocation
Infosys Ltd.,Equity,6.12%
ITC Ltd.,Equity,5.17%
Coal India Ltd.,Equity,4.36%
National Thermal Power Corporation Ltd.,Equity,3.95%
NLC India Ltd.,Equity,3.93%
NMDC Ltd.,Equity,3.00%
CMS Info Systems Ltd.,Equity,2.85%
Kewal Kiran Clothing Ltd.,Equity,2.76%
Multi Commodity Exchange of India Ltd.,Equity,2.63%
RHI Magnesita India Ltd.,Equity,2.57%
Hero Motocorp Ltd.,Equity,2.34%
Manappuram Finance Ltd.,Equity,2.14%
Loreal,Equity,2.13%
Bajaj Auto Ltd.,Equity,2.02%
Computer Age Management Services Ltd.,Equity,1.99%
Oil & Natural Gas Corporation Ltd.,Equity,1.97%
Shriram Finance Ltd.(Erstwhile Shriram Transport Finance Company Limited),Equity,1.87%
Lvmh Moet Hennessy Louis Vuitton,Equity,1.87%
Bharat Petroleum Corporation Ltd.,Equity,1.87%
Tata Consultancy Services Ltd.,Equity,1.86%
Starbucks Corp,Equity,1.85%
ICICI Securities Ltd.,Equity,1.85%
Bharat Electronics Ltd.,Equity,1.77%
LIC Housing Finance Ltd.,Equity,1.68%
CBLO(CCIL),Others,1.66%
Dhanuka Agritech Ltd.,Equity,1.60%
HCL Technologies Ltd.,Equity,1.58%
Bank Of India,Equity,1.50%
Accenture Plc,Equity,1.45%
Ltimindtree Ltd.,Equity,1.41%
Hindustan Aeronautics Ltd.,Equity,1.34%
NMDC Steel Ltd,Equity,1.20%
Sanofi India Ltd.,Equity,1.20%
National Aluminium Company Ltd.,Equity,1.20%
Union Bank Of India,Equity,1.14%
SBFC Finance Ltd.,Equity,1.11%
Bank Of Baroda,Equity,1.09%
Coforge Ltd.,Equity,1.08%
State Bank Of India,Equity,1.07%
Hindustan Unilever Ltd.,Equity,1.02%
Castrol India Ltd.,Equity,1.02%
Tech Mahindra Ltd.,Equity,0.97%
Central Depository Services (India) Ltd.,Equity,0.97%
The Federal Bank Ltd.,Equity,0.94%
CESC Ltd.,Equity,0.88%
Tamil Nadu Newsprint & Papers Ltd.,Equity,0.87%
Akzo Nobel India Ltd.,Equity,0.85%
Emami Ltd.,Equity,0.84%
Indraprastha Gas Ltd.,Equity,0.78%
Blue Star Ltd.,Equity,0.74%
Balrampur Chini Mills Ltd.,Equity,0.72%
Bayer Cropscience Ltd.,Equity,0.69%
Persistent Systems Ltd.,Equity,0.61%
Birlasoft Ltd.,Equity,0.60%
Mahindra & Mahindra Financial Services Ltd.,Equity,0.57%
Britannia Industries Ltd.,Equity,0.56%
Avanti Feeds Ltd.,Equity,0.49%
Ujjivan Financial Services Ltd.,Equity,0.48%
Tata Steel Ltd.,Equity,0.48%
Dalmia Bharat Ltd.,Equity,0.41%
The Jammu & Kashmir Bank Ltd.,Equity,0.34%
Mphasis Ltd.,Equity,0.23%
Net Receivables/(Payable),Others,-0.24%
