Company Name,Asset Type,Percentage Allocation
HDFC Bank Ltd.,Equity,7.18%
ICICI Bank Ltd.,Equity,4.33%
Larsen & Toubro Ltd.,Equity,4.04%
CESC Ltd.,Equity,3.83%
Infosys Ltd.,Equity,3.53%
National Thermal Power Corporation Ltd.,Equity,3.49%
Tata Consultancy Services Ltd.,Equity,3.22%
Tech Mahindra Ltd.,Equity,3.20%
Reliance Industries Ltd.,Equity,2.96%
Coal India Ltd.,Equity,2.83%
ITC Ltd.,Equity,2.43%
Power Finance Corporation Ltd.,Equity,2.19%
NHPC Ltd.,Equity,2.17%
Sun Pharmaceuticals Ind Ltd.,Equity,1.97%
Hindustan Unilever Ltd.,Equity,1.83%
Indusind Bank Ltd.,Equity,1.79%
State Bank Of India,Equity,1.76%
PVR INOX Ltd.,Equity,1.72%
Oil & Natural Gas Corporation Ltd.,Equity,1.69%
REC Ltd.,Equity,1.51%
Triparty Repo,Others,1.47%
Ambuja Cements Ltd.,Equity,1.42%
Bharti Airtel Ltd.,Equity,1.42%
RHI Magnesita India Ltd.,Equity,1.40%
Bharat Electronics Ltd.,Equity,1.34%
Tata Motors Ltd.,Equity,1.25%
Tata Steel Ltd.,Equity,1.20%
Kaynes Technology India Pvt. Ltd.,Equity,1.20%
GAIL (India) Ltd.,Equity,1.05%
Balrampur Chini Mills Ltd.,Equity,1.03%
SKF India Ltd.,Equity,0.98%
Apollo Hospitals Enterprise Ltd.,Equity,0.98%
Wipro Ltd.,Equity,0.98%
Nestle India Ltd.,Equity,0.97%
Hindustan Petroleum Corporation Ltd.,Equity,0.94%
Bajaj Auto Ltd.,Equity,0.92%
AIA Engineering Ltd.,Equity,0.92%
UPL Ltd. (Erstwhile United Phosphorus Ltd.),Equity,0.90%
Td Power Systems Ltd.,Equity,0.87%
Fusion Micro Finance Ltd.,Equity,0.87%
Apollo Tyres Ltd.,Equity,0.83%
Mahindra & Mahindra Ltd.,Equity,0.79%
Mahindra Holidays & Resorts India Ltd.,Equity,0.79%
Dr Reddys Laboratories Ltd.,Equity,0.79%
Godrej Consumer Products Ltd.,Equity,0.78%
SBI Life Insurance Company Ltd.,Equity,0.77%
Axis Bank Ltd.,Equity,0.76%
Embassy Office Parks Reit,Others,0.75%
Go Fashion (India) Ltd.,Equity,0.74%
Finolex Cables Ltd.,Equity,0.73%
Cholamandalam Financial Holdings Ltd.,Equity,0.71%
Indraprastha Gas Ltd.,Equity,0.68%
Chambal Fertilisers & Chemicals Ltd.,Equity,0.67%
Emami Ltd.,Equity,0.65%
Canara Bank,Equity,0.61%
Muthoot Finance Ltd.,Equity,0.59%
Dilip Buildcon Ltd.,Equity,0.57%
Hindalco Industries Ltd.,Equity,0.56%
Vardhman Textiles Ltd.,Equity,0.56%
Lupin Ltd.,Equity,0.56%
Ghcl Ltd.,Equity,0.53%
Castrol India Ltd.,Equity,0.49%
PNC Infratech Ltd.,Equity,0.48%
Quess Corp Ltd.,Equity,0.48%
UTI Asset Management Company Ltd.,Equity,0.48%
Sun T V Network Ltd.,Equity,0.45%
Cummins India Ltd.,Equity,0.43%
Biocon Ltd.,Equity,0.42%
Tata Communications Ltd.,Equity,0.41%
Gujarat Pipavav Port Ltd.,Equity,0.39%
ICICI Securities Ltd.,Equity,0.32%
SAI Silks (Kalamandir) Ltd.,Equity,0.28%
Jio Financial Services Ltd.,Equity,0.21%
Netweb Technologies India Ltd.,Equity,0.19%
Rishabh Instruments Ltd.,Equity,0.19%
Inox India Ltd.,Equity,0.15%
Voltamp Transformers Ltd.,Equity,0.15%
Ultratech Cement Ltd.,Equity,0.14%
Sonata Software Ltd.,Equity,0.13%
Timken India Ltd.,Equity,0.13%
GHCL TEXTILES LTD.,Equity,0.06%
Bharti Airtel Ltd.,Equity,0.05%
Latent View Analytics Ltd.,Equity,0.05%
Current Assets,Others,-0.27%
