Company Name,Asset Type,Percentage Allocation
Infosys Ltd.,Equity,6.54%
National Thermal Power Corporation Ltd.,Equity,5.53%
ICICI Bank Ltd.,Equity,4.80%
Tata Consultancy Services Ltd.,Equity,4.48%
Power Grid Corporation Of India Ltd.,Equity,4.14%
Bharat Electronics Ltd.,Equity,4.05%
Power Finance Corporation Ltd.,Equity,4.01%
NHPC Ltd.,Equity,3.65%
Mahindra & Mahindra Ltd.,Equity,3.33%
Maruti Suzuki India Ltd.,Equity,3.28%
Larsen & Toubro Ltd.,Equity,3.21%
Titan Company Ltd.,Equity,3.18%
Triparty Repo,Others,3.18%
State Bank Of India,Equity,3.09%
Mahanagar Gas Ltd.,Equity,3.00%
Bajaj Finance Ltd.,Equity,2.82%
BEML Ltd.,Equity,2.72%
Divi Laboratories Ltd.,Equity,2.63%
Bajaj Auto Ltd.,Equity,2.53%
Reliance Industries Ltd.,Equity,2.49%
Sanofi India Ltd.,Equity,2.46%
Akzo Nobel India Ltd.,Equity,2.41%
Carborundum Universal Ltd.,Equity,2.39%
Bharat Forge Ltd.,Equity,2.38%
Tech Mahindra Ltd.,Equity,2.18%
Tata Power Company Ltd.,Equity,2.17%
PCBL Ltd. (Erstwhile Phillips Carbon Black Ltd.),Equity,2.01%
ITC Ltd.,Equity,1.91%
Torrent Power Ltd.,Equity,1.80%
Bajaj Consumer Care Ltd.,Equity,1.76%
Hindustan Zinc Ltd.,Equity,1.57%
NLC India Ltd.,Equity,1.54%
Motherson Sumi Wiring India Ltd.,Equity,0.99%
EIH Ltd.,Equity,0.96%
Artemis Medicare Services Ltd.,Equity,0.87%
Net Receivables/(Payable),Others,-0.05%
