Company Name,Asset Type,Percentage Allocation
HDFC Bank Ltd.,Equity,9.27%
Infosys Ltd.,Equity,6.17%
Triparty Repo,Others,5.74%
Tata Consultancy Services Ltd.,Equity,5.49%
Power Grid Corporation Of India Ltd.,Equity,4.80%
Larsen & Toubro Ltd.,Equity,3.67%
Hindustan Unilever Ltd.,Equity,3.33%
Nexus Select Trust,Others,3.09%
Bajaj Auto Ltd.,Equity,3.03%
State Bank Of India,Equity,2.97%
Maruti Suzuki India Ltd.,Equity,2.92%
L&T Technology Services Ltd.,Equity,2.73%
HDFC Asset Management Company Ltd.,Equity,2.65%
GAIL (India) Ltd.,Equity,2.63%
Cummins India Ltd.,Equity,2.56%
ITC Ltd.,Equity,2.47%
Oil & Natural Gas Corporation Ltd.,Equity,2.36%
Schaeffler India Ltd.,Equity,2.34%
TVS Motor Company Ltd.,Equity,2.30%
Colgate-Palmolive Ltd.,Equity,2.26%
SKF India Ltd.,Equity,1.94%
The Great Eastern Shipping Company Ltd.,Equity,1.90%
Grindwell Norton Ltd.,Equity,1.90%
Nestle India Ltd.,Equity,1.72%
CUBE HIGHWAYS TRUST,Others,1.72%
ICICI Lombard General Insurance Company Ltd.,Equity,1.70%
Mahindra & Mahindra Ltd.,Equity,1.68%
Mahindra & Mahindra Financial Services Ltd.,Equity,1.66%
Ultratech Cement Ltd.,Equity,1.62%
Divi Laboratories Ltd.,Equity,1.58%
Tata Steel Ltd.,Equity,1.52%
Bank Of Baroda,Equity,1.43%
Tech Mahindra Ltd.,Equity,1.30%
Abbott India Ltd.,Equity,1.30%
Computer Age Management Services Ltd.,Equity,1.29%
Embassy Office Parks Reit,Others,1.12%
National Aluminium Company Ltd.,Equity,1.07%
Bharat Forge Ltd.,Equity,1.05%
Net Receivables/(Payable),Others,-0.30%
