Company Name,Asset Type,Percentage Allocation
HDFC Bank Ltd.,Equity,6.00%
National Thermal Power Corporation Ltd.,Equity,5.14%
Triparty Repo,Others,4.56%
Reliance Industries Ltd.,Equity,3.91%
Infosys Ltd.,Equity,3.61%
ICICI Bank Ltd.,Equity,3.22%
ITC Ltd.,Equity,2.75%
Larsen & Toubro Ltd.,Equity,2.62%
Bharat Electronics Ltd.,Equity,2.38%
Coal India Ltd.,Equity,2.33%
Power Finance Corporation Ltd.,Equity,2.05%
State Bank Of India,Equity,2.04%
Tata Consultancy Services Ltd.,Equity,2.01%
Ultratech Cement Ltd.,Equity,1.73%
HCL Technologies Ltd.,Equity,1.69%
Sun Pharmaceuticals Ind Ltd.,Equity,1.65%
Hindustan Unilever Ltd.,Equity,1.58%
Bajaj Auto Ltd.,Equity,1.50%
Power Grid Corporation Of India Ltd.,Equity,1.43%
NHPC Ltd.,Equity,1.42%
Canara Bank,Equity,1.42%
Bank Of India,Equity,1.32%
Tech Mahindra Ltd.,Equity,1.31%
Multi Commodity Exchange of India Ltd.,Equity,1.28%
Tata Steel Ltd.,Equity,1.25%
NIIT Learning Systems Ltd.,Equity,1.21%
Indusind Bank Ltd.,Equity,1.19%
Bharti Airtel Ltd.,Equity,1.18%
GAIL (India) Ltd.,Equity,1.17%
REC Ltd.,Equity,1.14%
Oil & Natural Gas Corporation Ltd.,Equity,1.13%
Axis Bank Ltd.,Equity,1.12%
Suven Pharmaceuticals Ltd.,Equity,1.09%
The Federal Bank Ltd.,Equity,1.07%
Indian Oil Corporation Ltd.,Equity,1.07%
Alkem Laboratories Ltd.,Equity,1.05%
AIA Engineering Ltd.,Equity,1.04%
Coforge Ltd.,Equity,1.04%
Carborundum Universal Ltd.,Equity,0.97%
Titan Company Ltd.,Equity,0.96%
Ltimindtree Ltd.,Equity,0.95%
Mahindra & Mahindra Ltd.,Equity,0.95%
Blue Star Ltd.,Equity,0.95%
Interglobe Aviation Ltd.,Equity,0.90%
Bajaj Finserv Ltd.,Equity,0.88%
Tata Motors - DVR - A - ORDY,Equity,0.86%
Cyient Ltd.,Equity,0.85%
Shriram Finance Ltd.(Erstwhile Shriram Transport Finance Company Limited),Equity,0.85%
Gujarat State Petronet Ltd.,Equity,0.84%
Td Power Systems Ltd.,Equity,0.82%
SBI Life Insurance Company Ltd.,Equity,0.81%
Container Corporation Of India Ltd.,Equity,0.81%
TVS Holdings Ltd.,Equity,0.80%
Cummins India Ltd.,Equity,0.78%
Coromandel International Ltd. (Coromandel Fertilisers Ltd.),Equity,0.77%
Maruti Suzuki India Ltd.,Equity,0.77%
Aurobindo Pharma Ltd.,Equity,0.75%
KPIT Technologies Ltd.,Equity,0.74%
Britannia Industries Ltd.,Equity,0.72%
Angel One Ltd. (Erstwhile Angel Broking Ltd.),Equity,0.72%
Cipla Ltd.,Equity,0.69%
Navin Fluorine International Ltd.,Equity,0.67%
Page Industries Ltd.,Equity,0.64%
United Spirits Ltd.,Equity,0.62%
Kotak Mahindra Bank Ltd.,Equity,0.53%
Butterfly Gandhimathi Appliances Ltd.,Equity,0.51%
VST Industries Ltd.,Equity,0.49%
Sanofi India Ltd.,Equity,0.49%
Tata Technologies Ltd.,Equity,0.49%
ICICI Securities Ltd.,Equity,0.44%
Jio Financial Services Ltd.,Equity,0.30%
Senco Gold Ltd.,Equity,0.26%
PVR INOX Ltd.,Equity,0.26%
Cash,Others,0.21%
Sundaram Clayton Dcd Ltd,Equity,0.13%
TVS Holdings Ltd.,Equity,0.10%
Doms Industries Ltd.,Equity,0.05%
5.5 Britannia Industries Ltd. Jun  3 2024,Debt,0.00%
Sundaram Clayton Dcd Ltd,Equity,0.00%
Sandur Laminates Ltd.,Equity,-
Crystal Cable Industries Ltd.,Equity,-
Tirrihannah Company Ltd.,Equity,-
