Company Name,Asset Type,Percentage Allocation
Triparty Repo,Others,6.57%
Bharat Electronics Ltd.,Equity,5.45%
ICICI Bank Ltd.,Equity,3.82%
Larsen & Toubro Ltd.,Equity,3.60%
Tata Consultancy Services Ltd.,Equity,3.09%
State Bank Of India,Equity,3.05%
HDFC Bank Ltd.,Equity,2.84%
Indusind Bank Ltd.,Equity,2.76%
RBL Bank Ltd.,Equity,2.73%
Infosys Ltd.,Equity,2.62%
Power Grid Corporation Of India Ltd.,Equity,2.50%
Polycab India Ltd.,Equity,2.28%
Repo,Others,2.28%
Hindustan Unilever Ltd.,Equity,2.22%
National Thermal Power Corporation Ltd.,Equity,2.20%
ITC Ltd.,Equity,2.19%
ACC Ltd.,Equity,2.12%
Syrma SGS Technology Ltd.,Equity,2.00%
Radico Khaitan Ltd.,Equity,1.96%
HDFC Asset Management Company Ltd.,Equity,1.78%
Hindalco Industries Ltd.,Equity,1.76%
Hindustan Aeronautics Ltd.,Equity,1.72%
Reliance Industries Ltd.,Equity,1.64%
Thermax Ltd.,Equity,1.62%
CreditAccess Grameen Ltd.,Equity,1.59%
Axis Bank Ltd.,Equity,1.52%
Titagarh Railsystems Ltd.,Equity,1.42%
PNB Housing Finance Ltd.,Equity,1.37%
Sundram Fasteners Ltd.,Equity,1.37%
Yatra Online Ltd.,Equity,1.34%
Nestle India Ltd.,Equity,1.34%
Navin Fluorine International Ltd.,Equity,1.33%
Fortis Healthcare Ltd.,Equity,1.31%
Indian Bank,Equity,1.27%
Coal India Ltd.,Equity,1.26%
Adani Ports and Special Economic Zone Ltd.,Equity,1.25%
NHPC Ltd.,Equity,1.22%
PI Industries Ltd.,Equity,1.21%
Interglobe Aviation Ltd.,Equity,1.11%
Tata Power Company Ltd.,Equity,1.05%
REC Ltd.,Equity,1.04%
Coromandel International Ltd. (Coromandel Fertilisers Ltd.),Equity,1.03%
Persistent Systems Ltd.,Equity,1.01%
R R Kabel Ltd.,Equity,0.97%
Zee Entertainment Enterprises Ltd.,Equity,0.96%
The Indian Hotels Company Ltd.,Equity,0.93%
The Federal Bank Ltd.,Equity,0.90%
VRL Logistics Ltd.,Equity,0.88%
Cholamandalam Investment & Finance Company Ltd.,Equity,0.87%
IDFC First Bank Ltd. (Erstwhile IDFC Bank Ltd.),Equity,0.81%
ABB India Ltd.,Equity,0.73%
Cello World Ltd.,Equity,0.72%
KNR Constructions Ltd.,Equity,0.70%
Zydus Lifesciences Ltd.,Equity,0.68%
Flair Writing Industries Ltd.,Equity,0.59%
Tech Mahindra Ltd.,Equity,0.51%
Healthcare Global Enterprises Ltd.,Equity,0.43%
Tata Mutual Fund (Tata Money Market Fund - Direct - Growth),Debt,0.42%
Cash,Others,0.07%
5.5 Britannia Industries Ltd. Jun  3 2024,Debt,0.00%
