Company Name,Asset Type,Percentage Allocation
National Thermal Power Corporation Ltd.,Equity,6.29%
Cash,Others,6.22%
NHPC Ltd.,Equity,4.81%
Power Grid Corporation Of India Ltd.,Equity,4.79%
GAIL (India) Ltd.,Equity,4.53%
Coal India Ltd.,Equity,4.40%
HCL Technologies Ltd.,Equity,4.13%
Infosys Ltd.,Equity,4.10%
HDFC Bank Ltd.,Equity,3.82%
Oil & Natural Gas Corporation Ltd.,Equity,3.82%
ITC Ltd.,Equity,3.69%
Embassy Office Parks Reit,Others,3.28%
Hindustan Petroleum Corporation Ltd.,Equity,3.18%
Brookfield REIT,Others,2.94%
Petronet Lng Ltd.,Equity,2.84%
Castrol India Ltd.,Equity,2.58%
Tata Consultancy Services Ltd.,Equity,2.40%
Tech Mahindra Ltd.,Equity,2.37%
MediaTek Inc.,Equity,2.27%
Unilever PLC,Equity,1.86%
International Fund (Yuanta/P-Shares Taiwan Dividend Plus ETF),Equity,1.84%
Indian Oil Corporation Ltd.,Equity,1.76%
Hindustan Unilever Ltd.,Equity,1.70%
Bharat Electronics Ltd.,Equity,1.67%
Akzo Nobel India Ltd.,Equity,1.59%
CESC Ltd.,Equity,1.41%
Novatek Microelectronics Corporation (Taiwan),Equity,1.39%
Colgate-Palmolive Ltd.,Equity,1.35%
360 ONE WAM LTD.(Erstwhile IIFL WEALTH MANAGEMENT LIMITED),Equity,1.27%
Chambal Fertilisers & Chemicals Ltd.,Equity,1.19%
Grasim Industries Ltd.,Equity,1.14%
Gujarat State Petronet Ltd.,Equity,1.06%
Health & Happiness International Holdings Ltd.,Equity,0.90%
FILA HOLDINGS CORP,Equity,0.86%
Hyundai Motor (South Korea),Equity,0.85%
Cognizant Technology Solutions Corp,Equity,0.85%
Primax Electronics Ltd.,Equity,0.84%
SK Telecom Company Ltd.Â,Equity,0.74%
Thai Beverage,Equity,0.73%
Rallis India Ltd.,Equity,0.66%
Xtep International Holdings Ltd.,Equity,0.57%
Finolex Industries Ltd.,Equity,0.56%
Xinyi Solar Holdings Ltd.,Equity,0.41%
Hon Hai Precision Industry (Taiwan),Equity,0.37%
