Company Name,Asset Type,Percentage Allocation
HDFC Bank Ltd.,Equity,6.32%
Current Assets,Others,5.18%
Infosys Ltd.,Equity,4.17%
Tata Steel Ltd.,Equity,3.77%
Tech Mahindra Ltd.,Equity,3.62%
Bharat Electronics Ltd.,Equity,3.25%
ITC Ltd.,Equity,3.15%
National Thermal Power Corporation Ltd.,Equity,3.14%
Tata Consultancy Services Ltd.,Equity,2.91%
Bajaj Auto Ltd.,Equity,2.70%
Marico Ltd.,Equity,2.65%
Coal India Ltd.,Equity,2.59%
ICICI Bank Ltd.,Equity,2.55%
Mahindra & Mahindra Ltd.,Equity,2.46%
Mphasis Ltd.,Equity,2.45%
Hindustan Unilever Ltd.,Equity,2.27%
Bharat Petroleum Corporation Ltd.,Equity,2.18%
Cipla Ltd.,Equity,2.13%
The Great Eastern Shipping Company Ltd.,Equity,2.08%
Crompton Greaves Consumer Electrcials Ltd.,Equity,2.03%
State Bank Of India,Equity,2.01%
Coromandel International Ltd. (Coromandel Fertilisers Ltd.),Equity,1.99%
Oil & Natural Gas Corporation Ltd.,Equity,1.98%
Torrent Pharmaceuticals Ltd.,Equity,1.97%
Kotak Mahindra Bank Ltd.,Equity,1.90%
ICICI Prudential Life Insurance Company Ltd.,Equity,1.82%
CESC Ltd.,Equity,1.80%
Mahanagar Gas Ltd.,Equity,1.71%
Ltimindtree Ltd.,Equity,1.70%
ICICI Securities Ltd.,Equity,1.63%
ICICI Lombard General Insurance Company Ltd.,Equity,1.61%
GAIL (India) Ltd.,Equity,1.57%
Computer Age Management Services Ltd.,Equity,1.45%
LIC Housing Finance Ltd.,Equity,1.37%
Procter & Gamble Hygiene & Healthcare Ltd.,Equity,1.36%
Samvardhana Motherson International Ltd. (Erstwhile Motherson Sumi Systems Ltd.),Equity,1.30%
Oil India Ltd.,Equity,1.27%
Eris Lifesciences Ltd.,Equity,1.16%
Sanofi India Ltd.,Equity,1.15%
Emami Ltd.,Equity,1.12%
Suven Pharmaceuticals Ltd.,Equity,1.11%
Cummins India Ltd.,Equity,0.98%
The Federal Bank Ltd.,Equity,0.97%
Ajanta Pharma Ltd.,Equity,0.89%
Container Corporation Of India Ltd.,Equity,0.85%
Akzo Nobel India Ltd.,Equity,0.79%
Avanti Feeds Ltd.,Equity,0.48%
Pfizer Ltd.,Equity,0.34%
Treasury Bill (364D),Others,0.14%
CBLO(CCIL),Others,0.01%
