Company Name,Asset Type,Percentage Allocation
HDFC Bank Ltd.,Equity,6.54%
ICICI Bank Ltd.,Equity,5.89%
Triparty Repo,Others,4.76%
Reliance Industries Ltd.,Equity,4.72%
Axis Bank Ltd.,Equity,4.22%
Infosys Ltd.,Equity,3.76%
Tata Motors Ltd.,Equity,3.12%
State Bank Of India,Equity,2.57%
Bharti Airtel Ltd.,Equity,2.29%
National Thermal Power Corporation Ltd.,Equity,2.16%
Tata Consultancy Services Ltd.,Equity,2.12%
Jindal Steel & Power Ltd.,Equity,1.95%
Cipla Ltd.,Equity,1.84%
HCL Technologies Ltd.,Equity,1.79%
CG Power & Industrial Solutions Ltd.,Equity,1.78%
Greenpanel Industries Ltd.,Equity,1.71%
United Spirits Ltd.,Equity,1.65%
VRL Logistics Ltd.,Equity,1.61%
Sun Pharmaceuticals Ind Ltd.,Equity,1.53%
Poonawalla Fincorp Ltd. (Erstwhile Magma Fincorp Ltd.),Equity,1.53%
Kotak Mahindra Bank Ltd.,Equity,1.49%
ICICI Lombard General Insurance Company Ltd.,Equity,1.48%
KEC International Ltd.,Equity,1.44%
ITC Ltd.,Equity,1.43%
Avenue Supermarts Ltd.,Equity,1.42%
Bosch Ltd.,Equity,1.35%
Maruti Suzuki India Ltd.,Equity,1.34%
The Ramco Cements Ltd.,Equity,1.33%
Tech Mahindra Ltd.,Equity,1.33%
UNO Minda Ltd.,Equity,1.32%
NCC Ltd.,Equity,1.31%
Hero Motocorp Ltd.,Equity,1.30%
Hindalco Industries Ltd.,Equity,1.28%
Lupin Ltd.,Equity,1.27%
Dr Reddys Laboratories Ltd.,Equity,1.26%
Tata Consumer Products Ltd.,Equity,1.23%
The Indian Hotels Company Ltd.,Equity,1.22%
Kirloskar Ferrous Industries Ltd.,Equity,1.18%
EIH Ltd.,Equity,1.17%
Sandhar Technologies Ltd.,Equity,1.16%
Graphite India Ltd.,Equity,1.15%
HDFC Life Insurance Company Ltd.,Equity,1.12%
Grasim Industries Ltd.,Equity,1.11%
Bajaj Finance Ltd.,Equity,1.08%
United Breweries Ltd.,Equity,1.04%
MAS Financial Services Ltd.,Equity,1.00%
PSP Projects Ltd.,Equity,0.91%
Deepak Nitrite Ltd.,Equity,0.86%
Mahindra & Mahindra Financial Services Ltd.,Equity,0.82%
Apollo Pipes Ltd.,Equity,0.80%
Laurus Labs Ltd.,Equity,0.75%
Avanti Feeds Ltd.,Equity,0.66%
DLF Ltd.,Equity,0.63%
Info Edge (India) Ltd.,Equity,0.63%
Nuvoco Vistas Corporation Ltd.,Equity,0.60%
Yatra Online Ltd.,Equity,0.57%
SBI Life Insurance Company Ltd.,Equity,0.50%
Siemens Ltd.,Equity,0.49%
Power Grid Corporation Of India Ltd.,Equity,0.41%
Khadim India Ltd.,Equity,0.40%
Dabur India Ltd.,Equity,0.39%
Suzlon Energy Ltd.,Equity,0.33%
Cash Margin,Debt,0.03%
Current Assets,Others,-0.15%
