Company Name,Asset Type,Percentage Allocation
HDFC Bank Ltd.,Equity,5.59%
State Bank Of India,Equity,4.82%
Power Finance Corporation Ltd.,Equity,4.61%
Canara Bank,Equity,3.76%
Bank Of Baroda,Equity,3.67%
National Thermal Power Corporation Ltd.,Equity,3.61%
Reliance Industries Ltd.,Equity,3.23%
Triparty Repo,Others,3.18%
Union Bank Of India,Equity,3.12%
REC Ltd.,Equity,2.78%
Larsen & Toubro Ltd.,Equity,2.64%
Sun Pharmaceuticals Ind Ltd.,Equity,2.63%
JB Chemicals & Pharmaceuticals Ltd.,Equity,1.91%
Indian Bank,Equity,1.89%
Hindustan Aeronautics Ltd.,Equity,1.83%
ICICI Bank Ltd.,Equity,1.74%
Tata Power Company Ltd.,Equity,1.65%
Infosys Ltd.,Equity,1.54%
Mankind Pharma Ltd.,Equity,1.52%
Varun Beverages Ltd.,Equity,1.52%
Ultratech Cement Ltd.,Equity,1.51%
Tata Steel Ltd.,Equity,1.45%
Central Depository Services (India) Ltd.,Equity,1.45%
Oil India Ltd.,Equity,1.43%
Titan Company Ltd.,Equity,1.30%
The Indian Hotels Company Ltd.,Equity,1.20%
Endurance Technologies Ltd.,Equity,1.19%
KPIT Technologies Ltd.,Equity,1.18%
Hero Motocorp Ltd.,Equity,1.15%
Siemens Ltd.,Equity,1.14%
Indusind Bank Ltd.,Equity,1.14%
Coromandel International Ltd. (Coromandel Fertilisers Ltd.),Equity,1.13%
ABB India Ltd.,Equity,1.12%
Jtekt India Ltd.,Equity,1.11%
Coforge Ltd.,Equity,1.09%
Rategain Travel Technologies Ltd.,Equity,1.08%
Tata Motors Ltd.,Equity,1.06%
Astral Ltd. (Erstwhile Astral Poly Technik Ltd.),Equity,1.05%
DLF Ltd.,Equity,1.04%
HEG Ltd.,Equity,1.03%
IDFC First Bank Ltd. (Erstwhile IDFC Bank Ltd.),Equity,1.02%
Maruti Suzuki India Ltd.,Equity,1.00%
UNO Minda Ltd.,Equity,0.99%
Kotak Mahindra Bank Ltd.,Equity,0.97%
Oberoi Realty Ltd.,Equity,0.97%
Prudent Corporate Advisory Services Ltd.,Equity,0.93%
Balrampur Chini Mills Ltd.,Equity,0.92%
Jio Financial Services Ltd.,Equity,0.89%
Triveni Engineering & Industries Ltd.,Equity,0.89%
Poly Medicure Ltd.,Equity,0.81%
HCL Technologies Ltd.,Equity,0.78%
Deepak Nitrite Ltd.,Equity,0.74%
E.I.D. Parry India Ltd.,Equity,0.72%
Tega Industries Ltd.,Equity,0.70%
Mahindra Lifespace Developers Ltd.,Equity,0.69%
Navin Fluorine International Ltd.,Equity,0.69%
Bharat Heavy Electricals Ltd.,Equity,0.65%
APL Apollo Tubes Ltd.,Equity,0.59%
Metro Brands Ltd.,Equity,0.54%
Cholamandalam Investment & Finance Company Ltd.,Equity,0.53%
Vinati Organics Ltd.,Equity,0.52%
Fusion Micro Finance Ltd.,Equity,0.48%
Graphite India Ltd.,Equity,0.45%
Dixon Technologies (India) Ltd.,Equity,0.44%
Ganesha Ecosphere Ltd.,Equity,0.36%
PI Industries Ltd.,Equity,0.34%
Steel Authority Of India Ltd.,Equity,0.19%
Net Receivables/(Payable),Others,0.06%
Treasury Bill (364D),Others,0.05%
