Company Name,Asset Type,Percentage Allocation
HDFC Bank Ltd.,Equity,8.03%
ICICI Bank Ltd.,Equity,5.10%
Reliance Industries Ltd.,Equity,3.83%
Triparty Repo,Others,3.73%
Larsen & Toubro Ltd.,Equity,3.68%
Ultratech Cement Ltd.,Equity,3.35%
Trent Ltd.,Equity,2.36%
Tata Technologies Ltd.,Equity,2.10%
Bajaj Finance Ltd.,Equity,2.08%
Zomato Ltd.,Equity,2.03%
Mphasis Ltd.,Equity,1.98%
NLC India Ltd.,Equity,1.96%
Indusind Bank Ltd.,Equity,1.96%
Ltimindtree Ltd.,Equity,1.95%
Axis Bank Ltd.,Equity,1.86%
Brigade Enterprises Ltd.,Equity,1.65%
Tata Motors Ltd.,Equity,1.58%
TVS Motor Company Ltd.,Equity,1.56%
Sun Pharmaceuticals Ind Ltd.,Equity,1.55%
Affle (India) Ltd.,Equity,1.55%
ITC Ltd.,Equity,1.55%
Bharti Airtel Ltd.,Equity,1.54%
Karur Vysya Bank Ltd.,Equity,1.50%
Linde India Ltd.,Equity,1.49%
KEI Industries Ltd.,Equity,1.46%
Hitachi Energy India Ltd.,Equity,1.42%
Rainbow Childrens Medicare Ltd.,Equity,1.41%
Concord Biotech Ltd.,Equity,1.38%
Five-Star Business Finance Ltd.,Equity,1.34%
JB Chemicals & Pharmaceuticals Ltd.,Equity,1.34%
PVR INOX Ltd.,Equity,1.33%
Tech Mahindra Ltd.,Equity,1.33%
State Bank Of India,Equity,1.32%
BSE Ltd.,Equity,1.30%
NHPC Ltd.,Equity,1.29%
Dixon Technologies (India) Ltd.,Equity,1.28%
Maruti Suzuki India Ltd.,Equity,1.25%
Alkem Laboratories Ltd.,Equity,1.24%
The Indian Hotels Company Ltd.,Equity,1.23%
Punjab National Bank,Equity,1.15%
Coforge Ltd.,Equity,1.15%
Tata Communications Ltd.,Equity,1.12%
The Phoenix Mills Ltd.,Equity,1.12%
Titan Company Ltd.,Equity,1.12%
United Spirits Ltd.,Equity,1.11%
Cholamandalam Investment & Finance Company Ltd.,Equity,1.08%
India Shelter Finance Corporation Ltd.,Equity,1.07%
Mahindra & Mahindra Financial Services Ltd.,Equity,1.06%
The Jammu & Kashmir Bank Ltd.,Equity,1.04%
Tega Industries Ltd.,Equity,1.04%
Tata Consultancy Services Ltd.,Equity,1.02%
Craftsman Automation Ltd.,Equity,1.02%
eClerx Services Ltd.,Equity,1.01%
PNB Housing Finance Ltd.,Equity,0.98%
Protean Egov Technologies Ltd.,Equity,0.95%
Westlife Foodworld Ltd.,Equity,0.93%
Kaynes Technology India Pvt. Ltd.,Equity,0.91%
Hindalco Industries Ltd.,Equity,0.75%
PI Industries Ltd.,Equity,0.68%
Teamlease Services Ltd.,Equity,0.09%
Net Receivables/(Payable),Others,-0.25%
