Company Name,Asset Type,Percentage Allocation
HDFC Bank Ltd.,Equity,7.99%
ICICI Bank Ltd.,Equity,5.70%
Infosys Ltd.,Equity,4.85%
Reliance Industries Ltd.,Equity,4.05%
Triparty Repo,Others,3.18%
National Thermal Power Corporation Ltd.,Equity,2.73%
Tata Consultancy Services Ltd.,Equity,2.64%
Larsen & Toubro Ltd.,Equity,2.58%
Bajaj Finance Ltd.,Equity,2.48%
Bharti Airtel Ltd.,Equity,2.20%
ITC Ltd.,Equity,2.17%
REC Ltd.,Equity,2.10%
Axis Bank Ltd.,Equity,2.08%
State Bank Of India,Equity,2.03%
Ultratech Cement Ltd.,Equity,2.02%
Sun Pharmaceuticals Ind Ltd.,Equity,1.86%
Tata Motors Ltd.,Equity,1.65%
Trent Ltd.,Equity,1.56%
Samvardhana Motherson International Ltd. (Erstwhile Motherson Sumi Systems Ltd.),Equity,1.54%
Indusind Bank Ltd.,Equity,1.43%
Bajaj Auto Ltd.,Equity,1.33%
Max Healthcare Institute Ltd.,Equity,1.26%
Bharat Dynamics Ltd.,Equity,1.25%
Vedant Fashions Pvt. Ltd.,Equity,1.23%
JB Chemicals & Pharmaceuticals Ltd.,Equity,1.22%
TVS Motor Company Ltd.,Equity,1.18%
CreditAccess Grameen Ltd.,Equity,1.15%
Oberoi Realty Ltd.,Equity,1.12%
Coforge Ltd.,Equity,1.12%
ICICI Lombard General Insurance Company Ltd.,Equity,1.11%
KEI Industries Ltd.,Equity,1.10%
PI Industries Ltd.,Equity,1.08%
Bharat Electronics Ltd.,Equity,1.05%
Dr Lal PathLabs Ltd.,Equity,1.05%
ABB India Ltd.,Equity,1.04%
Cholamandalam Investment & Finance Company Ltd.,Equity,1.03%
Jyothy Labs Ltd.,Equity,1.01%
Titan Company Ltd.,Equity,1.01%
HCL Technologies Ltd.,Equity,0.99%
The Federal Bank Ltd.,Equity,0.99%
J. K. Cement Ltd.,Equity,0.97%
Mankind Pharma Ltd.,Equity,0.97%
CG Power & Industrial Solutions Ltd.,Equity,0.97%
Interglobe Aviation Ltd.,Equity,0.95%
Titagarh Railsystems Ltd.,Equity,0.94%
Deepak Nitrite Ltd.,Equity,0.93%
KEC International Ltd.,Equity,0.90%
Central Depository Services (India) Ltd.,Equity,0.89%
UNO Minda Ltd.,Equity,0.87%
Schaeffler India Ltd.,Equity,0.86%
Dabur India Ltd.,Equity,0.86%
Navin Fluorine International Ltd.,Equity,0.85%
Godrej Consumer Products Ltd.,Equity,0.85%
Ccl Products (India) Ltd.,Equity,0.84%
United Spirits Ltd.,Equity,0.82%
Nestle India Ltd.,Equity,0.79%
BSE Ltd.,Equity,0.78%
Sona Blw Precision Forgings Ltd.,Equity,0.77%
PVR INOX Ltd.,Equity,0.71%
Siemens Ltd.,Equity,0.70%
Tech Mahindra Ltd.,Equity,0.68%
Maruti Suzuki India Ltd.,Equity,0.66%
SBI Life Insurance Company Ltd.,Equity,0.55%
Vinati Organics Ltd.,Equity,0.53%
Page Industries Ltd.,Equity,0.41%
Jio Financial Services Ltd.,Equity,0.37%
Tata Technologies Ltd.,Equity,0.36%
Net Receivables/(Payable),Others,0.05%
