Company Name,Asset Type,Percentage Allocation
HDFC Bank Ltd.,Equity,7.69%
Larsen & Toubro Ltd.,Equity,6.12%
ICICI Bank Ltd.,Equity,6.11%
Reliance Industries Ltd.,Equity,4.76%
Axis Bank Ltd.,Equity,3.69%
Ultratech Cement Ltd.,Equity,3.31%
State Bank Of India,Equity,3.20%
ITC Ltd.,Equity,2.74%
Infosys Ltd.,Equity,2.49%
Trent Ltd.,Equity,2.37%
Tata Consultancy Services Ltd.,Equity,2.37%
Bharti Airtel Ltd.,Equity,2.15%
Bharat Electronics Ltd.,Equity,1.92%
Sun Pharmaceuticals Ind Ltd.,Equity,1.88%
Cholamandalam Investment & Finance Company Ltd.,Equity,1.63%
CBLO(CCIL),Others,1.56%
Samvardhana Motherson International Ltd. (Erstwhile Motherson Sumi Systems Ltd.),Equity,1.55%
Persistent Systems Ltd.,Equity,1.51%
Hindustan Unilever Ltd.,Equity,1.43%
Ltimindtree Ltd.,Equity,1.42%
Bharat Dynamics Ltd.,Equity,1.37%
Bikaji Foods International Ltd.,Equity,1.37%
National Thermal Power Corporation Ltd.,Equity,1.34%
Indusind Bank Ltd.,Equity,1.26%
The Federal Bank Ltd.,Equity,1.25%
Tata Motors Ltd.,Equity,1.22%
ABB India Ltd.,Equity,1.15%
JB Chemicals & Pharmaceuticals Ltd.,Equity,1.15%
Cummins India Ltd.,Equity,1.12%
Cipla Ltd.,Equity,1.03%
Coforge Ltd.,Equity,1.00%
Bank Of Baroda,Equity,1.00%
Karur Vysya Bank Ltd.,Equity,0.98%
HCL Technologies Ltd.,Equity,0.97%
Syngene International Ltd.,Equity,0.96%
Concord Biotech Ltd.,Equity,0.87%
Maruti Suzuki India Ltd.,Equity,0.86%
CreditAccess Grameen Ltd.,Equity,0.80%
Mahindra & Mahindra Ltd.,Equity,0.80%
Spandana Sphoorty Financial Ltd.,Equity,0.80%
SBI Life Insurance Company Ltd.,Equity,0.79%
Hindalco Industries Ltd.,Equity,0.78%
Shriram Finance Ltd.(Erstwhile Shriram Transport Finance Company Limited),Equity,0.78%
Mphasis Ltd.,Equity,0.78%
Bajaj Finance Ltd.,Equity,0.77%
Titan Company Ltd.,Equity,0.76%
India Shelter Finance Corporation Ltd.,Equity,0.76%
KEI Industries Ltd.,Equity,0.75%
Kajaria Ceramics Ltd.,Equity,0.72%
Brigade Enterprises Ltd.,Equity,0.70%
Indian Bank,Equity,0.69%
Astral Ltd. (Erstwhile Astral Poly Technik Ltd.),Equity,0.68%
Jindal Steel & Power Ltd.,Equity,0.63%
Fedbank Financial Services Ltd.,Equity,0.59%
Power Mech Projects Ltd.,Equity,0.56%
TVS Motor Company Ltd.,Equity,0.56%
Balkrishna Industries Ltd.,Equity,0.56%
Voltas Ltd.,Equity,0.55%
Godrej Properties Ltd.,Equity,0.55%
Oberoi Realty Ltd.,Equity,0.54%
Bajaj Auto Ltd.,Equity,0.51%
PI Industries Ltd.,Equity,0.50%
Tech Mahindra Ltd.,Equity,0.49%
Mahindra & Mahindra Financial Services Ltd.,Equity,0.49%
APL Apollo Tubes Ltd.,Equity,0.48%
Home First Finance Company India Ltd.,Equity,0.44%
Dabur India Ltd.,Equity,0.41%
Jio Financial Services Ltd.,Equity,0.39%
Radico Khaitan Ltd.,Equity,0.34%
The Phoenix Mills Ltd.,Equity,0.33%
ICICI Prudential Life Insurance Company Ltd.,Equity,0.28%
Canfin Homes Ltd.,Equity,0.28%
KEC International Ltd.,Equity,0.22%
Navin Fluorine International Ltd.,Equity,0.14%
Ashok Leyland Ltd.,Equity,0.13%
Tata Technologies Ltd.,Equity,0.06%
Accrued Interest,Others,0.00%
Net Receivables/(Payable),Others,-0.20%
