Company Name,Asset Type,Percentage Allocation
ICICI Bank Ltd.,Equity,7.62%
Larsen & Toubro Ltd.,Equity,5.87%
HDFC Bank Ltd.,Equity,5.41%
CBLO(CCIL),Others,3.68%
Tata Motors Ltd.,Equity,3.61%
Ultratech Cement Ltd.,Equity,3.42%
Power Finance Corporation Ltd.,Equity,3.16%
Bharti Airtel Ltd.,Equity,3.14%
Axis Bank Ltd.,Equity,3.09%
Mphasis Ltd.,Equity,3.07%
Mahindra & Mahindra Ltd.,Equity,2.99%
Bharat Dynamics Ltd.,Equity,2.72%
Bajaj Finance Ltd.,Equity,2.48%
Cummins India Ltd.,Equity,2.46%
Coforge Ltd.,Equity,2.43%
Ujjivan Financial Services Ltd.,Equity,2.32%
CreditAccess Grameen Ltd.,Equity,2.24%
Zomato Ltd.,Equity,2.12%
Cholamandalam Investment & Finance Company Ltd.,Equity,2.11%
Persistent Systems Ltd.,Equity,2.07%
State Bank Of India,Equity,1.98%
Samvardhana Motherson International Ltd. (Erstwhile Motherson Sumi Systems Ltd.),Equity,1.97%
Bajaj Auto Ltd.,Equity,1.96%
Titan Company Ltd.,Equity,1.95%
Tata Consultancy Services Ltd.,Equity,1.94%
Reliance Industries Ltd.,Equity,1.85%
Birlasoft Ltd.,Equity,1.84%
Sun Pharmaceuticals Ind Ltd.,Equity,1.68%
Interglobe Aviation Ltd.,Equity,1.56%
Indusind Bank Ltd.,Equity,1.52%
DLF Ltd.,Equity,1.39%
Bharat Electronics Ltd.,Equity,1.38%
L&T Technology Services Ltd.,Equity,1.33%
Hindalco Industries Ltd.,Equity,1.31%
JK Lakshmi Cement Ltd.,Equity,1.26%
Steel Strip Wheels Ltd.,Equity,1.25%
Varun Beverages Ltd.,Equity,1.23%
KEI Industries Ltd.,Equity,1.12%
Lupin Ltd.,Equity,1.11%
HCL Technologies Ltd.,Equity,1.06%
ACC Ltd.,Equity,1.00%
Happy Forgings Ltd.,Equity,0.99%
Yatharth Hospital & Trauma Care Services Ltd.,Equity,0.91%
Sansera Engineering Ltd.,Equity,0.89%
Ambuja Cements Ltd.,Equity,0.52%
Net Receivables/(Payable),Others,-0.98%
