Company Name,Asset Type,Percentage Allocation
HDFC Bank Ltd.,Equity,6.95%
Larsen & Toubro Ltd.,Equity,5.69%
KPIT Technologies Ltd.,Equity,4.31%
Cholamandalam Investment & Finance Company Ltd.,Equity,3.95%
Persistent Systems Ltd.,Equity,3.40%
Reliance Industries Ltd.,Equity,3.28%
CG Power & Industrial Solutions Ltd.,Equity,3.18%
Bharat Electronics Ltd.,Equity,2.84%
ICICI Bank Ltd.,Equity,2.73%
Infosys Ltd.,Equity,2.70%
TVS Motor Company Ltd.,Equity,2.55%
Indusind Bank Ltd.,Equity,2.36%
Shriram Finance Ltd.(Erstwhile Shriram Transport Finance Company Limited),Equity,2.21%
Siemens Ltd.,Equity,1.90%
Sun Pharmaceuticals Ind Ltd.,Equity,1.86%
The Indian Hotels Company Ltd.,Equity,1.83%
Polycab India Ltd.,Equity,1.72%
Triparty Repo,Others,1.66%
National Thermal Power Corporation Ltd.,Equity,1.54%
Maruti Suzuki India Ltd.,Equity,1.51%
Angel One Ltd. (Erstwhile Angel Broking Ltd.),Equity,1.44%
KEI Industries Ltd.,Equity,1.43%
Trent Ltd.,Equity,1.42%
Jindal Saw Ltd.,Equity,1.40%
Blue Star Ltd.,Equity,1.33%
Titan Company Ltd.,Equity,1.29%
ABB India Ltd.,Equity,1.27%
Max Healthcare Institute Ltd.,Equity,1.19%
DLF Ltd.,Equity,1.16%
360 ONE WAM LTD.(Erstwhile IIFL WEALTH MANAGEMENT LIMITED),Equity,1.16%
JSW Energy Ltd.,Equity,1.16%
Cello World Ltd.,Equity,1.14%
Power Finance Corporation Ltd.,Equity,1.12%
Hindustan Aeronautics Ltd.,Equity,1.10%
Mahindra & Mahindra Financial Services Ltd.,Equity,1.10%
Ultratech Cement Ltd.,Equity,1.09%
Varroc Engineering Pvt. Ltd.,Equity,1.05%
Zomato Ltd.,Equity,1.04%
Triveni Turbine Ltd.,Equity,1.03%
Karur Vysya Bank Ltd.,Equity,1.03%
Tata Motors Ltd.,Equity,1.02%
Cipla Ltd.,Equity,0.96%
Schaeffler India Ltd.,Equity,0.96%
Bikaji Foods International Ltd.,Equity,0.92%
Mankind Pharma Ltd.,Equity,0.90%
Mahindra Holidays & Resorts India Ltd.,Equity,0.88%
IIFL Finance Ltd. (Erstwhile India Infoline Finance Limited),Equity,0.84%
Mahindra & Mahindra Ltd.,Equity,0.84%
Safari Industries (India) Ltd.,Equity,0.77%
Thermax Ltd.,Equity,0.76%
Ltimindtree Ltd.,Equity,0.70%
Avalon Technologies Ltd,Equity,0.64%
Craftsman Automation Ltd.,Equity,0.61%
Zensar Technologies Ltd.,Equity,0.60%
One 97 Communications Ltd.,Equity,0.56%
Godrej Consumer Products Ltd.,Equity,0.54%
State Bank Of India,Equity,0.54%
RHI Magnesita India Ltd.,Equity,0.53%
Godrej Properties Ltd.,Equity,0.51%
Axis Bank Ltd.,Equity,0.49%
Amber Enterprises India Ltd.,Equity,0.45%
Canfin Homes Ltd.,Equity,0.42%
UNO Minda Ltd.,Equity,0.35%
The Federal Bank Ltd.,Equity,0.33%
Eicher Motors Ltd.,Equity,0.32%
Escorts Kubota Ltd.,Equity,0.30%
Coforge Ltd.,Equity,0.30%
Jio Financial Services Ltd.,Equity,0.30%
Syngene International Ltd.,Equity,0.27%
Hindustan Petroleum Corporation Ltd.,Equity,0.25%
Tata Consultancy Services Ltd.,Equity,0.22%
Sona Blw Precision Forgings Ltd.,Equity,0.01%
Kotak Mahindra Bank Ltd.,Equity,0.00%
Current Assets,Others,-0.22%
