Company Name,Asset Type,Percentage Allocation
ICICI Bank Ltd.,Equity,8.77%
Infosys Ltd.,Equity,5.87%
Axis Bank Ltd.,Equity,5.42%
Larsen & Toubro Ltd.,Equity,4.99%
Reliance Industries Ltd.,Equity,4.81%
HDFC Bank Ltd.,Equity,4.65%
KEI Industries Ltd.,Equity,3.61%
State Bank Of India,Equity,3.59%
DLF Ltd.,Equity,3.53%
TVS Motor Company Ltd.,Equity,2.80%
Dixon Technologies (India) Ltd.,Equity,2.74%
Titan Company Ltd.,Equity,2.61%
Sun Pharmaceuticals Ind Ltd.,Equity,2.56%
The Phoenix Mills Ltd.,Equity,2.49%
Multi Commodity Exchange of India Ltd.,Equity,2.37%
Hindustan Unilever Ltd.,Equity,2.28%
Amber Enterprises India Ltd.,Equity,2.18%
JB Chemicals & Pharmaceuticals Ltd.,Equity,2.11%
Rainbow Childrens Medicare Ltd.,Equity,2.10%
Bharti Airtel Ltd.,Equity,2.02%
Rategain Travel Technologies Ltd.,Equity,1.87%
Prudent Corporate Advisory Services Ltd.,Equity,1.74%
PVR INOX Ltd.,Equity,1.73%
Motherson Sumi Wiring India Ltd.,Equity,1.54%
PB Fintech Ltd.,Equity,1.52%
Triparty Repo,Others,1.49%
Lupin Ltd.,Equity,1.48%
360 ONE WAM LTD.(Erstwhile IIFL WEALTH MANAGEMENT LIMITED),Equity,1.32%
Container Corporation Of India Ltd.,Equity,1.30%
PNC Infratech Ltd.,Equity,1.22%
APL Apollo Tubes Ltd.,Equity,1.17%
SRF Ltd.,Equity,1.15%
Kalyan Jewellers India Ltd.,Equity,1.15%
Kajaria Ceramics Ltd.,Equity,1.09%
Godrej Consumer Products Ltd.,Equity,1.05%
KEC International Ltd.,Equity,1.03%
Maruti Suzuki India Ltd.,Equity,1.03%
Gokaldas Exports Ltd.,Equity,0.99%
Poly Medicure Ltd.,Equity,0.95%
Ccl Products (India) Ltd.,Equity,0.89%
Kirloskar Pneumatic Company Ltd.,Equity,0.77%
Bajaj Auto Ltd.,Equity,0.63%
Radico Khaitan Ltd.,Equity,0.62%
Gujarat Fluorochemicals Ltd.,Equity,0.52%
Current Assets,Others,0.24%
