Company Name,Asset Type,Percentage Allocation
ICICI Bank Ltd.,Equity,7.79%
HDFC Bank Ltd.,Equity,5.76%
Bharti Airtel Ltd.,Equity,5.48%
Axis Bank Ltd.,Equity,5.13%
Avenue Supermarts Ltd.,Equity,5.11%
Maruti Suzuki India Ltd.,Equity,4.68%
Infosys Ltd.,Equity,4.45%
Reliance Industries Ltd.,Equity,4.30%
Larsen & Toubro Ltd.,Equity,3.43%
SBI Cards & Payment Services Pvt. Ltd.,Equity,3.26%
Sun Pharmaceuticals Ind Ltd.,Equity,2.79%
ICICI Lombard General Insurance Company Ltd.,Equity,2.40%
SBI Life Insurance Company Ltd.,Equity,2.39%
PVR INOX Ltd.,Equity,2.15%
Krishna Institute of Medical Sciences Ltd.,Equity,2.12%
Alkem Laboratories Ltd.,Equity,2.00%
Syngene International Ltd.,Equity,1.92%
Ultratech Cement Ltd.,Equity,1.88%
National Thermal Power Corporation Ltd.,Equity,1.81%
Triparty Repo,Others,1.79%
TVS Motor Company Ltd.,Equity,1.79%
HCL Technologies Ltd.,Equity,1.68%
Mahindra Lifespace Developers Ltd.,Equity,1.56%
United Breweries Ltd.,Equity,1.51%
Max Financial Services Ltd.,Equity,1.48%
Hindustan Unilever Ltd.,Equity,1.48%
State Bank Of India,Equity,1.37%
Bharat Petroleum Corporation Ltd.,Equity,1.20%
Tata Motors - DVR - A - ORDY,Equity,1.18%
Container Corporation Of India Ltd.,Equity,1.18%
Mankind Pharma Ltd.,Equity,1.17%
Sundram Fasteners Ltd.,Equity,1.08%
Inox Wind Ltd.,Equity,0.97%
Arvind Fashions Ltd.,Equity,0.93%
Samvardhana Motherson International Ltd. (Erstwhile Motherson Sumi Systems Ltd.),Equity,0.91%
Mphasis Ltd.,Equity,0.91%
V-Mart Retail Ltd.,Equity,0.87%
Cholamandalam Financial Holdings Ltd.,Equity,0.83%
Multi Commodity Exchange of India Ltd.,Equity,0.77%
Zomato Ltd.,Equity,0.66%
JSW Infrastructure Ltd. (Erstwhile Sarvoday Advisory Services Pvt. Ltd.),Equity,0.63%
Sapphire Foods India Ltd.,Equity,0.54%
Interglobe Aviation Ltd.,Equity,0.54%
Apollo Tyres Ltd.,Equity,0.49%
Quess Corp Ltd.,Equity,0.41%
Bank Of India,Equity,0.37%
Gandhar Oil Refinery (India) Ltd.,Equity,0.33%
Indian Bank,Equity,0.31%
Updater Services Ltd.,Equity,0.29%
PNC Infratech Ltd.,Equity,0.29%
Dixon Technologies (India) Ltd.,Equity,0.28%
Gujarat Pipavav Port Ltd.,Equity,0.28%
Cello World Ltd.,Equity,0.25%
NHPC Ltd.,Equity,0.23%
Glaxo Smithkline Pharmaceuticals Ltd.,Equity,0.21%
Blue Star Ltd.,Equity,0.20%
Barbeque Nation Hospitality Ltd.,Equity,0.12%
Navin Fluorine International Ltd.,Equity,0.09%
Inox India Ltd.,Equity,0.09%
Bajaj Finance Ltd.,Equity,0.04%
Current Assets,Others,-0.18%
