Company Name,Asset Type,Percentage Allocation
HDFC Bank Ltd.,Equity,6.10%
ICICI Bank Ltd.,Equity,5.11%
Infosys Ltd.,Equity,4.53%
Reliance Industries Ltd.,Equity,3.16%
Tata Consultancy Services Ltd.,Equity,2.90%
Ltimindtree Ltd.,Equity,2.85%
Cholamandalam Investment & Finance Company Ltd.,Equity,2.72%
Anand Rathi Wealth Ltd.,Equity,2.68%
Bharat Electronics Ltd.,Equity,2.54%
Axis Bank Ltd.,Equity,2.49%
Titan Company Ltd.,Equity,2.42%
Avenue Supermarts Ltd.,Equity,2.41%
Indusind Bank Ltd.,Equity,2.20%
GAIL (India) Ltd.,Equity,2.19%
Dixon Technologies (India) Ltd.,Equity,2.17%
KEI Industries Ltd.,Equity,1.99%
Gujarat State Petronet Ltd.,Equity,1.93%
Honasa Consumer Ltd.,Equity,1.87%
United Spirits Ltd.,Equity,1.84%
Bharti Airtel Ltd.,Equity,1.79%
Maruti Suzuki India Ltd.,Equity,1.73%
Clean Science & Technology Ltd.,Equity,1.65%
Nestle India Ltd.,Equity,1.61%
Triparty Repo,Others,1.59%
PI Industries Ltd.,Equity,1.56%
Samvardhana Motherson International Ltd. (Erstwhile Motherson Sumi Systems Ltd.),Equity,1.56%
National Thermal Power Corporation Ltd.,Equity,1.49%
Central Depository Services (India) Ltd.,Equity,1.47%
Safari Industries (India) Ltd.,Equity,1.42%
Apollo Hospitals Enterprise Ltd.,Equity,1.38%
Home First Finance Company India Ltd.,Equity,1.33%
Ultratech Cement Ltd.,Equity,1.32%
Ratnamani Metals & Tubes Ltd.,Equity,1.30%
Honeywell Automation India Ltd.,Equity,1.26%
Suzlon Energy Ltd.,Equity,1.26%
Birla Corporation Ltd.,Equity,1.25%
The Ramco Cements Ltd.,Equity,1.23%
UNO Minda Ltd.,Equity,1.23%
Kajaria Ceramics Ltd.,Equity,1.13%
Zomato Ltd.,Equity,1.11%
JB Chemicals & Pharmaceuticals Ltd.,Equity,1.10%
Bank Of Baroda,Equity,1.09%
DLF Ltd.,Equity,1.07%
STAR HEALTH & ALLIED INSURANCE COMPANY Ltd.,Equity,1.02%
Concord Biotech Ltd.,Equity,1.01%
Syngene International Ltd.,Equity,0.97%
BSE Ltd.,Equity,0.84%
PB Fintech Ltd.,Equity,0.84%
Eicher Motors Ltd.,Equity,0.82%
CIE Automotive India Ltd.,Equity,0.80%
Mankind Pharma Ltd.,Equity,0.75%
Indiamart Intermesh Ltd.,Equity,0.74%
Torrent Pharmaceuticals Ltd.,Equity,0.74%
Apollo Tyres Ltd.,Equity,0.72%
G R Infraprojects Ltd.,Equity,0.70%
Varun Beverages Ltd.,Equity,0.68%
Hindustan Aeronautics Ltd.,Equity,0.68%
Persistent Systems Ltd.,Equity,0.68%
REC Ltd.,Equity,0.54%
Jio Financial Services Ltd.,Equity,0.29%
Net Receivables/(Payable),Others,0.14%
