Company Name,Asset Type,Percentage Allocation
HDFC Bank Ltd.,Equity,15.63%
Reliance Industries Ltd.,Equity,10.83%
ICICI Bank Ltd.,Equity,8.46%
Infosys Ltd.,Equity,6.68%
Larsen & Toubro Ltd.,Equity,5.17%
ITC Ltd.,Equity,4.97%
Tata Consultancy Services Ltd.,Equity,4.72%
Axis Bank Ltd.,Equity,3.78%
Kotak Mahindra Bank Ltd.,Equity,3.31%
Bharti Airtel Ltd.,Equity,3.14%
State Bank Of India,Equity,2.98%
Hindustan Unilever Ltd.,Equity,2.89%
Bajaj Finance Ltd.,Equity,2.40%
Mahindra & Mahindra Ltd.,Equity,2.01%
HCL Technologies Ltd.,Equity,1.88%
Asian Paints Ltd.,Equity,1.86%
Titan Company Ltd.,Equity,1.86%
National Thermal Power Corporation Ltd.,Equity,1.79%
Tata Motors Ltd.,Equity,1.70%
Maruti Suzuki India Ltd.,Equity,1.66%
Sun Pharmaceuticals Ind Ltd.,Equity,1.65%
Ultratech Cement Ltd.,Equity,1.47%
Tata Steel Ltd.,Equity,1.37%
Power Grid Corporation Of India Ltd.,Equity,1.31%
Indusind Bank Ltd.,Equity,1.27%
Nestle India Ltd.,Equity,1.15%
Bajaj Finserv Ltd.,Equity,1.11%
JSW Steel Ltd.,Equity,1.01%
Tech Mahindra Ltd.,Equity,0.96%
Wipro Ltd.,Equity,0.81%
CBLO(CCIL),Others,0.23%
Net Receivables/(Payable),Others,-0.07%
