Company Name,Asset Type,Percentage Allocation
Tata Motors Ltd.,Equity,5.29%
Bajaj Auto Ltd.,Equity,5.13%
Dr Reddys Laboratories Ltd.,Equity,5.02%
Trent Ltd.,Equity,5.02%
Coal India Ltd.,Equity,5.01%
TVS Motor Company Ltd.,Equity,4.95%
Larsen & Toubro Ltd.,Equity,4.93%
National Thermal Power Corporation Ltd.,Equity,4.90%
Hindustan Aeronautics Ltd.,Equity,4.85%
REC Ltd.,Equity,4.81%
Power Finance Corporation Ltd.,Equity,4.76%
Aurobindo Pharma Ltd.,Equity,4.24%
Hero Motocorp Ltd.,Equity,4.03%
Bharat Electronics Ltd.,Equity,4.00%
Lupin Ltd.,Equity,3.71%
DLF Ltd.,Equity,3.44%
Colgate-Palmolive Ltd.,Equity,3.08%
Polycab India Ltd.,Equity,3.06%
Bharat Heavy Electricals Ltd.,Equity,2.93%
Alkem Laboratories Ltd.,Equity,2.48%
NMDC Ltd.,Equity,2.42%
Bharat Forge Ltd.,Equity,2.37%
Punjab National Bank,Equity,1.95%
Oberoi Realty Ltd.,Equity,1.51%
Zydus Lifesciences Ltd.,Equity,1.50%
IPCA Laboratories Ltd.,Equity,1.37%
L&T Finance Holding Ltd.,Equity,1.10%
Escorts Kubota Ltd.,Equity,0.73%
The Ramco Cements Ltd.,Equity,0.73%
Sun T V Network Ltd.,Equity,0.52%
Net Receivables/(Payable),Others,0.09%
CBLO(CCIL),Others,0.08%
