Company Name,Asset Type,Percentage Allocation
Nestle India Ltd.,Equity,5.10%
Hindustan Unilever Ltd.,Equity,5.06%
Coal India Ltd.,Equity,5.04%
ITC Ltd.,Equity,4.97%
Asian Paints Ltd.,Equity,4.94%
HCL Technologies Ltd.,Equity,4.94%
Tata Consultancy Services Ltd.,Equity,4.91%
Infosys Ltd.,Equity,4.90%
Britannia Industries Ltd.,Equity,4.74%
Colgate-Palmolive Ltd.,Equity,4.11%
Bajaj Auto Ltd.,Equity,3.80%
Tech Mahindra Ltd.,Equity,3.54%
Bharat Electronics Ltd.,Equity,3.44%
Ltimindtree Ltd.,Equity,3.31%
Hindustan Aeronautics Ltd.,Equity,3.13%
Hero Motocorp Ltd.,Equity,3.00%
Marico Ltd.,Equity,2.76%
Persistent Systems Ltd.,Equity,2.71%
Page Industries Ltd.,Equity,2.69%
Divi Laboratories Ltd.,Equity,2.65%
Pidilite Industries Ltd.,Equity,2.65%
HDFC Asset Management Company Ltd.,Equity,2.49%
Indian Railway Catering & Tourism Corporation Ltd.,Equity,2.43%
Dabur India Ltd.,Equity,2.37%
Havells India Ltd.,Equity,2.36%
Coromandel International Ltd. (Coromandel Fertilisers Ltd.),Equity,1.80%
L&T Technology Services Ltd.,Equity,1.69%
Berger Paints India Ltd.,Equity,1.63%
Indraprastha Gas Ltd.,Equity,1.58%
Sun T V Network Ltd.,Equity,1.00%
CBLO(CCIL),Others,0.17%
Net Receivables/(Payable),Others,0.11%
